cpg,beta,p
cg06173720,-0.434849214,5.16604E-11
cg04602787,0.222680461,3.01434E-10
cg17852482,-0.307925501,4.09558E-10
cg20489909,-0.371390959,4.27964E-10
cg01374729,-0.481814335,4.97022E-10
cg00073090,-0.24149724,8.72402E-10
cg14051721,-0.332070145,9.33537E-10
cg06682402,0.191145953,0.000000001
cg14049990,-0.33442583,0.000000001
cg18244487,-0.195834631,0.000000001
cg23064627,0.370330177,1.13863E-09
cg01757312,0.234356944,1.1463E-09
cg03177084,0.239107926,1.2102E-09
cg04709771,-0.424943144,1.26329E-09
cg06710704,-0.13571134,1.42349E-09
cg11095027,0.181308762,1.48176E-09
cg14522803,-0.329498381,1.60039E-09
cg07516556,-0.483443365,1.82174E-09
cg00907884,-0.287550852,1.82968E-09
cg11977605,-0.260151293,1.84642E-09
cg05873568,-0.269060714,1.89944E-09
cg07839457,-0.891967469,2.19307E-09
cg23056923,-0.364462424,2.19966E-09
cg10343024,0.227454493,2.27465E-09
cg16392942,-0.372283933,2.4568E-09
cg20127859,-0.414197602,2.45909E-09
cg09661809,-0.24860533,2.57017E-09
cg04985032,-0.251823807,2.88219E-09
cg00303723,0.256815526,0.000000003
cg03823431,-0.417340898,3.07574E-09
cg09624807,0.188828928,3.12281E-09
cg05413277,-0.373246997,3.37805E-09
cg12148129,0.219036054,3.53449E-09
cg20429104,-0.623096196,3.63738E-09
cg21799053,0.224356353,3.77811E-09
cg14433847,0.20405886,3.79677E-09
cg08726248,-0.45412511,4.31317E-09
cg13660670,0.262014758,4.33348E-09
cg03739609,-0.389678211,4.49897E-09
cg26655764,-0.144169732,4.61378E-09
cg05463966,-0.390757656,4.63493E-09
cg03494795,-0.275047567,4.77801E-09
cg00760729,-0.277490235,0.000000005
cg23606023,-0.40811339,0.000000005
cg22827290,0.163028071,5.08534E-09
cg19647567,-0.571474253,5.1661E-09
cg07730301,-0.457429719,5.24362E-09
cg26387966,-0.577333038,5.49666E-09
cg00409104,-0.406406541,5.77791E-09
cg08153345,-0.269321561,5.86628E-09
cg14697835,0.269862742,5.91899E-09
cg02527527,-0.307012387,5.94245E-09
cg19080138,-0.683758203,6.05123E-09
cg24198439,-0.279775491,6.1046E-09
cg27064845,0.170249271,6.60935E-09
cg27050612,-0.29102061,6.63152E-09
cg05762700,-0.609291085,6.89462E-09
cg13413384,-0.31687875,7.48655E-09
cg01500402,-0.461670163,7.55186E-09
cg11080552,0.148759614,7.59701E-09
cg20366258,0.241655882,7.63512E-09
cg27322675,0.182706812,7.79442E-09
cg09896340,-0.167334458,8.2819E-09
cg02727363,-0.254744443,8.34202E-09
cg16344026,-0.434556747,0.000000009
cg07743799,-0.542038015,9.11537E-09
cg07339236,-0.370895231,9.1971E-09
cg21273013,-0.341485391,9.58095E-09
cg25061610,0.157195127,9.6296E-09
cg07527426,-0.234353838,9.81222E-09
cg11915388,-0.631286867,0.00000001
cg17547928,-0.377555808,1.01779E-08
cg02030958,0.565394216,1.04616E-08
cg05264760,-0.113909372,0.000000011
cg14663914,-0.430278124,1.13978E-08
cg16326998,0.169252764,1.14717E-08
cg03116466,-0.419845148,1.15436E-08
cg14077270,0.208424563,0.000000012
cg18245281,-0.427483729,1.22982E-08
cg18912574,-0.228843753,1.2309E-08
cg09081913,0.272818235,1.26225E-08
cg11324504,-0.359867014,1.26973E-08
cg01630199,-0.095793417,1.28294E-08
cg23456739,0.120801573,0.000000013
cg22485372,0.243225887,1.30566E-08
cg05473287,-0.235027441,1.3639E-08
cg16449084,-0.403734654,1.36718E-08
cg07241925,-0.43924849,1.37144E-08
cg12058064,-0.412503131,1.39262E-08
cg08547432,0.198578762,0.000000014
cg11996632,-0.38316539,1.41671E-08
cg19008858,-0.198370873,1.43261E-08
cg02003183,0.358369044,1.46475E-08
cg17167924,0.344404212,1.47477E-08
cg25275876,-0.241969188,1.4752E-08
cg22975244,-0.211905318,1.48418E-08
cg07830557,-0.402477998,1.51116E-08
cg04127342,0.212200271,1.54525E-08
cg05155775,0.164391744,1.55392E-08
cg16362949,0.191891306,1.56002E-08
cg10139470,0.313808055,1.65542E-08
cg19582115,-0.242438265,1.66514E-08
cg00328075,0.180243536,0.000000017
cg02084669,-0.415228061,1.70834E-08
cg08561286,0.131907329,1.71437E-08
cg17054285,-0.36321769,1.72164E-08
cg04137004,0.190863721,0.000000018
cg12281620,-0.066974563,1.81153E-08
cg00775818,-0.245512205,1.81299E-08
cg01877450,-0.47108518,1.8507E-08
cg06913160,-0.467866502,0.000000019
cg17801337,0.122530136,0.000000019
cg02028375,0.22582561,1.91486E-08
cg16566400,0.210899397,1.94235E-08
cg18655369,-0.405937385,1.95057E-08
cg05495420,0.194544662,1.95585E-08
cg22733648,-0.240879544,2.01282E-08
cg15022400,-0.278200708,2.03178E-08
cg17633074,0.220701024,2.04742E-08
cg17883458,0.224895901,0.000000021
cg09962809,-0.274851463,2.11881E-08
cg11446617,-0.248977873,2.1213E-08
cg07102450,0.17644711,2.15264E-08
cg01445100,0.21078358,2.23012E-08
cg05585551,-0.162439148,2.24638E-08
cg11893448,0.190058052,2.27762E-08
cg21874706,0.124804575,2.31474E-08
cg08001559,0.249279251,2.34323E-08
cg07030287,-0.347361516,2.34502E-08
cg19742789,-0.306785265,2.347E-08
cg06822689,0.224860108,2.40895E-08
cg24983862,0.208757919,2.42119E-08
cg20670292,-0.708680173,2.4362E-08
cg25843003,-0.599299589,2.5123E-08
cg06521597,0.328238811,2.55114E-08
cg21432729,-0.208150266,2.64068E-08
cg06464369,-0.361596923,2.656E-08
cg12098015,0.184734965,2.759E-08
cg09855662,-0.304577172,2.76136E-08
cg12549512,-0.361802376,2.81547E-08
cg27383744,-0.171751813,2.8275E-08
cg03850117,-0.187873779,2.85097E-08
cg06765785,-0.140341379,2.86596E-08
cg25949550,-0.353142019,2.88736E-08
cg14957718,-0.937602635,0.000000029
cg16265078,0.19212264,0.000000029
cg05141159,0.211304805,2.93742E-08
cg23792383,-0.769723713,2.94769E-08
cg01540386,0.207971379,2.95202E-08
cg01149896,-0.24593583,3.01154E-08
cg09546921,-0.478897064,3.03943E-08
cg08208460,0.181511059,3.14842E-08
cg07594478,-0.199411364,3.19149E-08
cg22084410,-0.132905733,3.23726E-08
cg19679281,-0.344902711,3.24976E-08
cg19254047,0.396224644,3.25532E-08
cg22984992,-0.425922116,3.26489E-08
cg10307818,-0.245027549,3.33694E-08
cg14473974,-0.503464869,3.37886E-08
cg19179150,0.125138916,0.000000034
cg08108155,-0.84537809,3.42145E-08
cg21435473,-0.429674404,3.47037E-08
cg01833923,0.191590687,3.49071E-08
cg25396690,0.220193372,0.000000035
cg17954603,-0.226668741,3.66397E-08
cg02905900,-0.314044964,3.75752E-08
cg02956699,-0.255696634,3.76393E-08
cg11158239,0.187639968,3.78498E-08
cg25013852,0.212612412,3.81481E-08
cg17283838,-0.439039535,3.83544E-08
cg00463732,-0.244199529,3.85512E-08
cg07340574,0.308553788,3.87394E-08
cg23459416,-0.182408632,3.93886E-08
cg06838365,0.192635731,3.95038E-08
cg06786773,-0.29303165,0.00000004
cg15050577,0.239525147,4.03933E-08
cg13827209,0.246579893,0.000000041
cg08943494,-0.195449907,4.14649E-08
cg04553410,-1.093978943,4.18275E-08
cg17825194,-0.381885124,4.26065E-08
cg09046309,-0.220579549,4.26998E-08
cg10325497,0.183259474,4.2915E-08
cg11525352,-0.193045182,4.30599E-08
cg25781121,-0.704467122,4.30732E-08
cg17019204,-0.383549104,4.32184E-08
cg25726789,-0.435465515,4.3323E-08
cg15919816,-0.224806477,4.44215E-08
cg04364752,-0.382480669,4.44581E-08
cg02995567,0.133288949,0.000000045
cg24714742,-0.354872893,4.56412E-08
cg09524686,-0.246318343,4.5753E-08
cg19772161,-0.292365313,4.58383E-08
cg04759220,-0.566889384,4.58705E-08
cg03664994,-0.287398377,4.66E-08
cg24488469,0.167347521,4.76188E-08
cg04790829,-0.281896178,4.93582E-08
cg16341592,-0.678849172,5.09461E-08
cg15673540,0.176102786,5.17329E-08
cg23233605,0.203331072,0.000000052
cg07236342,0.167221261,5.23562E-08
cg08315613,0.203054893,5.24896E-08
cg25664275,0.313505345,5.28241E-08
cg22448090,0.15401028,5.35523E-08
cg00852924,-0.346243886,0.000000054
cg24618413,-0.294647016,5.43544E-08
cg04278162,-0.348089568,0.000000055
cg02690350,-0.270622604,5.50783E-08
cg12141659,-0.249199551,5.61516E-08
cg15812873,-0.255553346,5.68024E-08
cg24489015,-0.23246847,5.72452E-08
cg04988978,-0.344723391,5.74074E-08
cg19031565,-0.191785787,5.79469E-08
cg17355865,-0.482233481,0.000000058
cg12245040,-0.403819748,5.82743E-08
cg11744351,-0.318336685,5.88261E-08
cg24213508,-0.817921102,5.88382E-08
cg07219314,-0.494966354,5.92379E-08
cg04158069,-0.318038887,5.93257E-08
cg11908852,-0.188328614,6.01765E-08
cg06568038,0.197194466,6.03872E-08
cg22546696,-0.725645114,6.08426E-08
cg26601922,0.301090243,6.17418E-08
cg17947121,-0.068412484,6.18445E-08
cg26476925,-0.356272216,0.000000062
cg01930236,-0.481001111,6.26031E-08
cg13164814,0.18859908,6.2649E-08
cg22986271,-0.49533454,6.28237E-08
cg00030296,-0.29693372,6.28607E-08
cg17218495,-0.767113755,6.30622E-08
cg26108416,0.147641248,6.33917E-08
cg02884944,0.135724831,6.38734E-08
cg04102163,0.194553007,0.000000064
cg21172159,0.199585378,0.000000064
cg07477109,-0.492303635,6.41121E-08
cg04157201,0.169324293,6.41319E-08
cg03116648,-0.111415492,6.42919E-08
cg05659773,-0.065133385,6.46445E-08
cg12876009,0.211707208,6.5341E-08
cg14834893,-0.363606547,6.54653E-08
cg01578341,0.191869607,0.000000066
cg09635667,-0.464685503,0.000000066
cg11115622,-0.527471283,6.62396E-08
cg09192327,-0.279407371,6.68275E-08
cg06330324,-0.443420256,6.77131E-08
cg14200725,-0.277392926,6.77345E-08
cg20699736,0.23445111,6.84723E-08
cg03482883,0.191077233,6.8915E-08
cg27065374,-0.487600687,6.92442E-08
cg03249020,0.217521463,0.00000007
cg16026760,-0.397647416,7.03865E-08
cg07080177,-0.295515027,7.09155E-08
cg27178407,0.347634433,7.15653E-08
cg16803817,0.192387798,7.18679E-08
cg18821320,0.241218504,7.21181E-08
cg23349790,0.270974994,7.23618E-08
cg12228707,0.165657614,7.35775E-08
cg26336731,0.304824463,0.000000074
cg17996401,-0.258214051,7.41203E-08
cg03379706,0.153095471,7.41432E-08
cg09000178,-0.996819421,7.42762E-08
cg01309328,-0.217579198,7.54203E-08
cg19954613,-0.598282708,7.62447E-08
cg13304825,-0.426296932,7.65562E-08
cg23091255,-0.497554091,7.67424E-08
cg23587005,-0.635663907,0.000000077
cg27110132,-0.489007633,7.87096E-08
cg13705216,0.129270569,7.87206E-08
cg19573490,-0.448306773,0.000000079
cg02802072,-0.382959668,7.9359E-08
cg13304638,-0.306698096,7.94569E-08
cg04495287,-0.370961811,7.97848E-08
cg04730665,-0.336386826,7.98231E-08
cg18780217,-0.119170343,8.05966E-08
cg20684399,0.155975058,8.07279E-08
cg00892324,-0.354048603,8.07301E-08
cg01366670,-0.226828914,8.16242E-08
cg21559155,-0.239981711,8.19144E-08
cg04729655,0.160711281,8.19166E-08
cg06528267,-0.591518374,8.262E-08
cg21687703,-0.202346188,0.000000083
cg08336641,-0.477116414,8.49067E-08
cg08295285,-0.095896581,8.50743E-08
cg24701809,-0.48551341,8.5389E-08
cg09514055,-0.620345874,8.55001E-08
cg06142621,0.18401421,8.55414E-08
cg02621936,0.133876965,8.56487E-08
cg11606444,0.149594076,8.6243E-08
cg13795689,0.21230026,8.63624E-08
cg26381210,-0.241207871,8.71199E-08
cg01346114,-0.452966483,8.75299E-08
cg16745086,-0.2537329,8.75437E-08
cg24111516,-0.193691041,8.79222E-08
cg07830110,0.205069294,8.92741E-08
cg14078059,-0.876592729,8.98587E-08
cg17056607,-0.303184551,9.0425E-08
cg23111970,-0.672519166,9.08481E-08
cg04534636,-0.266221428,9.1539E-08
cg08645907,-0.296565433,9.18447E-08
cg12544951,0.202500247,9.18609E-08
cg22544342,-0.244568104,9.36599E-08
cg05793020,0.193478075,9.44244E-08
cg08079596,-0.313896116,9.46074E-08
cg00914022,0.194913281,9.47203E-08
cg15189104,0.415013043,9.50512E-08
cg23854103,-0.298268812,9.51768E-08
cg03456512,-0.487133586,9.66368E-08
cg00658427,0.209377986,9.6798E-08
cg01727346,-0.160787343,9.70738E-08
cg11794532,0.206440569,9.8424E-08
cg20136460,-0.1078159,9.84563E-08
cg10458142,0.208380576,9.87366E-08
cg24414089,0.217921461,9.87885E-08
cg05571970,0.149969236,9.92236E-08
cg06619059,-0.408873307,9.9611E-08
cg26565544,-0.34683108,1.01062E-07
cg26111913,-0.196158271,1.01094E-07
cg16434190,-0.394007551,1.01144E-07
cg12922931,-0.241002767,0.000000102
cg12426141,-0.406648788,1.02693E-07
cg10038618,0.203746938,1.02759E-07
cg23400985,-0.735520854,1.03475E-07
cg08601574,-0.284094016,1.04294E-07
cg10289190,-0.321804925,1.05689E-07
cg06964027,-0.267207849,1.05789E-07
cg04084597,-0.458553158,1.05821E-07
cg17756730,0.218637457,1.07064E-07
cg06782351,-0.278750262,1.07204E-07
cg14723307,-0.090722282,1.08198E-07
cg04924696,0.197419302,1.08865E-07
cg09238598,-0.484029738,1.09709E-07
cg08391321,0.292647983,0.00000011
cg09283376,-0.223896771,1.11749E-07
cg16337542,0.258567901,1.13254E-07
cg05180856,-0.356457124,1.13454E-07
cg06405765,-0.867784741,1.13805E-07
cg13440894,0.119123612,1.14583E-07
cg10055227,-0.365680637,1.1512E-07
cg10100698,-0.259416728,1.15272E-07
cg09146459,-0.205439274,1.15665E-07
cg01205124,-0.156849251,1.15845E-07
cg20790056,0.125261492,1.16242E-07
cg25023262,0.210880849,1.16835E-07
cg19906131,-0.479930558,1.17295E-07
cg01302902,0.333353498,1.17766E-07
cg00232092,-0.204782685,1.18545E-07
cg26015888,0.181363344,1.19064E-07
cg04588550,-0.23320826,1.19807E-07
cg05952120,0.29367803,0.00000012
cg12821421,-0.468240512,1.20176E-07
cg16041412,-0.272516896,1.20585E-07
cg04655596,-0.651292307,1.21262E-07
cg06218726,-0.287042335,1.2154E-07
cg02292066,0.185370606,1.21646E-07
cg21341487,-0.359439155,1.2212E-07
cg08667148,-0.243828578,1.22614E-07
cg00929855,-0.607189128,1.23332E-07
cg02495395,-0.211118631,1.23415E-07
cg20129782,-0.123820743,1.25596E-07
cg21399685,0.162827671,1.26682E-07
cg17420078,-0.390039845,1.27083E-07
cg24483655,-0.514607942,0.000000128
cg21244322,0.177862176,1.28338E-07
cg17492326,-0.857314744,1.30714E-07
cg18282011,-0.239157798,1.30767E-07
cg24475716,0.184452941,1.33053E-07
cg20062458,0.208883353,1.35922E-07
cg11338666,-0.242610246,1.3606E-07
cg20305578,-0.378167618,1.36332E-07
cg00128353,-0.457111683,1.36782E-07
cg08704623,-0.128719357,1.368E-07
cg01874183,0.146769628,1.37452E-07
cg04910183,-0.796689547,1.37526E-07
cg11233236,-0.16647997,1.38396E-07
cg01811416,-0.371081847,1.38399E-07
cg01773217,0.217235654,1.38668E-07
cg00127732,0.214679141,1.39425E-07
cg17056676,0.220737916,1.39457E-07
cg16293069,0.169148819,1.40388E-07
cg23687909,0.141327447,1.40829E-07
cg04295991,-0.422243578,1.4276E-07
cg06540146,-0.300957851,0.000000144
cg04919592,-0.279125283,1.44457E-07
cg24087743,0.198344245,1.448E-07
cg24534743,-0.375311191,1.44823E-07
cg11775492,-0.302617919,1.45087E-07
cg17035984,-0.212489202,1.46452E-07
cg14422315,0.151680142,1.4694E-07
cg16100244,0.188201078,0.000000149
cg13844341,-0.458288728,1.4913E-07
cg05970398,0.200110285,1.49615E-07
cg11575912,-1.013742781,1.49738E-07
cg02481778,0.242233402,1.50095E-07
cg05394456,-0.280583998,1.513E-07
cg10994693,0.142916014,1.52342E-07
cg24341498,-0.767875286,1.52827E-07
cg12865675,-0.245693266,1.53567E-07
cg25044817,-0.369786576,1.53714E-07
cg23675214,-0.356226061,0.000000154
cg13001844,-0.283087384,1.55817E-07
cg14243623,-0.806283055,1.56071E-07
cg25580198,-0.302136069,1.57176E-07
cg03754076,-0.416244359,1.578E-07
cg18800739,0.181803033,1.5841E-07
cg12938135,-0.395719567,0.000000159
cg10341991,-0.667521403,1.60585E-07
cg01790346,0.172361539,1.60742E-07
cg15411402,-0.490890721,1.61288E-07
cg00053393,0.267600346,1.61398E-07
cg27018904,0.212220265,1.6263E-07
cg16155122,0.188521948,1.62661E-07
cg07900344,0.103778242,1.62724E-07
cg09818930,-0.320778066,0.000000163
cg16315334,-0.518089966,1.63755E-07
cg10703813,0.291820491,1.64132E-07
cg00775197,0.202662749,1.64433E-07
cg07756148,-0.274535334,1.64504E-07
cg23191118,0.200886638,1.64802E-07
cg04229842,0.168174143,0.000000166
cg26981076,-0.279090408,0.000000166
cg11287851,-0.830825202,1.66595E-07
cg14870242,-0.392169907,1.66901E-07
cg09561417,-0.163266817,1.67143E-07
cg07986378,-0.29156745,0.000000169
cg26507629,0.198119389,1.69504E-07
cg00109274,-0.332131969,1.69927E-07
cg07477137,0.252152907,1.71403E-07
cg26627898,-0.336042093,1.71515E-07
cg09281539,-0.681560076,1.72055E-07
cg08344341,-0.490181105,1.73101E-07
cg20941699,0.21244839,1.73116E-07
cg04611801,-0.292165026,1.73143E-07
cg07304483,-0.573235133,1.73541E-07
cg24655135,-0.289396622,1.73864E-07
cg08099136,-0.228905226,1.73912E-07
cg21375869,0.158096456,1.74367E-07
cg27066239,-0.647259476,1.74528E-07
cg01300291,-0.201951063,1.75732E-07
cg26460483,-0.32885019,1.79586E-07
cg19873631,0.125150732,1.79678E-07
cg14427668,-0.354789019,1.79886E-07
cg01575614,0.179440742,1.80401E-07
cg14421700,-0.271289504,1.80468E-07
cg16080450,0.206483616,1.80709E-07
cg18313182,-0.305338869,1.80849E-07
cg07462112,0.19089702,1.81474E-07
cg25861340,0.461654626,1.8258E-07
cg01134297,-0.500131578,1.82757E-07
cg16190127,-0.131687582,1.82923E-07
cg06935184,0.182065398,1.83179E-07
cg19131205,-0.61996686,1.85206E-07
cg00125159,-0.572994452,1.85447E-07
cg01176150,-0.74173771,1.85831E-07
cg19716713,-0.457277961,1.86139E-07
cg08263066,-0.269563922,1.8637E-07
cg03940966,0.23928853,1.86408E-07
cg03948207,0.186686488,1.86499E-07
cg08522087,-0.924142802,1.86584E-07
cg15374234,-0.275661298,1.88085E-07
cg14577211,0.198290003,1.88162E-07
cg15038241,0.204692829,0.000000189
cg17003783,-0.723184668,0.000000189
cg04294412,-0.418909803,1.90486E-07
cg08351324,-0.257198208,1.91168E-07
cg19123356,0.246593916,1.91174E-07
cg14584865,-0.414271508,1.91921E-07
cg26373942,-0.367551772,0.000000192
cg06323332,-0.304381521,1.92053E-07
cg04541699,0.34354505,1.94683E-07
cg04210100,-0.811562795,1.96433E-07
cg14932016,0.191837579,1.9736E-07
cg07100957,-0.129775192,0.000000198
cg12870876,-0.772329608,1.9868E-07
cg20731167,0.198901328,1.98927E-07
cg22437316,-0.260623549,0.000000199
cg24427660,-0.299262616,1.99079E-07
cg27107144,0.239581822,0.0000002
cg25794819,-0.753193486,2.00561E-07
cg15642758,-0.895863245,2.00643E-07
cg02635407,-0.312429537,2.01052E-07
cg08450017,0.248958468,2.01245E-07
cg25227274,0.277692483,2.01553E-07
cg08525989,0.362061659,2.01914E-07
cg13577407,0.224705835,2.02556E-07
cg08197571,-0.143152968,2.03416E-07
cg17193921,-0.331581221,2.04097E-07
cg20462845,0.258528133,2.042E-07
cg24170511,-0.54962734,2.0528E-07
