"cpg","beta","se","p","i2","p_het","details"
"cg24859528",0.732368,0.1461,5.41e-07,"","",""
"cg03348466",-0.891598,0.1803,7.64e-07,"","",""
"cg02395768",-0.84397,0.1825,3.77e-06,"","",""
"cg15770702",-0.755023,0.1645,4.44e-06,"","",""
"cg16720947",-0.891598,0.1986,7.12e-06,"","",""
"cg22794214",-0.798508,0.1787,7.84e-06,"","",""
"cg08596308",-0.755023,0.1705,9.53e-06,"","",""
"cg23282964",-0.755023,0.1708,9.84e-06,"","",""
"cg21200667",-0.776529,0.1765,1.09e-05,"","",""
"cg08421934",-0.798508,0.1824,1.2e-05,"","",""
"cg08486432",-0.733969,0.1691,1.42e-05,"","",""
"cg08352439",0.783902,0.1807,1.43e-05,"","",""
"cg25356639",-0.733969,0.1694,1.48e-05,"","",""
"cg04395703",-0.867501,0.2007,1.54e-05,"","",""
"cg03171419",-0.798508,0.1848,1.55e-05,"","",""
"cg26843567",-0.634878,0.148,1.78e-05,"","",""
"cg00291478",-0.84397,0.1968,1.8e-05,"","",""
"cg27027151",0.727549,0.17,1.88e-05,"","",""
"cg04182483",-0.776529,0.1822,2.03e-05,"","",""
"cg10224806",-0.616186,0.1469,2.75e-05,"","",""
"cg08922032",-0.597837,0.1429,2.88e-05,"","",""
"cg02905828",-0.755023,0.1807,2.95e-05,"","",""
"cg16554145",-0.693147,0.1661,3.02e-05,"","",""
"cg03505866",-0.776529,0.187,3.28e-05,"","",""
"cg09763347",0.806476,0.1947,3.43e-05,"","",""
"cg06811300",0.783902,0.1894,3.5e-05,"","",""
"cg00059089",-0.579818,0.1406,3.74e-05,"","",""
"cg06261066",-0.634878,0.154,3.76e-05,"","",""
"cg05347380",-0.616186,0.1496,3.8e-05,"","",""
"cg00271311",-0.733969,0.1782,3.82e-05,"","",""
"cg06269753",0.806476,0.1959,3.84e-05,"","",""
"cg23344241",-0.653926,0.1593,4.06e-05,"","",""
"cg16360836",-0.820981,0.2006,4.28e-05,"","",""
"cg15812586",0.71295,0.1745,4.39e-05,"","",""
"cg13389508",-0.755023,0.1855,4.68e-05,"","",""
"cg26531923",-0.634878,0.1565,5e-05,"","",""
"cg11393115",-0.673345,0.1664,5.19e-05,"","",""
"cg16807101",-0.755023,0.1866,5.21e-05,"","",""
"cg19258183",-0.673345,0.1668,5.44e-05,"","",""
"cg10159432",0.71784,0.178,5.5e-05,"","",""
"cg17343671",-0.71335,0.177,5.55e-05,"","",""
"cg09115335",-0.562119,0.1396,5.64e-05,"","",""
"cg11710912",-0.755023,0.1877,5.74e-05,"","",""
"cg23942974",0.727549,0.1811,5.91e-05,"","",""
"cg15611912",-0.776529,0.1952,6.96e-05,"","",""
"cg08009711",-0.71335,0.1795,7.09e-05,"","",""
"cg08800878",0.593327,0.1498,7.46e-05,"","",""
"cg04551619",0.741937,0.1874,7.49e-05,"","",""
"cg15210307",0.652325,0.1652,7.87e-05,"","",""
"cg20437098",-0.616186,0.1561,7.87e-05,"","",""
"cg01912455",-0.673345,0.1709,8.15e-05,"","",""
"cg02443816",-0.616186,0.1564,8.18e-05,"","",""
"cg13573746",-0.616186,0.1566,8.33e-05,"","",""
"cg23168520",-0.653926,0.1668,8.88e-05,"","",""
"cg08454546",-0.71335,0.1823,9.08e-05,"","",""
"cg14474777",-0.616186,0.1575,9.1e-05,"","",""
"cg12644845",-0.755023,0.1932,9.28e-05,"","",""
"cg03546163",-0.597837,0.1531,9.46e-05,"","",""
"cg01498231",-0.673345,0.1727,9.65e-05,"","",""
"cg15789789",0.625938,0.1608,9.87e-05,"","",""
"cg15009294",-0.776529,0.1994,9.88e-05,"","",""
"cg10711528",-0.653926,0.168,9.96e-05,"","",""
