cpg,beta,se,p,i2,p_het,details
cg19407236,-0.07,0.1384,0.613,,,
cg17923401,-0.16,0.1475,0.278,,,
cg06515634,-0.04,0.0538,0.457,,,
cg03403996,0.66,0.5498,0.23,,,
cg07600884,0.02,0.086,0.816,,,
cg26241877,0.13,0.0879,0.139,,,
cg16587616,-0.07,0.1101,0.525,,,
cg10197432,0.16,0.0804,0.0466,,,
cg06889951,,,0.987,,,
cg26284982,,,0.989,,,
cg27256528,0.1,0.0693,0.149,,,
cg25249539,-0.06,0.1637,0.714,,,
cg27367142,-0.03,0.1261,0.812,,,
cg13011003,-0.83,0.2764,0.00267,,,
cg20677901,0.19,0.0882,0.0313,,,
cg11801110,-0.01,0.0489,0.838,,,
cg14232870,0.05,0.077,0.516,,,
cg00345443,0.15,0.1231,0.223,,,
cg01615818,0.02,0.2571,0.938,,,
cg00768741,-0.02,0.0706,0.777,,,
cg26278987,-0.03,0.3986,0.94,,,
cg19846314,0.16,0.1586,0.313,,,
cg00630892,-0.07,0.0568,0.218,,,
cg13496244,0.1,0.0993,0.314,,,
cg00947796,-0.02,0.0641,0.755,,,
cg06946213,0.02,0.0697,0.774,,,
cg08522676,0.08,0.0582,0.169,,,
cg07583091,0.04,0.0593,0.5,,,
cg25137787,-0.03,0.1608,0.852,,,
cg13718729,0.12,0.1435,0.403,,,
cg06526522,0.01,0.0483,0.836,,,
cg09419102,0.04,0.0341,0.241,,,
cg06458094,0.03,0.0546,0.583,,,
cg04069951,-0.17,0.141,0.228,,,
cg20646995,0.01,0.0804,0.901,,,
cg17032590,0.12,0.0738,0.104,,,
cg06043190,-0.01,0.0685,0.884,,,
cg20263686,-0.03,0.0591,0.612,,,
cg13324337,-0.01,0.0691,0.885,,,
cg04986899,-0.02,0.0889,0.822,,,
cg15530351,-0.07,0.0802,0.383,,,
cg18226049,-0.03,0.0768,0.696,,,
cg21696208,-0.03,0.1166,0.797,,,
cg24288527,0.06,0.0647,0.354,,,
cg20063462,0.02,0.0802,0.803,,,
cg04293085,0.12,0.0638,0.0598,,,
cg14449633,0.1,0.1111,0.368,,,
cg17841267,-0.08,0.0759,0.292,,,
cg01238672,0.09,0.0768,0.241,,,
cg04438098,0.58,0.1857,0.00179,,,
cg12439423,0.04,0.0495,0.419,,,
cg07243405,0.07,0.0611,0.252,,,
cg23217126,0.16,0.077,0.0377,,,
cg21515956,0.03,0.0473,0.526,,,
cg17696468,-0.1,0.0641,0.119,,,
cg06970076,-0.07,0.1186,0.555,,,
cg15268244,0.19,0.0762,0.0126,,,
cg15311933,-0.01,0.0575,0.862,,,
cg06419180,-0.06,0.0508,0.238,,,
cg26297950,0.03,0.0605,0.62,,,
cg09115646,-0.11,0.0828,0.184,,,
cg26789064,0.1,0.0951,0.293,,,
cg20074159,0.16,0.1163,0.169,,,
cg06962275,0.01,0.0875,0.909,,,
cg01616682,0.13,0.1104,0.239,,,
cg12266551,-0.04,0.0629,0.525,,,
cg12417362,0.1,0.0703,0.155,,,
cg23127291,-0.08,0.0778,0.304,,,
cg18403361,0.04,0.075,0.594,,,
cg21216268,-0.02,0.0372,0.591,,,
cg18875631,-0.05,0.0623,0.422,,,
cg07965335,-0.01,0.0532,0.851,,,
cg05638165,,,0.94,,,
cg04521224,0.03,0.0608,0.622,,,
cg01078197,0.06,0.1183,0.612,,,
cg16993936,,,0.965,,,
cg03351580,-0.02,0.0915,0.827,,,
cg21814615,-0.03,0.0591,0.612,,,
cg23928234,,,0.971,,,
cg22470309,0.07,0.0577,0.225,,,
cg27079740,0.09,0.0758,0.235,,,
cg08529049,0.25,0.1178,0.0338,,,
cg23767840,-0.12,0.0985,0.223,,,
cg10363926,-0.01,0.0337,0.767,,,
cg12497914,0.08,0.0745,0.283,,,
cg25408698,0.01,0.0788,0.899,,,
cg11170796,,,0.915,,,
cg12635602,-0.01,0.0829,0.904,,,
cg05494740,-0.03,0.0363,0.409,,,
cg03709938,0.03,0.0492,0.542,,,
cg04705068,0.05,0.0763,0.512,,,
cg14199148,0.06,0.0676,0.375,,,
cg15028160,-0.23,0.1827,0.208,,,
cg15152301,,,0.979,,,
cg05876635,0.07,0.0674,0.299,,,
cg10985810,0.02,0.0456,0.661,,,
cg22311507,-0.02,0.053,0.706,,,
cg17652792,-0.05,0.0876,0.568,,,
cg17416383,,,0.95,,,
cg10250651,0.03,0.0588,0.61,,,
cg23052757,0.02,0.07,0.775,,,
cg00530298,0.09,0.0802,0.262,,,
cg25282083,0.04,0.0599,0.504,,,
cg16906204,0.04,0.0683,0.558,,,
cg13688262,0.01,0.0937,0.915,,,
cg23824713,-0.06,0.1102,0.586,,,
cg11696986,0.08,0.0586,0.172,,,
cg08210297,0.08,0.0512,0.118,,,
cg26974035,0.01,0.0536,0.852,,,
cg25550629,0.04,0.0532,0.452,,,
cg13656504,0.04,0.0562,0.477,,,
cg18581445,0.04,0.0392,0.307,,,
cg26618039,-0.05,0.0451,0.268,,,
cg21364719,0.02,0.0841,0.812,,,
cg18207109,-0.06,0.0989,0.544,,,
cg01755562,0.05,0.0592,0.398,,,
cg13313430,-0.04,0.0712,0.574,,,
cg12522049,-0.04,0.0651,0.539,,,
cg17884327,-0.08,0.1318,0.544,,,
cg18812904,-0.05,0.0479,0.297,,,
cg14221748,0.07,0.0624,0.262,,,
cg13365436,-0.14,0.0941,0.137,,,
cg19512961,-0.05,0.0513,0.33,,,
cg13853761,,,0.995,,,
cg25291978,0.03,0.0465,0.519,,,
cg05350411,0.06,0.0553,0.278,,,
cg05282260,-0.01,0.1048,0.924,,,
cg25910443,0.04,0.0518,0.44,,,
cg08724753,-0.02,0.0598,0.738,,,
cg22806341,0.07,0.0908,0.441,,,
cg24615831,0.12,0.0636,0.0593,,,
cg15553408,0.07,0.0781,0.37,,,
cg08214267,-0.12,0.0556,0.0309,,,
cg05026840,-0.07,0.0481,0.146,,,
cg15998406,-0.01,0.1374,0.942,,,
cg05028274,-0.09,0.056,0.108,,,
cg17210546,0.06,0.0503,0.233,,,
cg12818596,0.17,0.0859,0.0477,,,
cg15863322,-0.06,0.0557,0.281,,,
cg07473454,0.04,0.0402,0.32,,,
cg07826246,0.03,0.0448,0.503,,,
cg19594433,0.1,0.0605,0.0985,,,
cg05089296,0.03,0.081,0.711,,,
cg19973338,0.01,0.029,0.73,,,
cg15940508,0.14,0.1269,0.27,,,
cg07105117,-0.03,0.0798,0.707,,,
cg24056567,0.09,0.069,0.192,,,
cg12413918,0.07,0.1085,0.519,,,
cg12879143,0.14,0.1001,0.162,,,
cg00725356,0.17,0.0725,0.019,,,
cg02580045,-0.01,0.0367,0.785,,,
cg04136781,0.01,0.0621,0.872,,,
cg13968717,-0.04,0.0525,0.446,,,
cg21424664,0.01,0.0796,0.9,,,
cg24138528,-0.02,0.0845,0.813,,,
cg00782839,0.02,0.0915,0.827,,,
cg05948856,-0.08,0.0764,0.295,,,
cg14181982,,,0.984,,,
cg09896346,0.14,0.0765,0.0671,,,
cg16435686,0.05,0.5042,0.921,,,
cg18033436,-0.05,0.0702,0.476,,,
cg26139606,-0.12,0.0635,0.0589,,,
cg18793198,0.05,0.0608,0.411,,,
cg04881214,-0.03,0.0655,0.647,,,
cg19768241,0.05,0.0854,0.558,,,
cg09343421,0.03,0.0422,0.477,,,
cg15355967,,,0.947,,,
cg17048169,0.13,0.0672,0.0531,,,
cg25793785,0.16,0.1229,0.193,,,
