cpg,beta,se,p,i2,p_het,details
cg00008621,-0.0014,0.003,0.643374879,,,
cg00017271,0.0015,0.003,0.61772058,,,
cg00025981,-7.00E-04,0.0032,0.825705262,,,
cg00036976,6.00E-04,0.0018,0.735969645,,,
cg00044665,-0.0044,0.0025,0.075320524,,,
cg00045787,0.002,0.0023,0.39099651,,,
cg00048759,0.0017,0.0027,0.5363935,,,
cg00054890,0.0023,0.0025,0.364207515,,,
cg00065935,-8.00E-04,0.0027,0.765267948,,,
cg00066663,-0.0027,0.0034,0.422017074,,,
cg00067720,-0.0039,0.0029,0.172311435,,,
cg00068155,0.0049,0.0039,0.204790684,,,
cg00088042,0.0015,0.0053,0.775689801,,,
cg00160359,0.0013,0.0032,0.686525755,,,
cg00197026,0.0035,0.0038,0.352416835,,,
cg00220102,4.00E-04,0.0026,0.877248049,,,
cg00221745,-3.00E-04,0.0035,0.931679196,,,
cg00257455,-0.0045,0.0033,0.166248688,,,
cg00270654,7.00E-04,0.0029,0.806666834,,,
cg00344202,0.0033,0.0044,0.457249047,,,
cg00367047,,,0.999174974,,,
cg00394316,0.0054,0.0076,0.475370884,,,
cg00401972,-0.0071,0.0025,0.004056531,,,
cg00431673,0.0077,0.0048,0.108030449,,,
cg00460776,0.0083,0.0051,0.101340838,,,
cg00464814,-0.0041,0.0031,0.187432233,,,
cg00471645,-8.00E-04,0.0031,0.796900763,,,
cg00481951,-0.0025,0.0044,0.571187147,,,
cg00489219,-9.00E-04,0.0031,0.773547329,,,
cg00503302,0.0034,0.0043,0.433571039,,,
cg00516222,-0.0016,0.0031,0.602130781,,,
cg00530564,0.001,0.004,0.801370958,,,
cg00533183,-0.0016,0.004,0.687796251,,,
cg00590036,0.0014,0.0042,0.73986968,,,
cg00620976,-0.0021,0.0032,0.516607367,,,
cg00643222,-0.004,0.0052,0.442947317,,,
cg00664406,0.0023,0.0037,0.538009353,,,
cg00684075,0.0054,0.0036,0.136922322,,,
cg00702638,,,0.999012681,,,
cg00718470,0.0088,0.0049,0.070456543,,,
cg00743094,6.00E-04,0.0042,0.886984576,,,
cg00785193,-6.00E-04,0.0037,0.869791139,,,
cg00830621,8.00E-04,0.004,0.839896482,,,
cg00864666,-0.0037,0.0019,0.047809046,,,
cg00950497,-0.0119,0.0033,0.000377604,,,
cg01004363,0.0015,0.0023,0.521776841,,,
cg01054354,-0.0024,0.0033,0.464020162,,,
cg01094748,-5.00E-04,0.0042,0.90607696,,,
cg01102833,-0.0018,0.0025,0.465535812,,,
cg01122755,0.0087,0.0036,0.015669003,,,
cg01141812,-8.00E-04,0.0031,0.795664194,,,
cg01168339,0.0063,0.0037,0.089330466,,,
cg01202666,7.00E-04,0.0036,0.845979851,,,
cg01211097,0.0033,0.0018,0.071447505,,,
cg01221157,0.0103,0.0062,0.095396163,,,
cg01245155,0.0018,0.0039,0.644534829,,,
cg01259029,-9.00E-04,0.0036,0.803619226,,,
cg01271695,-0.0038,0.0023,0.09940119,,,
cg01272428,0.0088,0.0046,0.058313207,,,
cg01281911,2.00E-04,0.0107,0.985043395,,,
