"cpg","beta","se","p","i2","p_het","details"
"cg07175945",0.1186,0.0218,5.05e-08,"","","Autumn"
"cg25719132",0.1443,0.0284,3.82e-07,"","","Autumn"
"cg20095398",-0.1307,0.0265,8.48e-07,"","","Spring"
"cg25382472",0.1386,0.0283,9.57e-07,"","","Autumn"
"cg24883586",-0.1752,0.0358,1.02e-06,"","","Winter"
"cg06365303",0.1926,0.0395,1.06e-06,"","","Winter"
"cg14136781",-0.2031,0.0417,1.1e-06,"","","Winter"
"cg08089851",0.132,0.0271,1.1e-06,"","","Summer"
"cg10063512",0.095,0.02,1.93e-06,"","","Autumn"
"cg12209881",-0.6048,0.1272,1.98e-06,"","","Spring"
"cg02294108",-0.1979,0.0428,3.86e-06,"","","Summer"
"cg06577708",0.1131,0.0246,4.4e-06,"","","Summer"
"cg25730142",0.1108,0.0242,4.51e-06,"","","Autumn"
"cg22062239",0.1222,0.0268,5.1e-06,"","","Autumn"
"cg24677732",-0.1812,0.0398,5.3e-06,"","","Autumn"
"cg08962590",-0.0896,0.0197,5.69e-06,"","","Winter"
"cg24799448",0.1357,0.0299,5.77e-06,"","","Summer"
"cg23922755",-0.0932,0.0206,5.95e-06,"","","Autumn"
"cg05137146",-0.1265,0.0279,5.97e-06,"","","Spring"
"cg16286281",-0.2566,0.0567,6.05e-06,"","","Summer"
"cg10208132",0.1205,0.0266,6.13e-06,"","","Winter"
"cg00941797",-0.0978,0.0217,6.42e-06,"","","Winter"
"cg01390039",0.1606,0.0356,6.55e-06,"","","Summer"
"cg00787537",-0.139,0.0309,6.77e-06,"","","Spring"
"cg20440552",0.1599,0.0356,7.02e-06,"","","Winter"
"cg18803079",-0.102,0.0229,8.08e-06,"","","Autumn"
"cg27660165",0.1047,0.0235,8.21e-06,"","","Winter"
"cg24577417",0.1195,0.0268,8.54e-06,"","","Spring"
"cg15670990",0.1048,0.0236,9.15e-06,"","","Autumn"
"cg03987115",0.1015,0.0229,9.26e-06,"","","Autumn"
"cg14029372",0.1276,0.0288,9.71e-06,"","","Autumn"
"cg02370858",-0.1205,0.0274,1.12e-05,"","","Summer"
"cg12476443",0.1563,0.0356,1.14e-05,"","","Winter"
"cg07903677",0.1944,0.0444,1.17e-05,"","","Summer"
"cg16166262",0.0839,0.0192,1.19e-05,"","","Autumn"
"cg16121765",0.3226,0.0739,1.26e-05,"","","Spring"
"cg19728226",-0.1114,0.0255,1.28e-05,"","","Autumn"
"cg11592497",0.1609,0.0371,1.48e-05,"","","Winter"
"cg10273890",0.175,0.0405,1.55e-05,"","","Summer"
"cg18462141",-0.1132,0.0263,1.71e-05,"","","Autumn"
"cg22784836",0.1174,0.0274,1.8e-05,"","","Winter"
"cg00832928",-0.0941,0.022,1.84e-05,"","","Autumn"
"cg18388519",-0.1496,0.035,1.93e-05,"","","Spring"
"cg12124731",0.1806,0.0423,1.98e-05,"","","Summer"
"cg02054964",0.0919,0.0215,1.99e-05,"","","Autumn"
"cg03008165",-0.098,0.023,2.02e-05,"","","Autumn"
"cg11155697",0.1907,0.0448,2.11e-05,"","","Autumn"
"cg02127589",0.1452,0.0343,2.32e-05,"","","Spring"
"cg05274741",0.085,0.0201,2.36e-05,"","","Autumn"
"cg09726703",-0.1464,0.0347,2.4e-05,"","","Summer"
"cg25841675",-0.1696,0.0402,2.49e-05,"","","Spring"
"cg08134053",-0.095,0.0226,2.55e-05,"","","Winter"
"cg22630160",-0.1546,0.0367,2.55e-05,"","","Summer"
"cg07490151",0.0818,0.0194,2.57e-05,"","","Autumn"
"cg14124066",0.138,0.0328,2.6e-05,"","","Spring"
"cg12199165",0.0838,0.0199,2.63e-05,"","","Autumn"
"cg04210284",0.215,0.0512,2.69e-05,"","","Summer"
"cg06886896",-0.1143,0.0273,2.76e-05,"","","Winter"
"cg22584335",0.115,0.0276,3.11e-05,"","","Autumn"
"cg12799739",0.098,0.0235,3.15e-05,"","","Winter"
"cg07905273",-0.0842,0.0202,3.19e-05,"","","Winter"
"cg01592526",-0.1408,0.0339,3.32e-05,"","","Summer"
"cg04658543",0.2641,0.0638,3.46e-05,"","","Winter"
"cg03545635",-0.1144,0.0276,3.5e-05,"","","Winter"
"cg13772515",-0.241,0.0583,3.52e-05,"","","Summer"
"cg09781437",-0.2273,0.0551,3.67e-05,"","","Autumn"
"cg05710512",0.1089,0.0264,3.83e-05,"","","Autumn"
"cg00009944",-0.142,0.0345,3.87e-05,"","","Summer"
"cg08905496",-0.1545,0.0377,4.1e-05,"","","Summer"
"cg00821600",-0.2135,0.0521,4.12e-05,"","","Autumn"
"cg17389677",0.1452,0.0354,4.15e-05,"","","Spring"
"cg04096150",-0.1255,0.0307,4.27e-05,"","","Summer"
"cg18893000",0.2144,0.0525,4.43e-05,"","","Winter"
"cg01519350",-0.1549,0.0379,4.45e-05,"","","Summer"
"cg02341139",-0.33,0.0811,4.72e-05,"","","Spring"
"cg08244518",-0.179,0.0441,4.96e-05,"","","Winter"
"cg14326260",0.1329,0.0328,5.12e-05,"","","Winter"
"cg18254123",-0.2402,0.0596,5.53e-05,"","","Autumn"
"cg00710249",-0.1355,0.034,6.72e-05,"","","Winter"
"cg14794041",-0.1301,0.0326,6.75e-05,"","","Winter"
"cg15661753",0.108,0.0272,6.96e-05,"","","Winter"
"cg09304653",0.1129,0.0285,7.32e-05,"","","Autumn"
"cg00946960",-0.1778,0.0448,7.35e-05,"","","Winter"
