cpg,beta,p
cg01751800,-0.022,0.0000025
cg02711608,-0.033,0.0000011
cg03979241,0.037,0.0000028
cg04161365,-0.04,0.0000013
cg06500161,0.047,3.9E-10
cg06946797,-0.027,0.00000066
cg07092212,-0.083,0.000000056
cg09349128*,-0.036,0.0000018
cg09469355,-0.034,0.0000016
cg09613192,0.021,0.00000034
cg09694782,-0.037,0.000000064
cg11307565,-0.04,0.0000028
cg11376147,-0.079,0.000000051
cg11990813,0.071,0.0000014
cg12593793,-0.042,0.000001
cg13016916,0.016,0.00000087
cg15309457*,-0.025,0.0000019
cg17266233,-0.102,0.00000014
cg17588294,-0.038,0.0000025
cg17971578,-0.039,0.00000018
cg18337963,-0.069,0.0000015
cg20477259,-0.055,0.00000065
cg22065733,-0.067,0.000000052
cg22798214,-0.035,0.0000024
cg23899654,-0.072,0.0000014
cg27434584*,0.041,0.0000026
