cpg,beta,se,p,i2,p_het,details
cg24172570,-0.0004,8.00E-05,8.65E-08,,,
cg12283362,-0.0007,1.30E-04,2.27E-07,,,
cg01610636,-0.0005,9.00E-05,7.03E-07,,,
cg21022949,0.0001,2.00E-05,8.86E-07,,,
cg03565868,0.0005,1.10E-04,3.71E-06,,,
cg14651844,0.0002,5.00E-05,4.75E-06,,,
cg08973675,0.0005,1.10E-04,6.05E-06,,,
cg00648883,0.0006,1.30E-04,6.77E-06,,,
cg05512099,-0.0007,1.60E-04,8.36E-06,,,
cg25590444,0.0003,6.00E-05,8.67E-06,,,
cg26504614,-0.0005,1.10E-04,9.25E-06,,,
cg03860665,0.0002,4.00E-05,9.27E-06,,,
cg06641959,0.0002,4.00E-05,9.38E-06,,,
cg12537437,-0.0003,7.00E-05,9.47E-06,,,
cg25742745,0.0004,1.00E-04,1.09E-05,,,
cg21831512,0.0004,8.00E-05,1.22E-05,,,
cg04757012,0.0001,3.00E-05,1.33E-05,,,
cg08301459,0.0002,3.00E-05,1.39E-05,,,
cg21908828,0.0004,1.00E-04,1.42E-05,,,
cg19787465,0.0004,8.00E-05,1.49E-05,,,
cg04702527,-0.0005,1.20E-04,1.58E-05,,,
cg09155776,-0.001,2.30E-04,1.69E-05,,,
cg04588436,-0.0003,8.00E-05,1.80E-05,,,
cg11241549,0.0007,1.50E-04,1.81E-05,,,
