cpg,beta,p
cg00574958,-0.101,0.00081
cg01751800,-0.017,0.016
cg02711608,-0.025,0.018
cg03979241,0.044,0.0009
cg04161365,-0.03,0.016
cg06500161,0.058,0.00000029
cg06946797,-0.032,0.00015
cg07504977,0.015,0.029
cg09469355,-0.036,0.00098
cg09694782,-0.036,0.00069
cg11024682,0.043,0.0029
cg11307565,-0.046,0.00046
cg11376147,-0.077,0.00074
cg11990813,0.067,0.0035
cg12593793,-0.037,0.0067
cg13016916,0.015,0.0031
cg15309457*,-0.018,0.027
cg17588294,-0.031,0.012
cg17971578,-0.044,0.0005
cg20477259,-0.041,0.017
cg27434584*,0.032,0.022
