cpg,beta,se,p,i2,p_het,details
cg00001747,0.022,0.004870045,3.13E-06,,,
cg00007076,-0.0162,0.001996439,2.44E-16,,,
cg00008033,0.011,0.002101069,8.23E-08,,,
cg00008036,0.00874,0.001943892,3.46E-06,,,
cg00008629,-0.0344,0.004493124,9.58E-15,,,
cg00010853,-0.0168,0.002088894,4.40E-16,,,
cg00012576,-0.0114,0.001735846,2.56E-11,,,
cg00018128,0.0124,0.002452501,2.14E-07,,,
cg00019759,0.00812,0.001451576,1.11E-08,,,
cg00020991,-0.0222,0.002094341,1.49E-26,,,
cg00025981,0.0201,0.004814384,1.49E-05,,,
cg00027083,0.0292,0.007454389,4.48E-05,,,
cg00028135,-0.0192,0.00259854,7.41E-14,,,
cg00030420,0.0124,0.002674311,1.77E-06,,,
cg00034076,0.0272,0.004888767,1.32E-08,,,
cg00034468,0.0104,0.001636043,1.03E-10,,,
cg00036732,-0.00995,0.001765917,8.78E-09,,,
cg00036871,-0.00388,0.000941067,1.87E-05,,,
cg00037441,0.00675,0.001667009,2.57E-05,,,
cg00038020,-0.0206,0.002660603,4.87E-15,,,
cg00040575,-0.0107,0.001443437,6.18E-14,,,
cg00048759,0.0089,0.001840662,6.65E-07,,,
cg00049323,-0.0101,0.00254604,3.64E-05,,,
cg00053851,-0.0175,0.002452802,4.85E-13,,,
cg00055679,0.0081,0.001739592,1.61E-06,,,
cg00057272,-0.0139,0.003296485,1.24E-05,,,
cg00059225,0.00971,0.001356056,4.02E-13,,,
cg00060836,-0.0189,0.003310352,5.67E-09,,,
cg00062437,-0.00419,0.001105614,7.54E-05,,,
cg00063748,-0.00925,0.001729135,4.41E-08,,,
cg00065935,0.0101,0.002110458,8.52E-07,,,
cg00068433,-0.0121,0.001777787,5.01E-12,,,
cg00069242,0.0117,0.002327037,2.48E-07,,,
cg00073460,-0.0123,0.002579778,9.31E-07,,,
cg00073837,0.00996,0.002036455,5.02E-07,,,
cg00076555,-0.00681,0.001494019,2.58E-06,,,
cg00086710,-0.0161,0.003175598,1.99E-07,,,
cg00090737,-0.00844,0.002009963,1.34E-05,,,
cg00094518,0.0175,0.003903634,3.68E-06,,,
cg00101260,-0.0141,0.001765514,6.95E-16,,,
cg00103778,-0.0134,0.002190883,4.79E-10,,,
cg00105628,0.0111,0.002821672,4.18E-05,,,
cg00108098,-0.00759,0.001636108,1.75E-06,,,
cg00109764,-0.00826,0.001254435,2.28E-11,,,
cg00114784,-0.0077,0.001567761,4.52E-07,,,
cg00127150,-0.0153,0.002049084,4.11E-14,,,
cg00134210,-0.00861,0.002269133,7.40E-05,,,
cg00144186,0.00759,0.001916744,3.75E-05,,,
cg00154846,-0.00708,0.001462234,6.43E-07,,,
cg00168942,-0.0166,0.001912203,1.96E-18,,,
cg00173659,0.0104,0.002505826,1.66E-05,,,
cg00174179,-0.00525,0.00131451,3.25E-05,,,
cg00174851,-0.00951,0.001597301,1.31E-09,,,
cg00174992,-0.0125,0.001579554,1.25E-15,,,
cg00178850,-0.0132,0.002722134,6.20E-07,,,
cg00178928,-0.00606,0.001256621,7.09E-07,,,
cg00182727,0.00648,0.001090159,1.39E-09,,,
cg00187299,-0.0103,0.002040333,2.23E-07,,,
cg00193668,-0.0141,0.001602714,6.99E-19,,,
cg00199059,-0.0143,0.002570806,1.33E-08,,,
cg00206490,0.00834,0.002024608,1.90E-05,,,
cg00214791,0.0152,0.002817801,3.44E-08,,,
cg00232105,-0.00825,0.001453526,6.90E-09,,,
cg00232500,-0.00897,0.001775962,2.20E-07,,,
cg00237475,0.00653,0.001387441,1.26E-06,,,
cg00237876,-0.0124,0.00261193,1.03E-06,,,
cg00238349,-0.00739,0.001321077,1.11E-08,,,
cg00240880,-0.00762,0.001952589,4.76E-05,,,
cg00244299,-0.012,0.002255515,5.18E-08,,,
cg00244776,-0.00998,0.001769615,8.52E-09,,,
cg00247557,0.00828,0.002002745,1.78E-05,,,
cg00250645,-0.0221,0.004903657,3.29E-06,,,
cg00251125,-0.00813,0.001559559,9.29E-08,,,
cg00252813,-0.00629,0.001663581,7.81E-05,,,
cg00253564,-0.00967,0.001485883,3.81E-11,,,
cg00266920,0.0117,0.001704034,3.30E-12,,,
cg00277397,-0.0129,0.00187256,2.81E-12,,,
cg00280235,-0.025,0.006098268,2.07E-05,,,
cg00283986,-0.0119,0.002018254,1.86E-09,,,
cg00292135,0.0173,0.003735738,1.82E-06,,,
cg00295572,0.0219,0.00458756,9.04E-07,,,
cg00298951,-0.00647,0.001542046,1.36E-05,,,
cg00300637,-0.00877,0.002002384,5.94E-06,,,
cg00308665,-0.0235,0.002311531,1.40E-24,,,
cg00310412,-0.00539,0.001437532,8.86E-05,,,
cg00314660,-0.0156,0.003062885,1.76E-07,,,
cg00318320,0.0167,0.003542071,1.21E-06,,,
cg00327072,0.0349,0.0093308,9.19E-05,,,
