"cpg","beta","se","p","i2","p_het","details"
"cg22465281","","",2.16e-05,"","",""
"cg18662228","","",2.24e-05,"","",""
"cg20755651","","",3.95e-05,"","",""
"cg05982757","","",6.25e-05,"","",""
"cg14410589","","",3.96e-05,"","",""
"cg19013399","","",7.31e-05,"","",""
"cg02574502","","",6.03e-05,"","",""
"cg03369465","","",0.000108,"","",""
"cg05957736","","",9.48e-05,"","",""
"cg01561304","","",2.73e-05,"","",""
"cg23087020","","",2.17e-05,"","",""
"cg21634602","","",0.000183,"","",""
"cg03052970","","",3.06e-05,"","",""
"cg20294319","","",6.41e-05,"","",""
"cg13849552","","",0.000236,"","",""
"cg04478251","","",7.12e-05,"","",""
"cg20071624","","",6.41e-06,"","",""
"cg23987549","","",0.000148,"","",""
"cg11416012","","",0.000268,"","",""
"cg16082737","","",0.000248,"","",""
"cg19808620","","",0.000269,"","",""
"cg21883293","","",6.7e-05,"","",""
"cg08409642","","",0.000203,"","",""
"cg01373262","","",0.000142,"","",""
"cg07645888","","",0.000306,"","",""
"cg02876066","","",0.00023,"","",""
"cg18317439","","",0.000242,"","",""
"cg00828556","","",2.74e-05,"","",""
"cg08108966","","",0.000343,"","",""
"cg04474277","","",0.000134,"","",""
"cg17319142","","",0.000348,"","",""
"cg12546081","","",0.000184,"","",""
"cg11787160","","",7.81e-06,"","",""
"cg05280794","","",0.000343,"","",""
"cg10439765","","",0.000383,"","",""
"cg26204638","","",0.000398,"","",""
"cg14707006","","",0.000405,"","",""
"cg04532613","","",0.000364,"","",""
"cg07971089","","",8.25e-06,"","",""
"cg17441062","","",0.000418,"","",""
"cg13163269","","",6.19e-05,"","",""
"cg03909849","","",0.000222,"","",""
"cg13378388","","",6.85e-05,"","",""
"cg24449629","","",0.000395,"","",""
"cg15531562","","",0.000372,"","",""
"cg25131247","","",0.000482,"","",""
"cg00568384","","",0.00038,"","",""
"cg06728098","","",0.000502,"","",""
"cg26709988","","",0.000243,"","",""
"cg08979352","","",0.00022,"","",""
"cg25613170","","",0.000524,"","",""
"cg10569807","","",0.000188,"","",""
"cg23402769","","",0.000282,"","",""
"cg02706649","","",0.000542,"","",""
"cg23987789","","",0.000301,"","",""
"cg17976191","","",5.36e-05,"","",""
"cg02526508","","",9.6e-05,"","",""
"cg21581312","","",0.000571,"","",""
"cg02365742","","",0.000575,"","",""
"cg07110356","","",0.00016,"","",""
"cg02277850","","",0.000463,"","",""
"cg23169883","","",6.34e-06,"","",""
"cg27193519","","",5.67e-05,"","",""
"cg20910303","","",0.000608,"","",""
"cg10924691","","",4.73e-05,"","",""
"cg27572068","","",0.000597,"","",""
"cg10459672","","",0.000449,"","",""
"cg26697605","","",0.000184,"","",""
"cg27201625","","",0.000628,"","",""
"cg26501599","","",0.000634,"","",""
"cg12033075","","",0.000394,"","",""
"cg16858463","","",0.000635,"","",""
"cg16004593","","",0.000152,"","",""
"cg00090782","","",0.000536,"","",""
"cg02574073","","",0.000646,"","",""
"cg03698892","","",3.87e-05,"","",""
"cg12551908","","",0.000641,"","",""
"cg19398112","","",0.000667,"","",""
"cg00121045","","",1.64e-05,"","",""
"cg13064049","","",0.000677,"","",""
"cg27576485","","",0.000609,"","",""
"cg24291087","","",0.000686,"","",""
"cg08253808","","",4.43e-05,"","",""
"cg12645852","","",9.65e-05,"","",""
"cg16401850","","",7.07e-05,"","",""
"cg03586839","","",0.000116,"","",""
"cg19698668","","",0.000622,"","",""
"cg07917901","","",0.000215,"","",""
"cg06867065","","",0.00017,"","",""
"cg04190002","","",0.000702,"","",""
"cg24125901","","",0.000256,"","",""
"cg21481503","","",0.000749,"","",""
"cg25083732","","",0.000751,"","",""
"cg10938441","","",0.000101,"","",""
"cg14284424","","",0.000762,"","",""
"cg00830767","","",0.00032,"","",""
"cg19721680","","",7.14e-05,"","",""
"cg02929855","","",0.000133,"","",""
"cg14247008","","",4.81e-05,"","",""
"cg19069360","","",6.63e-05,"","",""
"cg07364676","","",0.000102,"","",""
"cg19834134","","",0.00011,"","",""
"cg08161323","","",0.000348,"","",""
"cg00114383","","",0.000793,"","",""
"cg05124441","","",0.00019,"","",""
"cg14094333","","",0.00045,"","",""
"cg21804372","","",0.000587,"","",""
"cg07498239","","",0.000152,"","",""
"cg15891546","","",1.54e-06,"","",""
"cg09182724","","",0.000293,"","",""
"cg14511273","","",0.000301,"","",""
"cg24816464","","",0.000451,"","",""
"cg03277455","","",0.000421,"","",""
