trait,cpg,beta,p
cdv,cg23275840,-0.302931,8.12E-08
cdv,cg21212505,0.326937,1.63E-07
cdv,cg24478129,-0.881268,3.29E-07
cdv,cg05385163,-0.169529,6.09E-07
cdv,cg26684363,0.224454,8.10E-07
cdv,cg14650005,-0.408761,2.64E-06
ipv,cg16691714,0.230808,5.83E-07
ipv,cg19090128,-0.248764,1.17E-06
cdv,cg26143525,-0.322108,4.99E-06
cdv,cg24667758,0.196076,6.00E-06
cdv,cg03932361,-0.263506,8.21E-06
cdv,cg23706268,-0.28024,8.49E-06
ipv,cg01992590,0.295553,3.24E-06
ipv,cg00299943,-0.226534,3.91E-06
cdv,cg18878134,0.356513,1.10E-05
cdv,cg07675477,0.191097,1.32E-05
cdv,cg12354056,0.206082,1.34E-05
cdv,cg20178075,0.174446,1.49E-05
cdv,cg13897145,0.170141,1.72E-05
cdv,cg22821834,-0.12569,2.10E-05
cdv,cg26308530,0.161325,2.18E-05
cdv,cg12246527,0.171272,2.37E-05
cdv,cg14501407,-0.159622,2.47E-05
cdv,cg12901215,-0.149995,2.61E-05
cdv,cg05603367,-0.223529,3.10E-05
cdv,cg18073115,0.196863,3.37E-05
cdv,cg03031773,0.148602,3.40E-05
