"cpg","beta","se","p","i2","p_het","details"
"cg02260340",0.718867709,0.138452,2.07825e-07,"","","MCNP"
"cg18712806",-0.141945367,0.029587,1.60571e-06,"","","MCPP"
"cg11713788",0.470443432,0.098101,1.62262e-06,"","","MCPP"
"cg18378494",0.410733701,0.086474,2.03631e-06,"","","MCPP"
"cg10292045",-0.17718437,0.037708,2.61689e-06,"","","MCPP"
"cg03386144",0.152679247,0.032671,2.96405e-06,"","","MCNP"
"cg09093783",0.181944634,0.039138,3.33815e-06,"","","MCPP"
"cg11129772",-0.194233161,0.041927,3.61068e-06,"","","MBzP"
"cg01708493",0.43621308,0.094676,4.07706e-06,"","","MEOHP"
"cg05450995",0.365837957,0.079959,4.7551e-06,"","","MCPP"
"cg09567732",0.113776015,0.024987,5.28041e-06,"","","MCPP"
"cg22167789",0.122577899,0.027398,7.67683e-06,"","","MCPP"
"cg24999111",0.160784747,0.036088,8.37691e-06,"","","MCPP"
"cg19919720",-0.182374382,0.040935,8.37888e-06,"","","Sum DEHP"
"cg09561365",-0.231745152,0.05215,8.83586e-06,"","","MCPP"
"cg07807409",-0.765818136,0.172429,8.93976e-06,"","","MCNP"
"cg11035992",-0.250544665,0.056629,9.67549e-06,"","","MBP"
"cg19919720",-0.189618468,0.043265,1.172e-05,"","","MECPP"
"cg06225476",-0.194844145,0.044489,1.18892e-05,"","","MBP"
"cg14981312",0.186258859,0.042805,1.35312e-05,"","","MEP"
"cg19919720",-0.162047393,0.037298,1.3949e-05,"","","MEHHP"
"cg17940251",0.349423181,0.080649,1.47333e-05,"","","MCPP"
"cg20034712",-0.247883808,0.057285,1.51027e-05,"","","MCPP"
"cg05934333",-0.164854288,0.038169,1.56665e-05,"","","MCPP"
"cg21436444",-0.112339643,0.02606,1.62628e-05,"","","Sum LMW"
"cg07630544",-0.29319458,0.068113,1.67319e-05,"","","MiBP"
"cg13831388",-0.198030335,0.04606,1.71243e-05,"","","MBP"
"cg18712348",-0.185495921,0.043281,1.82006e-05,"","","MCPP"
"cg23751724",0.142614653,0.033328,1.8758e-05,"","","MCNP"
"cg07703701",-0.24471549,0.057212,1.89137e-05,"","","MBP"
"cg07631828",0.154258521,0.036185,2.01622e-05,"","","MEP"
"cg27364012",-0.254120721,0.059674,2.05835e-05,"","","MBP"
"cg05872614",0.155122301,0.036491,2.12829e-05,"","","MCNP"
"cg21436444",-0.101129287,0.023862,2.25408e-05,"","","MEP"
"cg15824312",-0.18741187,0.044251,2.28331e-05,"","","MCPP"
"cg07640473",0.174665318,0.041267,2.31032e-05,"","","MCNP"
"cg26646527",-0.171383486,0.040527,2.34855e-05,"","","MCPP"
"cg08628777",-0.12279074,0.029103,2.45268e-05,"","","MCPP"
"cg16923991",-0.156012054,0.037118,2.63248e-05,"","","MCPP"
"cg19007101",0.135409281,0.032258,2.69633e-05,"","","MCNP"
"cg24849517",-0.162302392,0.038669,2.70201e-05,"","","MBP"
"cg02118458",-0.132642807,0.031638,2.75947e-05,"","","MBP"
"cg20936172",-0.120229676,0.028685,2.77216e-05,"","","MCPP"
"cg07124480",-0.170405313,0.040884,3.07207e-05,"","","MCPP"
"cg23702117",-0.203270711,0.048839,3.15441e-05,"","","MCPP"
"cg01503218",-0.251536106,0.060524,3.23891e-05,"","","MCPP"
"ch.6.20366279F",-0.322922212,0.077759,3.28327e-05,"","","MECPP"
"cg19919720",-0.148976498,0.035937,3.39026e-05,"","","MEOHP"
"cg20466748",0.634918237,0.153373,3.47776e-05,"","","MCPP"
"cg25552655",-0.927456119,0.224122,3.50081e-05,"","","Sum LMW"
"cg26340737",0.246008518,0.059498,3.55359e-05,"","","MCPP"
