"cpg","beta","se","p","i2","p_het","details"
"cg00008621",-0.123225764,0.0512,0.016,"","",""
"cg00017271",0.009735431,0.0501,0.846,"","",""
"cg00025981",-0.090937685,0.0541,0.0929,"","",""
"cg00036976",0.022803935,0.0313,0.466,"","",""
"cg00044665",0.06192323,0.0409,0.13,"","",""
"cg00045787",-0.054735296,0.0387,0.157,"","",""
"cg00048759",-0.032187211,0.0452,0.476,"","",""
"cg00054890",-0.070635195,0.042,0.0924,"","",""
"cg00065935",0.007256929,0.0424,0.864,"","",""
"cg00066663",0.106036778,0.055,0.0538,"","",""
"cg00067720",0.026050297,0.0472,0.581,"","",""
"cg00068155",0.052936687,0.0637,0.406,"","",""
"cg00088042",-0.009462887,0.0837,0.91,"","",""
"cg00160359",-0.200922081,0.0561,0.00034,"","",""
"cg00197026",0.142954499,0.0631,0.0235,"","",""
"cg00220102",-0.082561821,0.0435,0.0575,"","",""
"cg00221745",-0.124002364,0.0525,0.0182,"","",""
"cg00257455",-0.019506989,0.0532,0.714,"","",""
"cg00270654",-0.040412014,0.0481,0.401,"","",""
"cg00344202",-0.126261139,0.0725,0.0818,"","",""
"cg00367047",-0.126616037,0.0688,0.0659,"","",""
"cg00394316",0.06596988,0.1241,0.595,"","",""
"cg00401972",0.06032852,0.0401,0.132,"","",""
"cg00431673",-0.104958735,0.0783,0.18,"","",""
"cg00460776",0.038297688,0.0821,0.641,"","",""
"cg00464814",0.09202251,0.051,0.0713,"","",""
"cg00471645",-0.003603389,0.0542,0.947,"","",""
"cg00481951",0.095948428,0.0724,0.185,"","",""
"cg00489219",0.042095924,0.0533,0.43,"","",""
"cg00503302",0.084688521,0.071,0.233,"","",""
"cg00516222",-0.109899834,0.0496,0.0268,"","",""
"cg00530564",0.117828665,0.0677,0.0816,"","",""
"cg00533183",-0.138190097,0.0676,0.0408,"","",""
"cg00590036",-0.104590907,0.0716,0.144,"","",""
"cg00620976",-0.166480115,0.0552,0.00254,"","",""
"cg00643222",-0.15161705,0.0852,0.0752,"","",""
"cg00664406",-0.016228609,0.0603,0.788,"","",""
"cg00684075",0.06781442,0.0591,0.251,"","",""
"cg00702638",-0.146903632,0.0998,0.141,"","",""
"cg00718470",0.004761363,0.0791,0.952,"","",""
"cg00743094",0.032106061,0.0666,0.63,"","",""
"cg00785193",0.121305401,0.0583,0.0376,"","",""
"cg00830621",-0.203977281,0.0644,0.00155,"","",""
"cg00864666",0.049624597,0.0304,0.103,"","",""
"cg00950497",-0.023384156,0.053,0.659,"","",""
"cg01004363",0.078592058,0.0386,0.0417,"","",""
"cg01054354",0.127315742,0.0538,0.0179,"","",""
"cg01094748",0.012666225,0.0684,0.853,"","",""
"cg01102833",-0.027894808,0.0405,0.491,"","",""
"cg01122755",-0.001344232,0.0596,0.982,"","",""
"cg01141812",0.046452296,0.0501,0.354,"","",""
"cg01168339",-0.16072467,0.0616,0.0091,"","",""
"cg01202666",0.000879012,0.0638,0.989,"","",""
"cg01211097",0.046338402,0.0303,0.126,"","",""
"cg01221157",-0.22645957,0.1017,0.026,"","",""
"cg01245155",-0.146671191,0.0655,0.0252,"","",""
"cg01259029",0.055831561,0.0572,0.329,"","",""
"cg01271695",0.108105318,0.038,0.00447,"","",""
"cg01272428",-0.010900135,0.0754,0.885,"","",""
"cg01281911",0.049308255,0.1402,0.725,"","",""
"cg01300684",-0.153686991,0.0362,2.15e-05,"","",""
"cg01322214",0.091657727,0.0438,0.0363,"","",""
"cg01428589",0.052953571,0.1208,0.661,"","",""
"cg01441777",0.06831666,0.043,0.112,"","",""
"cg01447660",0.050471541,0.0631,0.424,"","",""
"cg01486610",0.219211769,0.0693,0.00155,"","",""
"cg01556706",0.122183587,0.0928,0.188,"","",""
"cg01637011",0.02008537,0.0589,0.733,"","",""
"cg01644850",-0.094993216,0.0771,0.218,"","",""
"cg01657995",-0.007082995,0.037,0.848,"","",""
"cg01726767",-0.100839612,0.0539,0.0616,"","",""
"cg01754756",0.22619175,0.0745,0.0024,"","",""
"cg01837410",0.009454938,0.0611,0.877,"","",""
"cg01844642",-0.000159927,0.0255,0.995,"","",""
"cg01881062",0.020751913,0.0463,0.654,"","",""
"cg01902066",0.134810372,0.0593,0.023,"","",""
"cg01908954",0.050627015,0.0761,0.506,"","",""
"cg01942023",-0.06770909,0.0503,0.178,"","",""
"cg01968525",0.238402294,0.0838,0.00445,"","",""
"cg01981354",0.064775088,0.0468,0.166,"","",""
"cg02010481",0.101826158,0.0516,0.0484,"","",""
"cg02071825",-0.055647127,0.0571,0.33,"","",""
"cg02078525",0.05709874,0.0425,0.179,"","",""
"cg02118776",-0.035603628,0.0463,0.442,"","",""
"cg02119840",0.142359619,0.0652,0.0291,"","",""
"cg02171859",0.027641079,0.0321,0.389,"","",""
"cg02189888",0.018018465,0.0456,0.693,"","",""
"cg02210498",-0.099874722,0.063,0.113,"","",""
"cg02228185",0.007229812,0.0509,0.887,"","",""
"cg02232208",0.046120653,0.0539,0.392,"","",""
"cg02245832",-0.15202293,0.0635,0.0167,"","",""
"cg02272429",-0.189059952,0.0612,0.00201,"","",""
"cg02275294",0.051666848,0.0623,0.407,"","",""
"cg02308914",-0.131528892,0.0408,0.00128,"","",""
"cg02315870",-0.066104406,0.0334,0.0479,"","",""
"cg02316506",-0.000463831,0.0336,0.989,"","",""
"cg02328239",-0.03473594,0.0552,0.529,"","",""
"cg02331561",-0.092717378,0.0654,0.156,"","",""
"cg02361903",0.008201609,0.0352,0.816,"","",""
"cg02375320",-0.158780706,0.0843,0.0595,"","",""
"cg02383785",0.082704727,0.0742,0.265,"","",""
"cg02426178",-0.001268851,0.022,0.954,"","",""
"cg02462661",0.084914102,0.0477,0.0752,"","",""
"cg02479575",-0.016004329,0.0475,0.736,"","",""
"cg02500392",-0.054930423,0.0664,0.408,"","",""
"cg02503376",0.062561928,0.0438,0.153,"","",""
"cg02516101",0.178888228,0.0678,0.00834,"","",""
"cg02519751",-0.128000872,0.0922,0.165,"","",""
"cg02525989",-0.290770494,0.0946,0.00211,"","",""
"cg02676865",0.197983103,0.0653,0.00242,"","",""
"cg02721182",0.096614211,0.0578,0.0947,"","",""
"cg02744888",-0.106798304,0.0538,0.0471,"","",""
"cg02748419",0.01721,0.0545,0.752,"","",""
"cg02781618",-0.015277411,0.0646,0.813,"","",""
"cg02821342",0.095084684,0.076,0.211,"","",""
"cg02834765",0.178333837,0.0558,0.0014,"","",""
"cg02927747",-0.012583321,0.0693,0.856,"","",""
"cg02943595",-0.052251775,0.0294,0.0756,"","",""
"cg03020208",0.044613345,0.0345,0.196,"","",""
"cg03021802",0.069239561,0.0613,0.259,"","",""
"cg03025135",0.126140717,0.0468,0.00698,"","",""
"cg03036557",-0.024462682,0.0734,0.739,"","",""
"cg03041738",-0.114183879,0.074,0.123,"","",""
"cg03118021",-0.126337205,0.0672,0.0602,"","",""
"cg03180134",0.086382177,0.0505,0.0869,"","",""
"cg03267280",-0.264700706,0.0989,0.00747,"","",""
"cg03282312",-0.123088593,0.0537,0.0218,"","",""
"cg03490115",-0.117829425,0.0712,0.0979,"","",""
"cg03507326",-0.096374355,0.0774,0.213,"","",""
"cg03511671",-0.158349343,0.0759,0.037,"","",""
"cg03538814",-0.12443809,0.055,0.0237,"","",""
"cg03545227",-0.00266107,0.04,0.947,"","",""
"cg03607117",0.006675533,0.0531,0.9,"","",""
"cg03607573",-0.09139648,0.0448,0.0415,"","",""
"cg03688818",-0.031297948,0.0584,0.592,"","",""
"cg03806812",0.082161048,0.0274,0.00268,"","",""
"cg03832162",-0.104567776,0.0948,0.27,"","",""
"cg03943826",-0.056824975,0.0559,0.309,"","",""
"cg03968755",0.114704028,0.0595,0.0537,"","",""
"cg04008429",-0.047436863,0.0458,0.3,"","",""
"cg04084157",0.027848684,0.0445,0.531,"","",""
"cg04090392",0.107949315,0.0683,0.114,"","",""
"cg04149578",0.211548465,0.064,0.000949,"","",""
"cg04208434",0.062850788,0.0466,0.177,"","",""
"cg04212239",0.198457475,0.1053,0.0595,"","",""
"cg04221461",0.039219316,0.027,0.147,"","",""
"cg04255070",-0.030399178,0.0526,0.563,"","",""
"cg04268670",0.010718496,0.0413,0.795,"","",""
"cg04271792",-0.086255052,0.0855,0.313,"","",""
"cg04321126",0.041873398,0.0292,0.152,"","",""
"cg04368796",-0.104114249,0.0661,0.115,"","",""
"cg04431629",0.038436946,0.085,0.651,"","",""
"cg04453050",-0.00754629,0.0541,0.889,"","",""
"cg04501188",-0.10035173,0.0783,0.2,"","",""
"cg04521765",0.029932559,0.0322,0.353,"","",""
"cg04521867",-0.105845549,0.0666,0.112,"","",""
"cg04539476",0.171430794,0.0491,0.000479,"","",""
"cg04548815",-0.020790893,0.065,0.749,"","",""
"cg04566826",0.077875988,0.0413,0.0593,"","",""
"cg04649897",-0.039398394,0.0792,0.619,"","",""
"cg04668516",0.001940951,0.0499,0.969,"","",""
"cg04672210",-0.138674448,0.0687,0.0435,"","",""
"cg04684267",0.042613669,0.0543,0.433,"","",""
"cg04742719",0.091607775,0.0338,0.0068,"","",""
"cg04766834",-0.108852305,0.0691,0.115,"","",""
"cg04834794",-0.129051807,0.0832,0.121,"","",""
"cg04845871",0.029862821,0.046,0.516,"","",""
"cg04870212",-0.104803919,0.0399,0.0087,"","",""
"cg04880546",0.106017598,0.0643,0.099,"","",""
"cg04902811",0.037866865,0.0384,0.324,"","",""
"cg04911280",-0.129007458,0.0722,0.0741,"","",""
"cg04981166",-0.082952096,0.0619,0.18,"","",""
"cg04995846",0.031760864,0.0497,0.523,"","",""
"cg05030450",-0.098148218,0.0805,0.223,"","",""
"cg05113927",-0.034991219,0.0404,0.387,"","",""
"cg05136956",-0.110391296,0.0355,0.00188,"","",""
"cg05164634",0.103065603,0.0344,0.00276,"","",""
"cg05176991",0.095657996,0.1351,0.479,"","",""
"cg05190718",-0.203938998,0.0563,0.000292,"","",""
"cg05222347",-0.156856229,0.0793,0.0478,"","",""
"cg05239163",-0.207421032,0.059,0.000439,"","",""
"cg05256420",-0.062872924,0.0472,0.183,"","",""
"cg05305078",0.157634867,0.047,0.000799,"","",""
"cg05372963",-0.18565619,0.0754,0.0138,"","",""
"cg05460965",-0.042089239,0.0292,0.149,"","",""
"cg05540369",-0.169539911,0.104,0.103,"","",""
"cg05555455",-0.007868816,0.0737,0.915,"","",""
"cg05572763",-0.042520017,0.0385,0.27,"","",""
"cg05602648",-0.000944875,0.0838,0.991,"","",""
"cg05691543",0.055279729,0.0503,0.272,"","",""
"cg05708550",-0.067909679,0.0541,0.209,"","",""
"cg05751100",-0.09920818,0.0574,0.0841,"","",""
"cg05758467",0.123340772,0.0449,0.006,"","",""
"cg05824218",0.129379834,0.0589,0.028,"","",""
"cg05903330",0.030749187,0.0586,0.6,"","",""
"cg05906092",0.00346012,0.06,0.954,"","",""
"cg05917988",0.004096794,0.0653,0.95,"","",""
"cg05958294",-0.106740511,0.0324,0.000979,"","",""
"cg05979320",0.010557033,0.0586,0.857,"","",""
"cg05991454",-0.029991871,0.0978,0.759,"","",""
"cg06005318",-0.06870805,0.0444,0.122,"","",""
"cg06022942",-0.008944123,0.0742,0.904,"","",""
"cg06024557",-0.05827191,0.0443,0.188,"","",""
"cg06034933",-0.007229335,0.0626,0.908,"","",""
"cg06073351",0.178805787,0.0481,0.000204,"","",""
"cg06075438",0.023851204,0.0365,0.513,"","",""
"cg06087623",-0.228096324,0.0723,0.0016,"","",""
"cg06121469",-0.108011167,0.0875,0.217,"","",""
"cg06128028",0.032907502,0.0447,0.462,"","",""
"cg06144905",0.021512738,0.102,0.833,"","",""
"cg06220235",-0.117722605,0.068,0.0834,"","",""
"cg06350853",0.179295785,0.0499,0.000327,"","",""
"cg06404572",-0.092511198,0.04,0.0207,"","",""
"cg06416491",0.070200976,0.0376,0.0618,"","",""
"cg06458239",-0.076961084,0.0909,0.397,"","",""
"cg06488443",0.010475014,0.0539,0.846,"","",""
"cg06489037",0.119985462,0.067,0.0735,"","",""
"cg06530490",-0.123879598,0.0871,0.155,"","",""
"cg06564388",-0.004987857,0.0593,0.933,"","",""
"cg06580318",0.035780221,0.064,0.576,"","",""
"cg06603828",-0.091971514,0.0498,0.065,"","",""
"cg06639320",0.0429243,0.0423,0.31,"","",""
"cg06645033",0.01379689,0.0568,0.808,"","",""
"cg06737494",0.17295693,0.0666,0.00937,"","",""
