cpg,beta,se,p,i2,p_het,details
cg23275840,-0.302931,0.05647,8.12e-08,,,
cg21212505,0.326937,0.062425,1.63e-07,,,
cg24478129,-0.881268,0.172594,3.29e-07,,,
cg05385163,-0.169529,0.033985,6.09e-07,,,
cg26684363,0.224454,0.045501,8.1e-07,,,
cg14650005,-0.408761,0.087026,2.64e-06,,,
cg26143525,-0.322108,0.070557,4.99e-06,,,
cg24667758,0.196076,0.043318,6e-06,,,
cg03932361,-0.263506,0.059087,8.21e-06,,,
cg23706268,-0.28024,0.062941,8.49e-06,,,
cg18878134,0.356513,0.08109,1.1e-05,,,
cg07675477,0.191097,0.043862,1.32e-05,,,
cg12354056,0.206082,0.047337,1.34e-05,,,
cg20178075,0.174446,0.040286,1.49e-05,,,
cg13897145,0.170141,0.039582,1.72e-05,,,
cg22821834,-0.12569,0.029546,2.1e-05,,,
cg26308530,0.161325,0.037998,2.18e-05,,,
cg12246527,0.171272,0.04052,2.37e-05,,,
cg14501407,-0.159622,0.037847,2.47e-05,,,
cg12901215,-0.149995,0.03567,2.61e-05,,,
cg05603367,-0.223529,0.053656,3.1e-05,,,
cg18073115,0.196863,0.047472,3.37e-05,,,
cg03031773,0.148602,0.035852,3.4e-05,,,
