cpg,beta,p
cg19390658,-0.399489058,1.97357E-10
cg14781374,-0.442176964,3.60206E-10
cg10769531,-0.433189822,3.78126E-10
cg14134003,-0.551917998,4.03707E-10
cg27305510,-0.417929311,5.83033E-10
cg12785694,-0.70733948,8.58098E-10
cg06136199,-0.436465204,0.000000001
cg08170837,-0.541377696,1.08064E-09
cg14656948,-0.350196784,1.32223E-09
cg16489193,-0.56176398,1.56344E-09
cg14162417,-0.310220506,1.59195E-09
cg14818176,-0.578475112,1.61591E-09
cg03821557,-0.500700756,1.8817E-09
cg01470744,-0.166776375,2.09421E-09
cg27270214,-0.519141387,2.17426E-09
cg18484300,-0.29872649,2.45404E-09
cg20462100,-0.420174298,2.88085E-09
cg17799287,-0.370968787,0.000000003
cg18680181,-0.589355345,3.07791E-09
cg17883068,-0.550214255,3.1677E-09
cg02849309,-0.297943814,3.69952E-09
cg08790319,-0.390270923,3.76981E-09
cg23903301,-0.427968533,4.17848E-09
cg07398517,-0.287675487,4.31952E-09
cg14702960,-0.329750679,5.2696E-09
cg16526705,-0.251406199,5.34186E-09
cg09948419,-0.610220954,5.6734E-09
cg10538235,-0.358353902,6.22112E-09
cg26790059,-0.371532667,6.45206E-09
cg11494773,-0.504445262,7.2949E-09
cg05024762,-0.455008214,7.57089E-09
cg04233620,-0.446027333,7.63761E-09
cg02297838,-0.469884427,8.25596E-09
cg22234119,-0.322253098,8.68487E-09
cg02272993,0.158933259,9.45374E-09
cg03996151,-0.403524193,9.45535E-09
cg04928129,-0.38932516,1.02012E-08
cg14097046,-0.303630576,1.08371E-08
cg11753018,-0.417494718,0.000000011
cg27545630,-0.521054188,0.000000012
cg24048338,-0.341512936,1.24852E-08
cg17628660,-0.414955587,0.000000014
cg10654803,-0.403108324,0.000000015
cg07789132,0.320101825,1.59444E-08
cg19159853,-0.212558788,1.65452E-08
cg23756872,-0.22818717,1.65474E-08
cg09692822,-0.180824341,0.000000017
cg17207552,-0.26885099,0.000000017
cg09100593,-0.495880134,1.75569E-08
cg23264429,-0.374896888,1.77506E-08
cg07830557,-0.240794178,1.82757E-08
cg05405914,-0.196586932,1.87528E-08
cg21215929,0.319678748,1.96419E-08
cg03466342,-0.151037587,2.00949E-08
cg20666386,0.444002551,2.02043E-08
cg25213720,-0.337272184,2.06354E-08
cg07826859,-0.529479338,2.08565E-08
cg20995564,-0.341302484,2.15226E-08
cg22283754,-0.364665454,2.16605E-08
cg07065111,0.455396849,2.1664E-08
cg02068981,-0.334143295,2.26346E-08
cg00139477,-0.481255082,2.27602E-08
cg00907204,-0.462345325,0.000000024
cg23665802,-0.469933489,2.47449E-08
cg18577239,-0.520118292,2.57934E-08
cg21429551,-0.439577473,0.000000026
cg14113958,-0.506460017,2.74777E-08
cg04824378,-0.48245083,2.91694E-08
cg02747390,-0.559820044,2.92351E-08
cg08843513,-0.543900535,2.96946E-08
cg09594635,-0.364472702,3.07455E-08
cg20116574,-0.259816694,3.1322E-08
cg03519157,0.336214238,3.31244E-08
cg04144606,-0.322436587,3.31333E-08
cg04255044,-0.381109171,3.31487E-08
cg14277403,-0.47596138,3.34561E-08
cg27229484,-0.408186084,3.36858E-08
cg25588844,-0.333680954,3.43228E-08
cg07023852,-0.457917173,3.43283E-08
cg03846111,-0.307174647,3.48312E-08
cg08003402,-0.296273519,3.48389E-08
cg11888982,-0.461262597,3.62937E-08
cg00626119,-0.361277584,3.70619E-08
cg22930808,-0.384122262,3.80907E-08
cg03995533,-0.456140125,3.97712E-08
cg26028440,-0.172272065,3.98119E-08
cg10777000,-0.277432724,3.99341E-08
cg26352795,-0.371944891,4.05889E-08
cg10061532,-0.241488656,4.13206E-08
cg06567195,-0.492213655,4.21479E-08
cg07345734,0.199285318,4.24821E-08
cg02810967,-0.405029701,4.33619E-08
cg01326358,-0.492968073,4.36486E-08
cg03110996,-0.395476296,4.44995E-08
cg12343929,-0.305538879,4.8247E-08
cg25111583,-0.41525541,4.98347E-08
cg24640588,-0.1760939,5.10641E-08
cg13783238,-0.5899834,5.16086E-08
cg10051480,-0.367066385,5.183E-08
cg03489186,-0.284899937,5.25857E-08
cg04857881,-0.432347711,5.45564E-08
cg17253785,-0.5501371,5.5483E-08
cg14599440,-0.360511442,5.58033E-08
cg20545458,-0.430236086,5.61346E-08
cg06680852,-0.243589567,5.69021E-08
cg19513004,-0.38504355,5.6908E-08
cg07721852,0.470566256,5.7242E-08
cg01135315,-0.402962086,5.73951E-08
cg11754402,0.260337228,5.97591E-08
cg00182421,-0.609641867,5.97735E-08
cg17465549,-0.188207352,6.40769E-08
cg22693266,-0.472407322,6.54112E-08
cg06133670,-0.141805113,6.63389E-08
cg27505349,-0.415029485,7.00681E-08
cg27414860,-0.256469378,7.0618E-08
cg13577744,0.13843058,7.20841E-08
cg14568830,0.420641872,7.29382E-08
cg08889930,-0.221837521,7.36572E-08
cg05423393,0.20459467,7.43709E-08
cg14724492,-0.198567548,7.59213E-08
cg11416518,-0.237817158,7.59337E-08
cg20814813,-0.287490426,8.04059E-08
cg03956737,-0.478440985,8.06955E-08
cg12138483,-0.269330495,8.50991E-08
cg13653173,-0.426367426,8.51627E-08
cg13413982,-0.476320197,8.53162E-08
cg05634376,-0.29081096,8.70879E-08
cg16604658,-0.290417665,8.85344E-08
cg25407876,-0.405130016,8.87098E-08
cg20217649,-0.31031381,9.01085E-08
cg27587780,-0.249066922,9.04109E-08
cg25500196,0.520086513,9.04529E-08
cg05641348,-0.19024324,9.09283E-08
cg13993197,-0.580527662,0.000000091
cg24290756,-0.400068762,0.000000091
cg20577630,-0.363419474,9.43064E-08
cg12624155,-0.383880917,9.48135E-08
cg17332338,-0.198868315,9.53797E-08
cg00346446,-0.33570289,9.68674E-08
cg00160981,-0.305839482,9.77391E-08
cg00566320,-0.172506279,9.9134E-08
cg09712306,-0.485511784,9.95292E-08
cg16439130,-0.289154602,1.03222E-07
cg26840590,0.266942902,1.04665E-07
cg18005280,-0.255372592,1.07409E-07
cg06112560,-0.320069018,1.08324E-07
cg17665505,-0.466926588,1.11944E-07
cg26467528,-0.238394169,0.000000113
cg05616584,-0.265978876,0.000000114
cg04380213,-0.24459939,1.14588E-07
cg18352916,-0.352287765,1.14599E-07
cg23261640,-0.165485659,1.14676E-07
cg10421247,-0.29957647,1.15555E-07
cg04954680,0.212022824,1.18604E-07
cg08287344,-0.339428184,1.2085E-07
cg19618897,-0.29391456,1.2358E-07
cg07151406,-0.330054148,1.30426E-07
cg16520238,-0.248600346,1.30767E-07
cg06127316,-0.508316435,1.3134E-07
cg23418510,-0.260333288,1.31524E-07
cg15674813,-0.134667092,1.34117E-07
cg00676801,-0.390197756,1.34897E-07
cg01186595,-0.419596887,1.36253E-07
cg12589936,-0.444536496,1.3809E-07
cg22853542,-0.278030606,1.3816E-07
cg01081400,-0.256862687,1.38202E-07
cg21614201,-0.267310146,1.3922E-07
cg23903774,-0.40863277,1.40184E-07
cg01879723,-0.295194232,1.4219E-07
cg19418648,-0.241093693,1.44762E-07
cg00530720,0.428212398,1.45904E-07
cg26470501,-0.21695093,1.47715E-07
cg03297731,-0.322645248,1.47867E-07
cg14776168,-0.314075708,0.000000148
cg06291266,-0.499864742,1.48609E-07
cg21218687,-0.360485935,1.49227E-07
cg04424621,-0.457779594,1.52679E-07
cg15026634,0.246944955,1.52886E-07
cg19319808,-0.494443099,1.55911E-07
cg18826637,-0.489239563,0.000000156
cg24478733,-0.34042849,1.56095E-07
cg16429725,-0.293773766,1.58351E-07
cg16337566,-0.302568897,1.58729E-07
cg13970540,-0.344044119,1.60755E-07
cg07440264,-0.408583742,1.61472E-07
cg11606195,-0.483695267,1.61772E-07
cg23228341,-0.408232036,1.65182E-07
cg16399365,0.424384693,1.65371E-07
cg09530810,0.171449955,1.68792E-07
cg08301612,-0.260112529,1.70368E-07
cg12170933,-0.423032688,1.72069E-07
cg04324276,-0.261544815,1.74655E-07
cg12394201,-0.304163003,1.74893E-07
cg19658829,-0.359105574,1.76287E-07
cg06764092,-0.203974814,1.76358E-07
cg13448753,0.358890603,1.78128E-07
cg08876103,-0.239998933,0.000000188
cg06298346,-0.436858836,1.88172E-07
cg04652522,-0.333778815,1.88916E-07
cg24908814,0.311355892,1.92589E-07
cg14632729,0.746116889,1.94442E-07
cg05878098,-0.312223549,2.015E-07
cg25013269,-0.31428516,2.025E-07
cg27319917,-0.570864322,2.03531E-07
cg10530851,0.461839085,2.06823E-07
cg08179485,-0.381045256,2.07348E-07
cg19097500,0.342315215,2.07463E-07
cg10061906,-0.321017799,2.09661E-07
cg23205886,-0.292982393,2.10351E-07
cg22193385,-0.347101194,2.13923E-07
cg14677615,-0.223489881,2.17062E-07
cg24809973,0.415574187,2.18158E-07
cg15698107,-0.291935903,2.19457E-07
cg26589448,-0.319724453,2.19721E-07
cg16887264,0.308624433,2.1995E-07
cg14258418,-0.22559828,2.20367E-07
cg09826050,0.170727231,2.22552E-07
cg06679494,-0.333941187,0.000000223
cg24540269,-0.359088441,2.24862E-07
cg24941195,-0.330981713,2.25712E-07
cg00208012,-0.26696587,2.27716E-07
cg18896032,-0.514637206,2.28068E-07
cg10536898,0.148842824,2.3745E-07
cg09745430,0.09898229,2.38493E-07
cg00934355,0.206875185,2.41791E-07
cg04583000,-0.259022744,2.4232E-07
cg00975326,-0.502353992,0.000000245
cg22120395,-0.409928637,2.46193E-07
cg01995548,-0.318392195,0.000000248
cg07586285,-0.208885752,2.48169E-07
cg03516026,-0.540956757,2.52617E-07
cg03766264,-0.410162238,2.53086E-07
cg16272981,-0.483852926,2.53351E-07
cg04783450,-0.256915122,2.53848E-07
cg06021088,-0.310229172,2.55527E-07
cg12196847,-0.404735394,2.5733E-07
cg12307314,-0.295893092,0.000000258
cg12009023,0.181870864,2.59769E-07
cg01047586,0.196548623,2.6365E-07
cg01862311,-0.268325522,2.68326E-07
cg10700643,-0.26620982,2.69166E-07
cg22640233,0.242292426,2.69261E-07
cg04055211,-0.256499141,2.69477E-07
cg19593285,-0.518090237,2.70723E-07
cg04776120,-0.229881424,0.000000272
cg10461218,-0.454694275,2.72588E-07
cg07033395,-0.455241394,2.73616E-07
cg01228271,-0.625910998,2.74524E-07
cg03117379,-0.405226425,2.75471E-07
cg21664866,-0.56557897,2.76211E-07
cg26091021,0.353840686,2.81748E-07
cg07998213,0.242259705,2.83085E-07
cg06943912,0.386090635,2.83194E-07
cg16185457,-0.365775184,2.83728E-07
cg27584546,-0.45087253,0.000000285
cg00830621,-0.448423285,2.87083E-07
cg23508201,-0.238757597,2.92498E-07
cg18297960,-0.488997243,2.93311E-07
cg05337636,-0.386630844,2.99553E-07
cg19273756,-0.286942652,3.00425E-07
cg12189255,-0.14996856,3.04929E-07
cg21191088,-0.267477531,3.06802E-07
cg01437515,-0.542754794,3.06911E-07
cg18789337,-0.103750864,0.000000308
cg06997767,-0.189180917,3.08139E-07
cg14685006,-0.231490143,3.08309E-07
cg16306654,-0.331886618,3.11888E-07
cg03354771,-0.302916716,3.15251E-07
cg09182189,-0.217048662,3.17833E-07
cg21199165,0.300310379,3.21773E-07
cg14720274,-0.473630449,0.000000323
cg12283724,-0.352545607,3.24809E-07
cg18445438,0.437482988,3.32581E-07
cg05821464,-0.448720752,3.35408E-07
cg07580620,-0.300800943,3.36756E-07
cg23127694,-0.167531323,0.000000337
cg16799191,-0.427468077,3.39643E-07
cg15626307,0.096259508,3.39772E-07
cg08333835,-0.326005068,3.41073E-07
cg02623718,-0.253622564,3.41379E-07
cg04088338,-0.343352051,3.44154E-07
cg16709836,-0.734628601,3.44333E-07
cg02419321,0.365315451,3.46328E-07
cg05438378,-0.476998133,3.46925E-07
cg15683542,-0.534254504,3.48946E-07
cg14750551,-0.339442969,3.49301E-07
cg04945608,-0.498339105,3.5433E-07
cg00959259,-0.409880503,3.55215E-07
cg18114313,-0.196241207,3.57689E-07
cg22383292,-0.369680744,3.58944E-07
cg21718267,0.365597864,3.64437E-07
cg15033552,-0.415540424,3.67437E-07
cg01865118,-0.426374645,3.68144E-07
cg17290076,-0.128103756,3.68274E-07
cg10628465,-0.329426043,3.68461E-07
cg08869700,-0.252803848,3.73757E-07
cg21659714,-0.278088477,3.77782E-07
cg04330122,-0.401023719,3.79724E-07
cg04833845,-0.460930491,3.80815E-07
cg06669759,0.199411388,3.80848E-07
cg15722603,-0.641011835,3.81323E-07
cg26876834,-0.607277665,3.83226E-07
cg21114773,0.348364962,3.83391E-07
cg12627844,-0.362813195,3.84473E-07
cg02026253,-0.104646622,3.85574E-07
cg09151801,-0.286312973,3.85724E-07
cg25955126,-0.269732413,3.8715E-07
cg16330965,-0.241780717,3.87186E-07
cg08529481,0.488128635,3.88726E-07
cg17489312,-0.315045761,3.89088E-07
cg06135425,-0.301773255,3.89094E-07
cg11789371,-0.429280157,3.8949E-07
cg16529592,-0.263771462,3.89809E-07
cg18722841,0.119179607,3.90335E-07
cg07616374,0.238561379,0.000000391
cg14283059,-0.169996935,3.92859E-07
cg24426822,-0.363197584,3.97763E-07
cg10550816,-0.428645121,3.98314E-07
cg12459932,-0.384223947,3.98375E-07
cg14055887,-0.379523359,4.01248E-07
cg03559682,0.159749757,4.01658E-07
cg24681086,-0.225790761,4.05877E-07
cg09154794,-0.521949944,4.06811E-07
cg24940706,-0.35694687,4.07685E-07
cg13845105,-0.296501355,4.12502E-07
cg14545834,-0.147879459,0.000000414
cg27194081,-0.130272416,4.15337E-07
cg07046436,-0.258366799,4.16202E-07
cg09880551,0.344951056,4.21396E-07
cg12789472,-0.249504445,4.22542E-07
cg16691616,-0.112923532,4.25544E-07
cg08363345,-0.399822805,4.33136E-07
cg17066529,-0.453142387,4.34656E-07
cg08985530,-0.371360916,0.000000438
cg25630380,-0.366807441,4.38898E-07
cg10977890,-0.139336409,0.000000439
cg09988191,-0.079863057,4.39577E-07
cg08173606,-0.238903923,4.39634E-07
cg11084718,-0.273248964,4.42633E-07
cg03598297,-0.282267959,4.4634E-07
cg14791639,-0.55855491,4.47442E-07
cg21837323,-0.365926114,4.48676E-07
cg11497017,-0.282349629,4.48801E-07
cg26547924,0.216676436,4.49066E-07
cg09628962,0.174261614,4.51607E-07
cg14296598,-0.49303649,4.51699E-07
cg18754985,-0.44039036,4.5364E-07
cg24458609,0.169716533,4.58442E-07
cg15835747,-0.307000619,4.59652E-07
cg11844042,-0.289119224,0.000000463
cg13442606,-0.384911277,4.65106E-07
cg16668359,0.487544209,4.66383E-07
cg23169382,0.309122892,4.72198E-07
cg04508739,0.361159538,4.76157E-07
cg08575537,0.517553415,4.76174E-07
cg02697979,-0.423474437,4.78755E-07
cg15036326,-0.5200936,4.79236E-07
cg16254756,-0.304762706,4.83502E-07
cg26121234,-0.328769843,4.84409E-07
cg03626892,-0.339290831,4.84704E-07
cg17662034,-0.81420233,4.85512E-07
cg24005950,-0.16037651,4.8767E-07
cg13974632,0.429719973,4.89215E-07
cg04344749,0.311840397,4.91219E-07
cg10811945,-0.429506041,4.9146E-07
cg02355885,0.176443752,4.95318E-07
cg26779676,0.244608128,4.9554E-07
cg20025970,-0.318499982,4.95663E-07
cg12869659,0.536536413,5.00712E-07
cg11619602,-0.285479235,5.02222E-07
cg15325704,-0.207075942,5.06716E-07
cg14149774,-0.232914638,5.08402E-07
cg08331398,-0.44717799,5.08672E-07
cg20784295,-0.35095543,0.000000509
cg24037746,-0.389735566,5.09664E-07
cg18551822,-0.428739095,0.000000514
cg05710032,-0.343279725,5.14173E-07
cg04869854,0.515056982,5.16464E-07
cg05120042,-0.362571286,5.22732E-07
cg06887414,-0.095456901,5.26273E-07
cg15634474,-0.475172896,5.30445E-07
cg13420364,-0.287918478,5.30598E-07
cg14193653,-0.587130443,5.31506E-07
cg15740507,-0.341483992,5.32098E-07
cg05046377,-0.335315874,5.32209E-07
cg19348484,-0.261585194,5.32649E-07
cg00396865,-0.278156311,5.33661E-07
cg10202727,-0.343624896,5.3824E-07
cg01476047,-0.548883961,5.46297E-07
cg18106582,-0.50478336,5.47564E-07
cg07794554,-0.219989698,5.49237E-07
cg14425733,-0.300125537,5.50142E-07
cg22344611,0.225903512,5.5132E-07
cg00544573,-0.384347713,5.51449E-07
cg21610516,-0.14306526,5.53926E-07
cg19521279,-0.228629635,0.000000556
cg14588638,-0.094865282,5.5731E-07
cg13451471,-0.314722079,5.57552E-07
cg12192282,-0.351133675,5.58918E-07
cg08608126,-0.263599893,5.60607E-07
cg27095222,-0.618275974,5.60638E-07
cg13977835,0.530624848,5.62729E-07
cg09293391,-0.266386924,5.66559E-07
cg12453378,-0.256004368,5.68948E-07
cg06280807,-0.465953245,5.71177E-07
cg08835985,-0.214753766,5.77355E-07
cg24341611,0.195211392,5.84058E-07
cg24278087,-0.592441119,5.8641E-07
cg12259792,-0.175657992,5.87503E-07
cg07210454,-0.316620839,5.89206E-07
cg08697251,-0.528363687,5.91185E-07
cg08606497,0.217165027,5.93708E-07
cg20065905,-0.331597182,5.96901E-07
cg17480641,-0.421994096,5.979E-07
cg27588356,-0.561280099,6.02125E-07
cg06442489,-0.156862058,0.000000612
cg10898024,-0.266968838,6.16801E-07
cg20778199,-0.353166647,6.17261E-07
cg09307689,-0.177487707,6.18924E-07
cg16348668,-0.414544975,6.2634E-07
cg22135269,-0.307326994,6.2728E-07
cg26794715,0.212980801,6.27327E-07
cg03687241,-0.252029989,6.31057E-07
cg26334507,-0.221831415,6.35311E-07
cg14467816,-0.400099231,6.35858E-07
cg05317038,0.101096431,6.38496E-07
cg18245230,-0.457657943,6.39053E-07
cg00257455,0.194349164,6.43542E-07
cg03542031,-0.316451155,6.45223E-07
cg05376869,-0.39061174,6.48518E-07
cg04421583,-0.383388663,6.50116E-07
cg03499161,-0.207236781,6.50676E-07
cg16036142,0.317396198,6.51427E-07
cg02744249,-0.364745656,6.59372E-07
cg08146256,-0.478460387,6.73163E-07
cg06216103,-0.269745704,6.75575E-07
cg10027752,-0.152727329,6.77051E-07
cg06534427,-0.331995616,6.79171E-07
cg14394939,-0.279088298,6.79198E-07
cg08716684,-0.33415438,6.81593E-07
cg04755523,-0.453943284,6.8332E-07
cg17412165,-0.12482407,6.84811E-07
cg08845721,-0.480922122,6.90093E-07
cg18717067,-0.409284736,0.000000695
cg16061498,0.138428825,6.96484E-07
cg27310092,-0.417327909,6.97902E-07
cg27073066,-0.370007277,7.01618E-07
cg03976788,-0.115110019,7.12682E-07
cg01789576,-0.189581562,7.14671E-07
cg22976120,-0.306782966,7.21863E-07
cg03899643,-0.476770693,7.23122E-07
cg01144933,0.122646525,7.25249E-07
cg10059056,0.319129224,7.25456E-07
cg11737318,-0.303718521,7.28866E-07
cg27417606,-0.353392465,7.30717E-07
cg05892024,-0.336038406,7.33161E-07
cg11631011,-0.423705381,7.35247E-07
cg09187338,-0.268198851,7.4189E-07
cg27614534,-0.219530951,7.44877E-07
cg15862380,-0.194112713,7.48658E-07
cg03337084,-0.130699237,7.49389E-07
cg08591265,-0.566122795,7.50562E-07
cg14226702,0.26881491,7.52217E-07
cg11940177,-0.859093936,7.58715E-07
cg08264124,-0.201644912,7.64877E-07
cg05193538,0.438200664,0.000000765
cg25338531,-0.249349318,7.73873E-07
cg17994788,-0.337991733,0.000000778
cg11076160,-0.572365862,7.80203E-07
cg21490635,-0.24019672,7.80711E-07
cg01546919,-0.347040062,7.80878E-07
cg04280590,-0.39997567,7.90226E-07
cg22160735,-0.141733188,7.9658E-07
cg04212239,-0.286196116,7.99656E-07
cg12705693,-0.433805597,8.03744E-07
cg22383924,-0.280158606,8.11391E-07
cg04885881,-0.372036857,8.1155E-07
cg13815820,-0.228933793,8.12282E-07
cg25246082,-0.517711441,8.12624E-07
cg25188398,-0.19628284,0.000000815
cg04895233,-0.383740405,8.156E-07
cg21545859,-0.469247636,0.000000817
cg22579950,-0.111153261,8.1891E-07
cg08880817,-0.278539946,8.19808E-07
cg05721093,-0.405568886,8.21323E-07
cg21282907,-0.261289091,8.21615E-07
cg11025609,-0.341029758,8.21874E-07
cg21861305,-0.344892421,8.28543E-07
cg04192867,0.156450629,0.000000835
cg22014600,-0.530224953,8.39414E-07
cg06378494,-0.164461246,0.000000843
cg23076913,-0.233749617,8.48314E-07
cg11930477,0.111945129,8.50763E-07
cg06428620,0.180719422,8.55174E-07
cg11940960,-0.282150761,8.5793E-07
cg07625783,-0.313597403,8.61689E-07
cg04389950,-0.186212174,0.000000863
cg18324583,-0.594893245,8.67375E-07
cg26912251,-0.271094893,0.000000868
cg06968926,-0.203349684,8.72336E-07
cg23282441,0.328285432,8.73119E-07
cg03440944,-0.354507614,8.7645E-07
cg05010058,0.262865651,8.77421E-07
cg04625536,-0.133570592,8.77608E-07
cg05826817,-0.386518903,8.79558E-07
cg13653144,0.299219854,8.79709E-07
cg06956646,0.070040525,8.79844E-07
cg17638730,-0.223891384,8.799E-07
cg19736900,-0.179068683,8.80319E-07
cg23185829,0.139304556,8.84476E-07
cg04697056,-0.417866679,8.88132E-07
cg01219549,-0.267434459,8.91053E-07
cg11627823,0.168791668,8.91611E-07
cg08309106,-0.362327148,8.94155E-07
cg05963604,-0.455559673,8.94719E-07
cg01356829,-0.299408962,8.97522E-07
cg17578642,-0.321202544,9.03083E-07
cg14478422,-0.318760302,9.04924E-07
cg03432241,-0.345693354,9.08457E-07
cg27615938,-0.472906827,9.09837E-07
cg17510385,-0.276415414,9.10468E-07
cg12897164,-0.44692919,9.18139E-07
cg09652746,-0.382799983,9.205E-07
cg13599017,-0.178308016,0.000000923
cg23297413,-0.344325708,9.28235E-07
cg12165546,0.111648129,9.32091E-07
cg26756193,-0.195928272,9.3683E-07
