"cpg","beta","se","p","i2","p_het","details"
"cg05575921",-0.9943,0.1499,3.33e-11,"","",""
"cg03636183",-0.9163,0.1464,3.86e-10,"","",""
"cg21566642",-1.0217,0.1685,1.33e-09,"","",""
"cg06126421",-0.8916,0.1476,1.52e-09,"","",""
"cg25305703",-0.7985,0.1445,3.28e-08,"","",""
"cg21161138",-0.7765,0.1425,5.01e-08,"","",""
"cg01940273",-0.821,0.1508,5.21e-08,"","",""
"cg02451831",-0.844,0.1562,6.55e-08,"","",""
"cg05951221",-0.8916,0.1665,8.59e-08,"","",""
"cg04884171",-1.1087,0.1944,1.18e-08,"","",""
"cg03898802",-0.9943,0.1878,1.2e-07,"","",""
