"cpg","beta","se","p","i2","p_het","details"
"cg00574958",0.4826574,0.06064,1.73e-15,"","",""
"cg17058475",0.4387933,0.06762,8.65e-11,"","",""
"cg06500161",-0.35737672,0.05701,3.65e-10,"","",""
"cg19693031",0.30284438,0.05726,1.23e-07,"","",""
"cg13957126",0.30972716,0.06252,7.26e-07,"","",""
"cg25900902",0.26098031,0.05463,1.78e-06,"","",""
"cg27243685",-0.28441292,0.06107,3.21e-06,"","",""
"cg12556569",-0.2465084,0.05308,3.42e-06,"","",""
"cg15991175",0.40318394,0.08802,4.64e-06,"","",""
"cg12580096",0.30590481,0.06711,5.15e-06,"","",""
"cg26403843",-0.25908294,0.05688,5.25e-06,"","",""
"cg26954671",0.24860597,0.05461,5.3e-06,"","",""
"cg23779604",0.22641613,0.05133,1.03e-05,"","",""
"cg08857797",-0.38552317,0.08773,1.11e-05,"","",""
"cg23728471",-0.29145822,0.06655,1.19e-05,"","",""
"cg08309687",0.30525979,0.07024,1.385e-05,"","",""
"cg26272417",0.20460013,0.04753,1.67e-05,"","",""
"cg18944582",0.21864295,0.0509,1.745e-05,"","",""
"cg25801976",-0.60819829,0.14207,1.86e-05,"","",""
"cg24085885",-0.24349801,0.05693,1.89e-05,"","",""
"cg23249868",0.27099472,0.0637,2.095e-05,"","",""
"cg24727203",0.31462064,0.07403,2.14e-05,"","",""
"cg22348298",0.215785,0.05083,2.18e-05,"","",""
"cg11024682",-0.27235672,0.06429,2.27e-05,"","",""
"cg06690548",0.22794816,0.05385,2.305e-05,"","",""
"cg06828143",0.22578955,0.05341,2.36e-05,"","",""
"cg06577658",0.21102498,0.05007,2.505e-05,"","",""
"cg07472069",0.20693858,0.04958,2.995e-05,"","",""
"cg04176169",0.22307117,0.05364,3.205e-05,"","",""
"cg26385126",-0.28219783,0.06789,3.23e-05,"","",""
"cg09737197",0.27949715,0.06732,3.3e-05,"","",""
"cg20449590",-0.21781014,0.05256,3.41e-05,"","",""
"cg01403906",-0.23835534,0.05752,3.41e-05,"","",""
"cg09704415",0.2611247,0.06305,3.45e-05,"","",""
"cg20948271",0.2605719,0.06294,3.475e-05,"","",""
"cg14642045",-0.6530472,0.15866,3.855e-05,"","",""
"cg14597545",-0.42565224,0.10358,3.965e-05,"","",""
"cg08672537",0.19498821,0.04745,3.97e-05,"","",""
"cg14779329",0.21166743,0.05159,4.08e-05,"","",""
"cg04816348",-0.229381,0.05595,4.13e-05,"","",""
"cg22723887",-0.21462056,0.05237,4.165e-05,"","",""
"cg25441771",-0.19617786,0.04796,4.3e-05,"","",""
"cg20912752",0.20058271,0.04912,4.43e-05,"","",""
"cg19266329",0.26923698,0.06595,4.46e-05,"","",""
"cg01048272",0.19728939,0.04835,4.49e-05,"","",""
"cg02497758",0.23148695,0.05675,4.525e-05,"","",""
"cg17740950",-0.20679224,0.05073,4.575e-05,"","",""
"cg06819923",-0.26920503,0.06605,4.59e-05,"","",""
"cg24585690",0.30131027,0.07395,4.61e-05,"","",""
"cg08433504",-0.21284769,0.05228,4.675e-05,"","",""
"cg05267893",0.22168183,0.05458,4.88e-05,"","",""
"cg20782743",-0.22321148,0.05497,4.895e-05,"","",""
"cg20808080",0.26689157,0.06576,4.935e-05,"","",""
"cg23256971",0.21968131,0.05426,5.155e-05,"","",""
"cg16567723",0.21775311,0.05389,5.33e-05,"","",""
"cg16234557",-0.23733179,0.05879,5.42e-05,"","",""
"cg05928849",-0.66113383,0.16403,5.565e-05,"","",""
"cg16393899",-0.49917102,0.12393,5.63e-05,"","",""
"cg07462861",0.19709733,0.04897,5.7e-05,"","",""
"cg01023751",0.22277093,0.05537,5.745e-05,"","",""
"cg25933015",-0.20945013,0.05226,6.12e-05,"","",""
"cg17656763",0.24885422,0.06217,6.26e-05,"","",""
"cg20227530",-0.20438626,0.05107,6.275e-05,"","",""
"cg25232942",0.2176102,0.05443,6.38e-05,"","",""
"cg13320626",0.19846612,0.0497,6.525e-05,"","",""
"cg17953300",-0.24072266,0.06035,6.65e-05,"","",""
"cg18582824",0.28452259,0.07149,6.895e-05,"","",""
"cg06840167",-0.2514067,0.06322,6.995e-05,"","",""
"cg26529376",0.20304289,0.05107,7.02e-05,"","",""
"cg03523799",0.2331121,0.05866,7.07e-05,"","",""
"cg15375424",0.57319993,0.14432,7.135e-05,"","",""
"cg15512534",-0.22419079,0.05645,7.145e-05,"","",""
"cg11622008",0.19591326,0.04941,7.335e-05,"","",""
"cg08479976",-0.19216302,0.04849,7.415e-05,"","",""
"cg00452199",0.21972856,0.05552,7.58e-05,"","",""
"cg00324592",0.24464899,0.06206,8.07e-05,"","",""
"cg10192877",-0.24086414,0.06113,8.15e-05,"","",""
"cg21903765",-0.20554882,0.05217,8.15e-05,"","",""
"cg14144366",-0.20902294,0.05307,8.205e-05,"","",""
"cg02006647",0.20312773,0.0516,8.26e-05,"","",""
"cg16041660",0.22496489,0.05717,8.325e-05,"","",""
"cg14349201",-0.22368222,0.05695,8.575e-05,"","",""
"cg19998573",0.19934446,0.0508,8.705e-05,"","",""
"cg10785153",0.22427373,0.05741,9.355e-05,"","",""
"cg02057239",0.22751021,0.05829,9.49e-05,"","",""
"cg25949447",-0.50116217,0.12857,9.695e-05,"","",""
"cg10512376",0.24690431,0.06338,9.795e-05,"","",""
"cg05907764",0.21048096,0.05403,9.805e-05,"","",""
"cg20135351",0.20854753,0.05354,9.815e-05,"","",""
"cg10501896",0.18772069,0.04823,9.94e-05,"","",""
