cpg,beta,se,p,i2,p_het,details
cg10311104,-0.005175429,,0.069665107,,,
cg08752433,0.015574732,,0.015195641,,,
cg26314722,0.009497842,,0.037811162,,,
cg24054898,0.004612165,,0.255041857,,,
cg23684410,0.019928665,,0.000111363,,,
cg00945209,0.005859546,,0.235880045,,,
cg18518074,0.007858502,,0.033508129,,,
cg09706133,0.009645909,,0.011382253,,,
cg21522988,0.011635495,,0.020948367,,,
cg02656560,0.011023957,,0.005608893,,,
cg11418177,0.011340155,,0.090536653,,,
cg06736148,0.013786052,,0.018402764,,,
cg08655071,0.01106266,,0.010237658,,,
cg00829438,-0.003854035,,0.220203809,,,
cg27541604,0.01063456,,0.009120052,,,
cg03149593,-0.01161518,,0.077176941,,,
cg14178364,0.001314629,,0.718976661,,,
cg14038731,0.000884234,,0.830156477,,,
cg20737259,-0.018896222,,0.097948159,,,
cg09470958,0.002983876,,0.485259012,,,
cg13803727,0.009530557,,0.07881115,,,
cg03402926,0.004107256,,0.367839755,,,
cg07326387,-0.022109798,,0.005939377,,,
cg00092992,0.006981922,,0.142566031,,,
cg03665078,0.006351665,,0.144808132,,,
cg17327171,0.008978242,,0.057117383,,,
cg17598574,0.001324904,,0.734677482,,,
cg25700513,0.003778105,,0.423173161,,,
cg16704703,0.003758001,,0.521281476,,,
cg21890646,0.016278602,,0.002148748,,,
cg09682727,0.006092034,,0.14260902,,,
cg03411579,0.016661243,,0.000614389,,,
cg15063951,0.005595969,,0.190722407,,,
cg05304729,0.008290379,,0.215987937,,,
cg24003273,-0.014983541,,0.065139356,,,
cg02183564,0.001574118,,0.766618977,,,
cg05126095,0.011985732,,0.047823687,,,
cg04232615,-0.000636977,,0.751674656,,,
cg24803637,-0.005614355,,0.167667146,,,
cg02488934,0.020626289,,0.000107241,,,
cg10833838,0.002856822,,0.494333798,,,
cg24918798,-0.019376792,,0.06104859,,,
cg07739398,-0.009091114,,0.324380612,,,
cg05726118,0.015617015,,0.019301587,,,
cg18675847,-0.007376737,,0.264332101,,,
cg05995496,0.013096485,,0.031083664,,,
cg03328526,-0.001541778,,0.522477702,,,
cg23480341,0.000671142,,0.853574514,,,
cg10461878,0.007064416,,0.213116753,,,
cg06180389,0.014105537,,0.00590072,,,
cg03117379,0.003555275,,0.502806824,,,
cg17452625,-0.005110628,,0.396700216,,,
cg09130043,0.003528815,,0.295574875,,,
cg21598389,-0.016954742,,0.031841013,,,
cg03655692,0.00290556,,0.519312936,,,
cg02739853,-0.013835443,,0.07176349,,,
cg21508639,0.012390817,,0.022906795,,,
cg11821200,0.009209651,,0.097062941,,,
cg10787197,0.015173329,,0.008963891,,,
cg12178432,-0.020845874,,0.069227769,,,
cg25811526,0.008492992,,0.100108207,,,
