"cpg","beta","se","p","i2","p_het","details"
"cg19722082",-0.215,0.0448,1.63e-06,"","",""
"cg01145119",0.0843,0.0178,2.16e-06,"","",""
"cg18155359",0.602,0.1398,1.67e-05,"","",""
"cg08843623",0.0934,0.022,2.14e-05,"","",""
"cg22058452",0.674,0.1607,2.73e-05,"","",""
"cg23606623",-0.198,0.0473,2.87e-05,"","",""
"cg27081103",-0.238,0.0572,3.21e-05,"","",""
"cg06182923",-0.154,0.0371,3.28e-05,"","",""
"cg08059112",0.0672,0.0163,3.71e-05,"","",""
"cg02798899",0.0908,0.0222,4.47e-05,"","",""
"cg18074834",0.0514,0.0126,4.47e-05,"","",""
"cg04654716",0.0503,0.0123,4.55e-05,"","",""
"cg15727507",0.0669,0.0165,4.78e-05,"","",""
"cg05693864",0.226,0.056,5.42e-05,"","",""
"cg08696494",0.081,0.0201,5.74e-05,"","",""
"cg25810455",0.957,0.2381,5.82e-05,"","",""
"cg03710029",0.063,0.0157,5.87e-05,"","",""
"cg26628751",0.0736,0.0183,5.94e-05,"","",""
"cg04854089",0.137,0.0343,6.59e-05,"","",""
"cg16657453",0.454,0.1141,6.88e-05,"","",""
"cg07970325",0.0535,0.0135,7.22e-05,"","",""
"cg12033248",-0.245,0.0622,8.29e-05,"","",""
"cg21429107",0.132,0.0336,8.43e-05,"","",""
"cg16371598",-0.238,0.0607,8.77e-05,"","",""
"cg09664445",0.0507,0.0129,8.86e-05,"","",""
"cg23606775",0.0559,0.0143,9.7e-05,"","",""
"cg01604412",0.0727,0.0187,9.83e-05,"","",""
