cpg,beta,se,p,i2,p_het,details
cg25823837,0.058202669,,1.71E-07,,,
cg08754149,-0.074561122,,7.38E-07,,,
cg01748627,-0.05014235,,7.42E-07,,,
cg00897703,-0.062943661,,1.16E-06,,,
cg09444818,0.083033229,,1.16E-06,,,
cg02691035,-0.065571482,,1.54E-06,,,
cg04136369,0.068500293,,1.77E-06,,,
cg06784691,0.065591855,,1.78E-06,,,
cg06289725,0.100949948,,1.81E-06,,,
cg18628732,0.05278224,,2.02E-06,,,
cg01649773,0.056436564,,2.42E-06,,,
cg01430588,-0.060068485,,2.64E-06,,,
cg11787160,0.100598182,,3.13E-06,,,
cg01595951,-0.101290387,,3.19E-06,,,
cg26952936,0.051564896,,3.43E-06,,,
cg14981253,0.080714968,,3.44E-06,,,
cg16639540,0.076674549,,3.46E-06,,,
cg14757543,0.05189707,,3.93E-06,,,
cg21816330,0.064454978,,3.93E-06,,,
cg24777028,0.065949541,,4.69E-06,,,
cg06777352,0.058825297,,4.72E-06,,,
cg19843457,0.059674239,,4.82E-06,,,
cg13917578,-0.050444451,,5.17E-06,,,
cg21334513,0.084904077,,5.23E-06,,,
cg27282900,0.058159297,,5.43E-06,,,
cg23744638,0.082553518,,5.86E-06,,,
cg16659470,0.053206708,,5.95E-06,,,
cg18892212,0.064503054,,6.43E-06,,,
cg13804575,0.097383391,,6.70E-06,,,
cg05260085,0.05844602,,6.82E-06,,,
cg27428708,0.083238375,,7.30E-06,,,
cg08250081,0.075415672,,7.33E-06,,,
cg02098413,-0.052681307,,7.46E-06,,,
cg25291978,-0.052170615,,8.18E-06,,,
cg00566516,0.053593291,,8.69E-06,,,
cg26337070,0.099347409,,9.11E-06,,,
cg04383058,-0.053870578,,9.56E-06,,,
cg18064171,0.052765527,,9.87E-06,,,
cg20702913,0.05545209,,9.95E-06,,,
cg17055704,0.062753425,,1.00E-05,,,
cg17264240,0.078551666,,1.01E-05,,,
cg18633154,-0.057280303,,1.04E-05,,,
cg17118478,-0.054502829,,1.18E-05,,,
cg03517083,0.07117004,,1.18E-05,,,
cg23475018,-0.05978257,,1.24E-05,,,
cg24980653,0.05422966,,1.25E-05,,,
cg15406387,0.062919875,,1.32E-05,,,
cg19645639,-0.070888623,,1.34E-05,,,
cg12940993,0.055786495,,1.37E-05,,,
cg22429121,0.072854986,,1.40E-05,,,
cg02979520,0.052995713,,1.42E-05,,,
cg22738642,-0.084909515,,1.52E-05,,,
cg18872749,0.057052529,,1.49E-05,,,
cg13461273,0.059479882,,1.51E-05,,,
cg13474083,0.055737944,,1.51E-05,,,
cg01919208,0.064235215,,1.56E-05,,,
cg16550264,-0.083210389,,1.57E-05,,,
cg23506143,0.10691491,,1.67E-05,,,
cg00852921,0.069960232,,1.69E-05,,,
cg21491107,0.06847089,,1.69E-05,,,
cg24837370,0.082112728,,1.86E-05,,,
cg01480384,-0.065530011,,1.87E-05,,,
cg02276944,0.053666456,,1.90E-05,,,
cg08248579,0.070027367,,2.08E-05,,,
cg01015662,0.07659467,,2.22E-05,,,
cg04204452,0.052563808,,2.23E-05,,,
cg13035046,0.054436342,,2.24E-05,,,
cg04543516,0.06213922,,2.25E-05,,,
cg25879142,0.05675173,,2.32E-05,,,
cg17322044,0.095406066,,2.35E-05,,,
cg04622802,0.059471259,,2.37E-05,,,
cg07584855,0.0633676,,2.64E-05,,,
cg00174992,0.06287552,,2.71E-05,,,
cg23079252,0.076346862,,2.79E-05,,,
cg07980854,0.055140926,,2.79E-05,,,
cg25972578,-0.078487083,,2.97E-05,,,
cg25109396,0.084173525,,2.85E-05,,,
cg17161520,-0.062641453,,2.87E-05,,,
