cpg,beta,p
cg01751800,-0.017,0.000085
cg02711608,-0.021,0.0005
cg03979241,0.03,0.000032
cg04161365,-0.028,0.00014
cg06500161,0.021,0.0027
cg06946797,-0.017,0.00033
cg07092212,-0.067,0.00000095
cg09349128*,-0.019,0.0077
cg09469355,-0.019,0.0031
cg09613192,0.013,0.00061
cg09694782,-0.031,0.00000051
cg11307565,-0.029,0.00024
cg11376147,-0.043,0.0012
cg11990813,0.059,0.0000067
cg12593793,-0.011,0.166
cg13016916,0.015,0.00000031
cg15309457*,-0.017,0.00055
cg17266233,-0.087,0.00000057
cg17588294,-0.027,0.00018
cg17971578,-0.019,0.0057
cg18337963,-0.063,0.0000013
cg20477259,-0.031,0.0026
cg22065733,-0.057,0.00000038
cg22798214,-0.024,0.00043
cg23899654,-0.068,0.00000056
cg27434584*,0.038,0.0000013
