"cpg","beta","se","p","i2","p_het","details"
"cg16936953",-3.52,0.4618,2.48e-14,"","",""
"cg20995564",-4.34,0.622,3e-12,"","",""
"cg12054453",-2.85,0.4303,3.53e-11,"","",""
"cg01409343",-4.14,0.6849,1.5e-09,"","",""
"cg27023597",-3.92,0.6718,5.39e-09,"","",""
"cg18942579",-3.2,0.565,1.48e-08,"","",""
"cg19821297",-3.47,0.6542,1.13e-07,"","",""
"cg09349128",-5.58,1.0778,2.25e-07,"","",""
"cg19369616",3.62,0.703,2.61e-07,"","",""
"cg17150809",-4.69,0.9373,5.62e-07,"","",""
"cg11393173",-4.76,0.9604,7.18e-07,"","",""
"cg18608055",-3.98,0.8155,1.06e-06,"","",""
"cg07573872",-3.72,0.7679,1.27e-06,"","",""
"cg12992827",-3.8,0.7876,1.4e-06,"","",""
"cg13165240",3.92,0.8335,2.56e-06,"","",""
"cg13033858",-3.5,0.7507,3.13e-06,"","",""
"cg06092244",-5.9,1.027,9.19e-09,"","",""
"cg18193094",4.65,0.9955,3e-06,"","",""
"cg02782634",-4.24,0.8397,4.43e-07,"","",""
"cg08946658",12.01,2.5561,2.62e-06,"","",""
"cg16987754",5.17,1.0914,2.17e-06,"","",""
"cg01243312",3.49,0.719,1.21e-06,"","",""
"cg18018828",5.69,1.2055,2.36e-06,"","",""
"cg13781414",-4.1,0.8629,2.02e-06,"","",""
"cg17051905",-7.77,1.6132,1.46e-06,"","",""
"cg01939562",4.5,0.9457,1.95e-06,"","",""
"cg02709924",-2.72,0.5466,6.48e-07,"","",""
"cg06073220",-3.39,0.7142,2.07e-06,"","",""
"cg12790638",3.39,0.6569,2.46e-07,"","",""
"cg13139542",7.21,1.264,1.17e-08,"","",""
"cg07805542",-2.92,0.5394,6.17e-08,"","",""
