"cpg","beta","se","p","i2","p_het","details"
"cg16171858",0.0337,0.0032,9.2e-26,"","",""
"cg12277888",0.03184,0.0031,2.42e-24,"","",""
"cg10483475",0.06968,0.007,1.76e-23,"","",""
"cg08875433",0.06596,0.0068,2.84e-22,"","",""
"cg11000707",0.04086,0.0042,5.82e-22,"","",""
"cg04304932",0.02643,0.0027,5.88e-22,"","",""
"cg15948012",0.02822,0.0029,6.45e-22,"","",""
"cg05097455",0.01581,0.0016,9.02e-22,"","",""
"cg22898082",0.02991,0.0031,1.02e-21,"","",""
"cg20856436",0.01367,0.0014,1.36e-21,"","",""
"cg05157492",0.04958,0.0052,1.85e-21,"","",""
"cg04576764",0.0303,0.0032,1.87e-21,"","",""
"cg11164639",-0.05039,0.0053,2.91e-21,"","",""
"cg10468484",0.02972,0.0031,3.4e-21,"","",""
"cg00470768",0.05052,0.0054,3.87e-21,"","",""
"cg10483333",0.041,0.0043,4.04e-21,"","",""
"cg04400940",0.04214,0.0045,5.46e-21,"","",""
"cg00333364",0.0424,0.0045,5.58e-21,"","",""
"cg14992138",0.04375,0.0047,7.03e-21,"","",""
"cg19102858",0.01501,0.0016,8.83e-21,"","",""
"cg12172295",0.04609,0.0049,1.15e-20,"","",""
"cg02786368",0.03171,0.0034,1.18e-20,"","",""
"cg26112390",0.05295,0.0057,1.18e-20,"","",""
"cg19751754",0.06458,0.0069,1.36e-20,"","",""
"cg19707448",0.05141,0.0055,1.38e-20,"","",""
"cg03496289",0.01535,0.0017,1.46e-20,"","",""
"cg15775457",0.01384,0.0015,1.7e-20,"","",""
"cg25683101",0.01944,0.0021,2.65e-20,"","",""
"cg08048656",0.01453,0.0016,2.71e-20,"","",""
"cg25905459",0.01422,0.0015,2.71e-20,"","",""
"cg10904028",-0.01982,0.0021,2.79e-20,"","",""
"cg00376625",0.0187,0.002,2.86e-20,"","",""
"cg03076790",-0.01737,0.0019,3.35e-20,"","",""
"cg02393156",0.01473,0.0016,3.99e-20,"","",""
"cg17357161",0.01651,0.0018,4.04e-20,"","",""
"cg16884295",0.03364,0.0037,5.08e-20,"","",""
"cg03793778",0.02475,0.0027,5.11e-20,"","",""
"cg21254083",0.01657,0.0018,5.2e-20,"","",""
"cg22031736",0.01555,0.0017,5.84e-20,"","",""
"cg20161996",-0.02055,0.0022,5.95e-20,"","",""
"cg00462311",0.03616,0.004,6.13e-20,"","",""
"cg04635849",0.05118,0.0056,6.27e-20,"","",""
"cg22531172",0.01799,0.002,6.39e-20,"","",""
"cg21889078",0.04112,0.0045,6.57e-20,"","",""
"cg02628374",0.01242,0.0014,6.71e-20,"","",""
"cg15264303",0.02752,0.003,6.94e-20,"","",""
"cg14079545",0.03279,0.0036,7.24e-20,"","",""
"cg22444720",0.0116,0.0013,7.69e-20,"","",""
"cg23098012",0.01326,0.0015,8.71e-20,"","",""
"cg17896229",0.04113,0.0045,9.8e-20,"","",""
"cg06312221",0.02787,0.0031,1.04e-19,"","",""
"cg18642567",0.04971,0.0055,1.09e-19,"","",""
"cg09235723",0.04427,0.0049,1.12e-19,"","",""
"cg11496113",0.04517,0.005,1.14e-19,"","",""
"cg22247041",0.0372,0.0041,1.22e-19,"","",""
"cg01372694",0.04204,0.0046,1.24e-19,"","",""
"cg25291941",-0.0436,0.0048,1.62e-19,"","",""
"cg09941112",0.01526,0.0017,1.68e-19,"","",""
"cg11510269",0.01687,0.0019,1.77e-19,"","",""
"cg14990333",0.01773,0.002,1.78e-19,"","",""
"cg06021189",-0.01921,0.0021,1.83e-19,"","",""
"cg20565980",0.01372,0.0015,1.87e-19,"","",""
"cg19138325",0.02843,0.0032,2.12e-19,"","",""
"cg09571369",0.02528,0.0028,2.2e-19,"","",""
"cg19102404",0.03014,0.0034,2.36e-19,"","",""
"cg13396858",0.04896,0.0054,2.43e-19,"","",""
"cg20973878",0.02931,0.0033,2.58e-19,"","",""
"cg24155739",-0.0192,0.0021,2.7e-19,"","",""
"cg12580665",0.00714,8e-04,3.16e-19,"","",""
"cg09618640",0.02521,0.0028,3.34e-19,"","",""
"cg15880846",0.01768,0.002,3.46e-19,"","",""
"cg15482861",0.02164,0.0024,3.62e-19,"","",""
"cg21740204",0.02012,0.0023,3.95e-19,"","",""
"cg13657659",0.03365,0.0038,4.03e-19,"","",""
"cg13031679",0.01335,0.0015,4.87e-19,"","",""
"cg14559409",0.07403,0.0083,4.96e-19,"","",""
"cg10851071",0.018,0.002,5.05e-19,"","",""
"cg04114267",0.01961,0.0022,5.11e-19,"","",""
"cg07245980",0.02199,0.0025,5.77e-19,"","",""
"cg09757277",0.02503,0.0028,6.85e-19,"","",""
"cg22907415",0.02366,0.0027,7.02e-19,"","",""
"cg19153883",0.0467,0.0053,7.12e-19,"","",""
"cg25300318",0.04951,0.0056,7.61e-19,"","",""
"cg26348684",0.03419,0.0039,7.89e-19,"","",""
"cg22871559",0.0124,0.0014,8.28e-19,"","",""
"cg03975948",0.01262,0.0014,8.34e-19,"","",""
"cg01236961",0.04464,0.005,8.77e-19,"","",""
"cg05341425",0.01749,0.002,9e-19,"","",""
"cg04783210",0.0201,0.0023,9.7e-19,"","",""
