"cpg","beta","se","p","i2","p_het","details"
"cg00008621",0.0139,0.0025,1.44e-08,"","",""
"cg00017271",-0.0105,0.0023,7.76e-06,"","",""
"cg00025981",0.0125,0.0026,9.52e-07,"","",""
"cg00036976",-0.0067,0.0015,4.95e-06,"","",""
"cg00044665",-0.0082,0.0019,1.5e-05,"","",""
"cg00045787",0.0091,0.0018,6.87e-07,"","",""
"cg00048759",0.0089,0.0021,2.25e-05,"","",""
"cg00054890",0.0093,0.002,2.49e-06,"","",""
"cg00065935",0.0097,0.002,1.45e-06,"","",""
"cg00066663",-0.0132,0.0026,3.93e-07,"","",""
"cg00067720",-0.0099,0.0022,7.98e-06,"","",""
"cg00068155",0.0127,0.003,2e-05,"","",""
"cg00088042",0.0241,0.0041,4.23e-09,"","",""
"cg00160359",0.0112,0.0025,1.11e-05,"","",""
"cg00197026",-0.0131,0.0029,7.64e-06,"","",""
"cg00220102",0.0089,0.002,1.08e-05,"","",""
"cg00221745",0.0151,0.0025,2.55e-09,"","",""
"cg00257455",-0.0106,0.0025,2.11e-05,"","",""
"cg00270654",0.0106,0.0023,2.59e-06,"","",""
"cg00344202",0.0157,0.0034,3.61e-06,"","",""
"cg00367047",0.0147,0.0032,4.85e-06,"","",""
"cg00394316",0.028,0.0059,1.85e-06,"","",""
"cg00401972",-0.0106,0.0019,3.46e-08,"","",""
"cg00431673",0.0196,0.0037,1.55e-07,"","",""
"cg00460776",0.0193,0.0039,7.64e-07,"","",""
"cg00464814",-0.0128,0.0024,1.2e-07,"","",""
"cg00471645",0.0139,0.0026,8.85e-08,"","",""
"cg00481951",0.0153,0.0034,6.44e-06,"","",""
"cg00489219",0.0108,0.0025,1.39e-05,"","",""
"cg00503302",0.0154,0.0033,3.61e-06,"","",""
"cg00516222",0.0144,0.0024,2.02e-09,"","",""
"cg00530564",-0.0141,0.0032,7.84e-06,"","",""
"cg00533183",0.0135,0.0031,1.57e-05,"","",""
"cg00590036",0.0208,0.0035,2.3e-09,"","",""
"cg00620976",0.0117,0.0025,3.72e-06,"","",""
"cg00643222",0.0178,0.004,7.12e-06,"","",""
"cg00664406",0.0131,0.0028,3.97e-06,"","",""
"cg00684075",-0.0137,0.0028,9.36e-07,"","",""
"cg00702638",0.0465,0.0054,9.76e-18,"","",""
"cg00718470",0.02,0.0038,1.28e-07,"","",""
"cg00743094",0.0254,0.0034,1.64e-13,"","",""
"cg00785193",-0.0119,0.0027,1.1e-05,"","",""
"cg00830621",0.0125,0.0029,1.93e-05,"","",""
"cg00864666",-0.006,0.0014,1.85e-05,"","",""
"cg00950497",-0.011,0.0025,9.92e-06,"","",""
"cg01004363",-0.008,0.0018,8.53e-06,"","",""
"cg01054354",-0.0123,0.0025,9.43e-07,"","",""
"cg01094748",0.0148,0.0032,4.18e-06,"","",""
"cg01102833",-0.008,0.0019,2.11e-05,"","",""
"cg01122755",0.0225,0.003,1.04e-13,"","",""
"cg01141812",0.0109,0.0024,3.54e-06,"","",""
"cg01168339",0.0135,0.0029,2.3e-06,"","",""
"cg01202666",0.0135,0.0029,3.11e-06,"","",""
"cg01211097",-0.0066,0.0014,2.91e-06,"","",""
"cg01221157",0.0198,0.0047,2.29e-05,"","",""
"cg01245155",0.0146,0.0031,1.76e-06,"","",""
"cg01259029",0.0123,0.0027,4.41e-06,"","",""
"cg01271695",-0.0112,0.0018,8.54e-10,"","",""
"cg01272428",0.016,0.0035,6.16e-06,"","",""
"cg01281911",0.0278,0.0065,2.15e-05,"","",""
"cg01300684",0.0071,0.0016,1.02e-05,"","",""
"cg01322214",-0.0104,0.0021,4.39e-07,"","",""
"cg01428589",0.024,0.0056,2.13e-05,"","",""
"cg01441777",-0.0094,0.002,3.18e-06,"","",""
"cg01447660",-0.0155,0.003,2.45e-07,"","",""
"cg01486610",-0.0159,0.0032,7.19e-07,"","",""
"cg01556706",-0.0189,0.0043,1.29e-05,"","",""
"cg01637011",0.0119,0.0028,1.55e-05,"","",""
"cg01644850",0.0227,0.0038,1.79e-09,"","",""
"cg01657995",0.0073,0.0017,2.17e-05,"","",""
"cg01726767",0.0108,0.0025,1.66e-05,"","",""
"cg01754756",-0.0166,0.0035,1.5e-06,"","",""
"cg01837410",0.0142,0.0029,8.8e-07,"","",""
"cg01844642",0.0064,0.0013,5.03e-07,"","",""
