"cpg","beta","se","p","i2","p_het","details"
"cg24849517",-0.261690815,0.049845,1.51994e-07,"","","MBP"
"cg18622954",2.607999063,0.497876,1.62106e-07,"","","MCNP"
"cg14125468",0.225794125,0.047124,1.65579e-06,"","","MECPP"
"cg03244616",-0.39165486,0.081817,1.69308e-06,"","","MBP"
"cg10243292",0.633805054,0.132697,1.78524e-06,"","","MBzP"
"cg18518111",-0.429474433,0.091191,2.48183e-06,"","","MBP"
"cg17813879",1.091171809,0.231824,2.5152e-06,"","","MiBP"
"cg13500195",0.266279816,0.056814,2.77428e-06,"","","MEHHP"
"cg13500195",0.249001665,0.054083,4.14242e-06,"","","MEOHP"
"cg00562088",-0.125899751,0.027472,4.58761e-06,"","","MEP"
"cg06726474",0.350017637,0.076455,4.69307e-06,"","","MEP"
"cg11189715",0.399961992,0.087398,4.73221e-06,"","","MEP"
"cg06726474",0.404310743,0.088515,4.93043e-06,"","","Sum LMW"
"cg13500195",0.204942132,0.045116,5.55727e-06,"","","MEHP"
"cg05149386",0.324628122,0.071685,5.93972e-06,"","","MEHHP"
"cg25266603",-0.150692176,0.033319,6.10377e-06,"","","MEP"
"cg13168407",0.183505363,0.040586,6.14363e-06,"","","MEP"
"cg03768001",0.292522447,0.064767,6.28664e-06,"","","MEP"
"cg18049099",-0.135727345,0.030216,7.05768e-06,"","","Sum LMW"
"cg04307831",0.834985656,0.185987,7.13971e-06,"","","MBP"
"cg22684507",-0.277559451,0.061889,7.29858e-06,"","","MEOHP"
"cg05048917",-0.125928462,0.028319,8.71619e-06,"","","MEP"
"cg10781408",0.287830527,0.064787,8.88332e-06,"","","MEP"
"cg13500195",0.284568187,0.064055,8.88805e-06,"","","Sum DEHP"
"cg25266603",-0.171393238,0.038595,8.96174e-06,"","","Sum LMW"
"cg05265234",-0.200947271,0.045313,9.22197e-06,"","","Sum LMW"
"cg26085197",0.131503915,0.029672,9.33916e-06,"","","MEOHP"
"cg13500195",0.305501185,0.069012,9.56553e-06,"","","Sum HMW"
"cg11795222",0.175006719,0.0396,9.89907e-06,"","","MECPP"
"cg16702014",-0.182693325,0.04149,1.06624e-05,"","","MEP"
"cg08661874",-0.336123392,0.076512,1.11742e-05,"","","MBP"
"cg23365599",-0.382877501,0.087289,1.15291e-05,"","","MBP"
"cg11129772",-0.230887649,0.052639,1.15342e-05,"","","MBzP"
"cg14795227",-0.85630373,0.195482,1.18416e-05,"","","MCNP"
"cg21436444",-0.128316828,0.029308,1.19683e-05,"","","MEP"
"cg14125468",0.196980902,0.045086,1.24832e-05,"","","Sum DEHP"
"cg19167227",-0.296949923,0.068165,1.32267e-05,"","","MBP"
"cg07780534",-0.103079051,0.023678,1.34098e-05,"","","MEP"
"cg14125468",0.211380274,0.048576,1.35212e-05,"","","Sum HMW"
"cg11035992",-0.321721654,0.073969,1.36519e-05,"","","MBP"
"cg22684507",-0.342634893,0.078954,1.42694e-05,"","","Sum HMW"
"cg05149386",0.295710002,0.068239,1.4679e-05,"","","MEOHP"
"cg07006526",0.665078899,0.154061,1.58177e-05,"","","Sum HMW"
"cg07165529",-0.176251601,0.040828,1.58193e-05,"","","MEP"
"cg16317459",0.505294515,0.117514,1.70903e-05,"","","MBzP"
"cg08361399",0.23208889,0.053984,1.71419e-05,"","","MEHP"
"cg20668812",-0.293461617,0.068339,1.75333e-05,"","","MCNP"
"cg03768001",0.321886399,0.07497,1.75853e-05,"","","Sum LMW"
"cg01708493",0.542768093,0.126576,1.80235e-05,"","","MEOHP"
"cg00562088",-0.136077813,0.03182,1.89832e-05,"","","Sum LMW"
"cg10390979",-0.192846221,0.045118,1.91806e-05,"","","MCNP"
"cg05265234",-0.167683802,0.03927,1.95483e-05,"","","MEP"
"cg15713389",-0.141657209,0.033304,2.10501e-05,"","","MEP"
"cg01144768",-0.179124089,0.042205,2.19414e-05,"","","Sum LMW"
"cg19969778",1.756028104,0.413802,2.19919e-05,"","","MBzP"
"cg08854306",0.43451237,0.10256,2.26876e-05,"","","MEP"
"cg14331404",0.309864998,0.073222,2.31786e-05,"","","MEP"
"cg24334591",0.236213232,0.055931,2.4073e-05,"","","Sum DEHP"
"cg27480589",0.324182576,0.076769,2.41244e-05,"","","Sum LMW"
"cg06835628",0.289081869,0.068587,2.49993e-05,"","","MEHP"
"cg24334591",0.247041323,0.058656,2.53476e-05,"","","MECPP"
"cg16582062",1.760834176,0.41817,2.54457e-05,"","","Sum DEHP"
"cg17313483",0.333943581,0.079466,2.64138e-05,"","","MECPP"
"cg08854306",0.499945217,0.119027,2.66582e-05,"","","Sum LMW"
"cg18049099",-0.10995565,0.026196,2.69955e-05,"","","MEP"
"cg18252515",-0.626847384,0.1494,2.71958e-05,"","","MBzP"
"cg04800585",0.172833572,0.041204,2.73364e-05,"","","Sum HMW"
"cg26267259",-0.174333366,0.04157,2.74428e-05,"","","Sum LMW"
"cg03762802",-0.141661495,0.033787,2.75502e-05,"","","MEP"
"cg15093769",-0.350984561,0.083762,2.78633e-05,"","","MBP"
"cg16582062",1.836535431,0.438462,2.80704e-05,"","","MECPP"
"cg24042517",0.179536881,0.04287,2.81468e-05,"","","MEOHP"
"cg17313483",0.281924234,0.067371,2.85597e-05,"","","MEHHP"
"cg16582062",1.232957719,0.294793,2.88388e-05,"","","MEHP"
"cg10781408",0.312970961,0.074871,2.91313e-05,"","","Sum LMW"
"cg06942978",-0.27627383,0.066096,2.91653e-05,"","","MCNP"
"cg04022912",-0.14390023,0.034438,2.93421e-05,"","","MEP"
"cg05450995",0.416068984,0.099654,2.97819e-05,"","","MCPP"
"cg10359944",-0.145045275,0.034754,2.99982e-05,"","","MCPP"
"cg11795222",0.157704848,0.037827,3.05751e-05,"","","Sum DEHP"
"cg10187221",-0.536708333,0.128843,3.10554e-05,"","","MBzP"
"cg07433453",-0.111108635,0.026678,3.11711e-05,"","","MEP"
"cg16582062",1.873976672,0.45064,3.20379e-05,"","","Sum HMW"
"cg11253592",-0.280000372,0.067359,3.22659e-05,"","","MBP"
"cg03596479",-0.168931348,0.040687,3.296e-05,"","","Sum LMW"
"cg14159004",-0.151562177,0.036508,3.30351e-05,"","","MBzP"
"cg04800585",0.166520039,0.040132,3.33418e-05,"","","MECPP"
"cg22684507",-0.260251677,0.062728,3.34104e-05,"","","MBP"
"cg26267259",-0.148872799,0.035916,3.39716e-05,"","","MEP"
"cg08838806",0.18333132,0.044238,3.4099e-05,"","","MECPP"
"cg03903472",-0.107375653,0.025924,3.4446e-05,"","","MEP"
"cg07006526",0.438857348,0.105979,3.45848e-05,"","","MCPP"
"cg20727114",-0.237989149,0.057475,3.46228e-05,"","","MBzP"
"cg17313483",0.313834596,0.075829,3.49235e-05,"","","Sum DEHP"
"cg22684507",-0.242917753,0.058727,3.52842e-05,"","","MBzP"
"cg18408411",-0.10758205,0.026016,3.54616e-05,"","","MEP"
"cg17632124",-0.143133352,0.034629,3.57462e-05,"","","MBzP"
"cg04279164",-0.091019901,0.022023,3.5828e-05,"","","MBzP"
"cg04988918",-0.106405287,0.02575,3.59198e-05,"","","MEP"
"cg07124480",-0.219199624,0.05305,3.59692e-05,"","","MCPP"
"cg16582062",1.535124682,0.371747,3.63564e-05,"","","MEHHP"
"cg13168407",0.194214384,0.047045,3.65469e-05,"","","Sum LMW"
"cg16735781",-0.266076395,0.064518,3.72245e-05,"","","MCNP"
"cg16906346",0.479688104,0.116417,3.7817e-05,"","","MEOHP"
"cg18099632",-0.214402935,0.052086,3.85005e-05,"","","MEP"
"cg26137068",-0.295166004,0.071725,3.86757e-05,"","","MCNP"
"cg21399203",-0.204300636,0.049653,3.87838e-05,"","","MBzP"
"cg07006526",0.498895219,0.121301,3.90794e-05,"","","MEOHP"
"cg10930540",-0.193485349,0.0471,3.99153e-05,"","","MiBP"
"cg02638057",0.965991197,0.235215,4.0109e-05,"","","MCNP"
"cg06770163",-0.237254324,0.057801,4.04889e-05,"","","MBP"
"cg00660452",-0.311467624,0.075903,4.0698e-05,"","","MBP"
"cg25796062",-0.12361922,0.030127,4.07251e-05,"","","Sum LMW"
"cg13283896",-0.148981949,0.03633,4.11753e-05,"","","MEP"
"cg07630544",-0.343702322,0.083814,4.11789e-05,"","","MiBP"
"cg15995704",-0.230259912,0.056154,4.12256e-05,"","","Sum LMW"
"cg13969788",-0.148992116,0.036345,4.14205e-05,"","","MBzP"
"cg04988918",-0.122132371,0.029817,4.20226e-05,"","","Sum LMW"
"cg25510643",0.211770442,0.051749,4.27175e-05,"","","MEP"
"cg00759295",0.210462003,0.051429,4.27197e-05,"","","MEP"
"cg10954330",-0.990905633,0.242458,4.3715e-05,"","","MCPP"
"cg04800585",0.156387219,0.038286,4.41297e-05,"","","Sum DEHP"
"cg14125468",0.155875935,0.038183,4.45902e-05,"","","MEOHP"
"cg16582062",1.444068112,0.353768,4.46569e-05,"","","MEOHP"
"cg05775862",0.509746056,0.12488,4.46693e-05,"","","Sum HMW"
"cg16702014",-0.195696291,0.047978,4.52488e-05,"","","Sum LMW"
"cg07473023",0.324273028,0.079555,4.58033e-05,"","","MEP"
"cg25619459",-0.154422782,0.037902,4.61683e-05,"","","MCPP"
"cg26085197",0.127351203,0.031264,4.63208e-05,"","","MEHHP"
"cg01878252",-0.17424728,0.042797,4.67088e-05,"","","MCPP"
"cg04307831",0.790594203,0.194345,4.74195e-05,"","","MEHHP"
"cg09776910",0.294869385,0.072516,4.77741e-05,"","","MEHHP"
"cg24435401",0.258543007,0.063597,4.79649e-05,"","","MCNP"
"cg13197078",-0.114079436,0.028063,4.80129e-05,"","","MEP"
"cg10170637",0.557446101,0.137181,4.83228e-05,"","","MCPP"
"cg06837311",0.54381995,0.133837,4.83845e-05,"","","MEHHP"
"cg10965434",-0.38188479,0.09401,4.86226e-05,"","","MBP"
"cg24334591",0.192076904,0.047312,4.91076e-05,"","","MEOHP"
"cg06955182",-0.251242652,0.061905,4.93904e-05,"","","MCPP"
"cg27268107",0.3445339,0.084897,4.9439e-05,"","","MCNP"
"cg26427472",-0.324256088,0.079967,5.0158e-05,"","","MCPP"
"cg16746631",-0.15376844,0.037948,5.07667e-05,"","","MEP"
"cg10895022",0.177631686,0.04384,5.08156e-05,"","","MECPP"
"cg20831741",1.384765688,0.34186,5.10692e-05,"","","MEHP"
"cg07780534",-0.111062634,0.027438,5.17234e-05,"","","Sum LMW"
"cg02556042",-0.155705062,0.038499,5.2463e-05,"","","MBzP"
"cg00418882",0.171796062,0.042499,5.29168e-05,"","","MEP"
"cg21002957",-0.199325681,0.049315,5.30256e-05,"","","MCPP"
"cg26120273",-0.122101552,0.030221,5.33836e-05,"","","Sum LMW"
"cg25305776",-0.143983297,0.035638,5.34102e-05,"","","Sum LMW"
"cg22048590",-0.155831869,0.038584,5.37294e-05,"","","Sum LMW"
"cg14280330",-0.126353698,0.031293,5.39717e-05,"","","MEP"
"cg02442745",0.227744632,0.05641,5.40694e-05,"","","MEP"
"cg26190890",0.369001921,0.091416,5.42565e-05,"","","MECPP"
"cg05149386",0.326613909,0.080948,5.46387e-05,"","","Sum DEHP"
"cg11795222",0.135690844,0.03363,5.46508e-05,"","","MEHHP"
"cg05800683",-1.812313037,0.449231,5.47759e-05,"","","MCNP"
"cg21025349",-0.132076809,0.032743,5.49067e-05,"","","MEP"
"cg06770163",-0.199912656,0.049564,5.49688e-05,"","","MiBP"
"cg18398637",-0.125313833,0.031072,5.50653e-05,"","","MEP"
"cg10618979",-0.371536418,0.092205,5.59054e-05,"","","Sum HMW"
"cg14356262",-0.203425158,0.050488,5.59698e-05,"","","MCNP"
"cg06465371",-0.090041984,0.022355,5.63016e-05,"","","MEP"
"cg15559895",0.545140604,0.135347,5.63188e-05,"","","MECPP"
"cg27529871",-0.147998355,0.036745,5.63281e-05,"","","MBzP"
"cg18553732",-0.302580554,0.075128,5.63632e-05,"","","MBP"
"cg13709054",0.087747278,0.021795,5.6747e-05,"","","MEHHP"
"cg15713389",-0.15493088,0.038493,5.69911e-05,"","","Sum LMW"
"cg07192559",0.203306969,0.050515,5.70477e-05,"","","MEP"
"ch.6.20366279F",-0.431462023,0.107256,5.7523e-05,"","","MECPP"
"cg09798879",0.287925252,0.071588,5.77133e-05,"","","MBP"
"ch.11.691621F",0.264273112,0.065743,5.82562e-05,"","","MEHHP"
"cg20435345",-0.149552839,0.037214,5.85224e-05,"","","MBzP"
"cg08828733",-0.173619831,0.043209,5.86505e-05,"","","MCNP"
"cg22684507",-0.262198586,0.065256,5.87019e-05,"","","MEHHP"
