cpg,beta,se,p,i2,p_het,details
cg01832802,-0.003432303,0.0014,0.01320211,,,
cg05368740,-0.010034953,0.0042,0.016262306,,,
cg03528037,-0.002337927,0.001,0.017296535,,,
cg17658717,0.009062029,0.0044,0.039688442,,,
cg01828911,-0.001406351,8.00E-04,0.062226055,,,
cg08068547,-0.002210019,0.0014,0.110222159,,,
cg13749548,0.035490098,0.0222,0.110337895,,,
cg03874092,-0.006618897,0.0044,0.131432182,,,
cg26122815,-0.000894128,6.00E-04,0.162250567,,,
cg03341469,0.005727599,0.0042,0.176709411,,,
cg03548123,-0.005465924,0.0042,0.196329334,,,
cg20114732,0.001951687,0.0016,0.210104479,,,
cg08629394,0.015834355,0.0166,0.338996394,,,
cg18274749,0.001334824,0.0014,0.340404642,,,
cg08270148,0.014808354,0.0158,0.349516713,,,
cg08270148,0.014808354,0.0158,0.349516713,,,
cg19439810,-0.000813882,9.00E-04,0.361275045,,,
cg00727590,-0.001693948,0.0019,0.367093565,,,
cg17324941,0.005855138,0.0065,0.368200397,,,
cg05709655,0.000403952,5.00E-04,0.371794037,,,
cg11251499,-0.000632606,7.00E-04,0.384135807,,,
cg11721464,0.000448264,5.00E-04,0.410554495,,,
cg06299997,-0.00498292,0.0062,0.420155271,,,
cg21533667,0.000200271,3.00E-04,0.528052836,,,
cg25121621,0.001318241,0.0022,0.554768769,,,
cg06547513,0.001285164,0.0025,0.61388428,,,
cg09172260,-0.000801437,0.0016,0.625012034,,,
cg25485875,-0.000638613,0.0014,0.649094944,,,
cg07258715,0.005259776,0.0174,0.76278516,,,
cg16116574,-0.000457843,0.0017,0.789771688,,,
cg04246144,0.000376645,0.0016,0.808636173,,,
cg21210232,-0.001111336,0.0046,0.810668502,,,
cg09357232,0.000503532,0.0022,0.81928154,,,
cg25173405,0.000803712,0.005,0.873513415,,,
cg24847846,0.000633851,0.0058,0.91253349,,,
cg14061270,0.001535984,0.0172,0.928871385,,,
cg05224642,0.000230206,0.0031,0.940751914,,,
cg07518837,0.000302165,0.0043,0.943457128,,,
cg06782035,-1.30E-05,0.002,0.994893721,,,
cg00324979,1.67E-05,0.0123,0.998919474,,,
