"cpg","beta","se","p","i2","p_het","details"
"cg00106446",0.08802379,0.03,0.003389125,"","",""
"cg01014490",-0.87370565,0.1669,1.63862e-07,"","",""
"cg03586437",-0.36275485,0.0983,0.0002239,"","",""
"cg06788803",-0.24944161,0.0587,2.17079e-05,"","",""
"cg08135278",-0.65276408,0.1451,6.87169e-06,"","",""
"cg09025960",-0.37641411,0.1018,0.000217082,"","",""
"cg11345323",-0.44507764,0.1184,0.000170268,"","",""
"cg22865720",-0.39092657,0.1101,0.000384737,"","",""
"cg25975165",0.23493051,0.0639,0.000234248,"","",""
"cg06370133",-0.38594459,0.0985,8.97004e-05,"","",""
"cg24599345",-0.56336946,0.1172,1.52863e-06,"","",""
"cg10729325",-0.20293964,0.0654,0.001928243,"","",""
"cg14716208",-0.47804587,0.1936,0.01356289,"","",""
"cg16142707",-0.29372236,0.0807,0.000274089,"","",""
"cg17323383",-0.51075619,0.1383,0.000222644,"","",""
"cg23087239",0.52296357,0.1244,2.62109e-05,"","",""
"cg25771041",-0.23599571,0.0744,0.001520924,"","",""
"cg16654732",-0.91980866,0.1738,1.21353e-07,"","",""
"cg26569144",-0.57983382,0.1493,0.000103291,"","",""
"cg21273098",-0.27825929,0.0538,2.37008e-07,"","",""
"cg02112681",0.28671615,0.0948,0.00247911,"","",""
"cg14826215",-0.35760276,0.1129,0.001541524,"","",""
"cg20849378",0.4969423,0.0985,4.54264e-07,"","",""
"cg07766672",-0.49242066,0.1254,8.58176e-05,"","",""
"cg08874430",-0.3029933,0.0801,0.000155962,"","",""
"cg13128305",-0.32921943,0.1071,0.002107921,"","",""
"cg18617333",-0.52278151,0.1259,3.28637e-05,"","",""
"cg19508701",-0.56602268,0.1403,5.46297e-05,"","",""
"cg19916637",-0.52276958,0.1359,0.00011904,"","",""
"cg20215367",-0.35972116,0.1146,0.001696065,"","",""
"cg21701395",-0.64806506,0.1614,5.92411e-05,"","",""
"cg24948990",-0.46309026,0.1362,0.000671895,"","",""
"cg25924823",0.2300876,0.0651,0.000409553,"","",""
"cg01725199",-0.3024627,0.098,0.002033265,"","",""
"cg13620366",0.63119216,0.1299,1.17496e-06,"","",""
"cg02250553",0.23936442,0.0837,0.004256773,"","",""
"cg13264059",-0.38279842,0.1112,0.000578548,"","",""
"cg19634213",-0.78463685,0.173,5.74764e-06,"","",""
"cg23326811",-0.37172958,0.1261,0.003192748,"","",""
"cg04151290",-0.27094624,0.0772,0.000452397,"","",""
"cg25144930",-0.69236913,0.1601,1.53238e-05,"","",""
"cg26369667",-0.58003559,0.1369,2.25785e-05,"","",""
"cg11875268",0.47276903,0.108,1.19782e-05,"","",""
"cg11004501",-0.34265646,0.0976,0.000448513,"","",""
"cg07469408",-0.18288097,0.0685,0.007565257,"","",""
"cg09939831",-0.6686604,0.1493,7.51903e-06,"","",""
"cg13570982",-0.73870524,0.1965,0.000170518,"","",""
"cg20480233",-1.00264149,0.1882,9.94415e-08,"","",""
"cg05624510",-0.57819991,0.1332,1.41531e-05,"","",""
"cg19168961",-0.3045452,0.0773,8.23394e-05,"","",""
"cg22296620",0.23391417,0.0668,0.000464375,"","",""
"cg22409276",-0.52929264,0.1324,6.35912e-05,"","",""
"cg23790326",-0.48857362,0.1279,0.000133979,"","",""
"cg02232531",-0.18991667,0.0629,0.002514631,"","",""
"cg06818515",0.43354707,0.0885,9.61716e-07,"","",""
"cg07243103",-0.34535423,0.0774,8.20451e-06,"","",""
