cpg,beta,p,,,,
cg16867657,0.03185759,2.33E-31,,,,
cg22454769,0.02336006,1.12E-24,,,,
cg10917602,-0.012879959,5.90E-24,,,,
cg10501210,-0.027011605,9.49E-24,,,,
cg19344626,-0.023703064,1.15E-23,,,,
cg21572722,0.011279122,3.89E-22,,,,
cg07553761,0.019635528,1.72E-21,,,,
cg01054110,-0.027840446,2.32E-21,,,,
cg04208403,-0.010129117,3.09E-21,,,,
cg19784428,-0.016598462,6.34E-21,,,,
cg13823169,-0.009386893,7.86E-21,,,,
cg07547549,0.013913938,1.91E-20,,,,
cg01542019,-0.023899706,2.34E-20,,,,
cg07082267,-0.00964175,7.46E-20,,,,
cg08160331,0.011136238,8.15E-20,,,,
cg01074797,-0.015358346,3.20E-19,,,,
cg06639320,0.015475433,8.44E-19,,,,
cg11419186,-0.007447803,1.62E-18,,,,
cg05304393,-0.026858271,1.99E-18,,,,
cg10616795,-0.019519172,2.11E-18,,,,
cg12554573,-0.00963314,2.54E-18,,,,
cg16624521,-0.014880655,2.60E-18,,,,
cg27312979,-0.022749847,3.49E-18,,,,
cg16932827,-0.017620229,5.19E-18,,,,
cg18448426,-0.015538319,1.02E-17,,,,
cg21874213,-0.008904824,1.32E-17,,,,
cg11071401,0.010173213,1.42E-17,,,,
cg03172991,-0.005226638,2.36E-17,,,,
cg24724428,0.02197596,2.91E-17,,,,
cg26553501,-0.022385063,3.00E-17,,,,
cg20249566,-0.014850492,6.04E-17,,,,
cg01127300,-0.011871884,6.70E-17,,,,
cg02047661,-0.009830165,8.58E-17,,,,
cg15845821,-0.012402589,9.89E-17,,,,
cg23500537,0.015928815,1.01E-16,,,,
cg09809672,-0.019153372,1.07E-16,,,,
cg22736354,0.012963814,1.40E-16,,,,
cg16008966,-0.013463966,1.59E-16,,,,
cg18667659,0.017509939,1.92E-16,,,,
cg18651026,-0.008524276,4.02E-16,,,,
cg08157575,-0.014097931,4.64E-16,,,,
cg16290275,-0.014474345,5.02E-16,,,,
cg01594949,-0.009331106,5.09E-16,,,,
cg18876270,-0.015170361,9.02E-16,,,,
cg23469878,-0.014046785,9.04E-16,,,,
cg03752138,-0.008498995,9.99E-16,,,,
cg27286011,-0.011428564,1.44E-15,,,,
cg00876267,-0.009703753,1.44E-15,,,,
cg25410668,0.01814192,1.45E-15,,,,
cg12350474,-0.013045147,1.54E-15,,,,
cg17879376,-0.005772904,1.69E-15,,,,
cg04875128,0.038114887,2.06E-15,,,,
cg10803722,-0.008983684,2.17E-15,,,,
cg14977938,-0.015074108,2.45E-15,,,,
cg16385335,-0.012015297,3.44E-15,,,,
cg03615565,-0.008797095,3.65E-15,,,,
cg06247837,-0.008488184,3.92E-15,,,,
cg23973524,-0.012162311,4.12E-15,,,,
cg01256539,-0.020572693,4.65E-15,,,,
cg26864395,-0.006040956,4.93E-15,,,,
cg17471102,-0.009416467,5.86E-15,,,,
cg07127410,-0.011883085,6.52E-15,,,,
cg24134897,-0.022421886,8.39E-15,,,,
cg24079702,0.019382086,8.63E-15,,,,
cg09648727,-0.014969755,8.93E-15,,,,
cg06911110,-0.009476632,9.05E-15,,,,
cg10221746,-0.008277029,1.22E-14,,,,
cg22402467,-0.015583632,1.42E-14,,,,
cg08453194,-0.011248147,1.43E-14,,,,
cg00451635,-0.007406537,1.75E-14,,,,
cg15480367,0.00931047,1.80E-14,,,,
cg23718736,-0.011308559,2.22E-14,,,,
cg03519967,-0.012179835,3.18E-14,,,,
cg04503319,-0.00868999,3.40E-14,,,,
cg03758021,-0.012114319,3.97E-14,,,,
cg21120249,-0.009066021,4.11E-14,,,,
cg05721773,-0.005096831,4.86E-14,,,,
cg01589860,-0.009574755,5.07E-14,,,,
cg11693709,-0.013098834,5.40E-14,,,,
cg05131526,-0.011109241,5.41E-14,,,,
cg27401724,-0.008784845,6.39E-14,,,,
cg02046143,-0.017729978,6.89E-14,,,,
cg19702785,0.012625365,7.61E-14,,,,
cg05507654,-0.013499846,7.93E-14,,,,
cg14295611,-0.011587331,9.48E-14,,,,
cg19261426,-0.01213186,9.78E-14,,,,
cg08644498,-0.006557733,1.08E-13,,,,
cg13039251,-0.016203543,1.21E-13,,,,
cg09259081,-0.02082268,1.31E-13,,,,
cg18024856,-0.02863411,1.50E-13,,,,
cg11220950,0.006562128,1.85E-13,,,,
cg27314669,-0.013967337,2.03E-13,,,,
cg27589809,-0.010805466,2.09E-13,,,,
cg10189695,0.01328603,2.25E-13,,,,
cg25570486,-0.005553847,2.60E-13,,,,
cg23479922,0.026286617,3.09E-13,,,,
cg00755588,-0.007890264,3.17E-13,,,,
cg05194346,-0.011664402,3.27E-13,,,,
cg11705975,0.010205615,3.36E-13,,,,
cg05898618,-0.022199648,3.43E-13,,,,
cg01243823,-0.013346389,3.56E-13,,,,
cg23534245,-0.012209179,3.70E-13,,,,
cg11751101,-0.011577104,4.18E-13,,,,
cg05346491,-0.008239944,4.32E-13,,,,
cg25998745,-0.012016374,4.57E-13,,,,
cg11970349,0.009871138,4.65E-13,,,,
cg19804488,-0.008133871,4.72E-13,,,,
cg13732465,-0.007294228,5.26E-13,,,,
cg08234504,-0.010619115,6.17E-13,,,,
cg13566436,-0.013649586,6.93E-13,,,,
cg06885782,-0.009068745,7.09E-13,,,,
cg05308819,-0.006156554,7.09E-13,,,,
cg12252865,-0.013662864,7.22E-13,,,,
cg20731257,-0.013083474,7.40E-13,,,,
cg20801110,-0.011721272,7.60E-13,,,,
cg03149958,-0.016561824,7.65E-13,,,,
cg04392554,-0.022715078,7.87E-13,,,,
cg00725138,-0.007078661,7.87E-13,,,,
cg24848615,-0.01086281,7.88E-13,,,,
cg13850871,-0.00757074,8.07E-13,,,,
cg07931844,-0.009551299,8.19E-13,,,,
cg21585707,-0.029709482,9.40E-13,,,,
cg24847230,-0.005830234,9.46E-13,,,,
cg02402091,-0.009105378,1.02E-12,,,,
cg15139254,-0.009126477,1.14E-12,,,,
cg27219955,-0.009506127,1.22E-12,,,,
cg02490920,-0.008836337,1.23E-12,,,,
cg27430293,-0.014825035,1.30E-12,,,,
cg12526693,-0.020216459,1.33E-12,,,,
cg09411874,-0.006853905,1.39E-12,,,,
cg19095000,-0.006866855,1.45E-12,,,,
cg11573518,-0.010204641,1.48E-12,,,,
cg04036898,-0.008865362,1.51E-12,,,,
cg20543183,-0.008065025,1.58E-12,,,,
cg11730703,-0.015523331,1.61E-12,,,,
cg10070101,-0.011981385,1.66E-12,,,,
cg08097417,0.012333312,1.69E-12,,,,
cg06853416,-0.013036405,1.70E-12,,,,
cg23634177,-0.003759602,1.72E-12,,,,
cg09164913,-0.015518668,1.82E-12,,,,
cg24868150,-0.007622519,2.06E-12,,,,
