cpg,beta,se,p,i2,p_het,details
cg00053086,0.00373,0.000864,1.57E-05,,,
cg00057791,0.00271,0.000694,9.45E-05,,,
cg00087511,0.00499,0.00126,7.44E-05,,,
cg00279700,-0.00874,0.002264,0.000113274,,,
cg00329272,0.00528,0.00135,9.18E-05,,,
cg00967809,0.0049,0.001278,0.000126678,,,
cg00973823,0.00721,0.001759,4.15E-05,,,
cg01046951,0.00572,0.001461,9.05E-05,,,
cg01065697,0.00625,0.001396,7.61E-06,,,
cg01079795,0.00551,0.001363,5.30E-05,,,
cg01101364,0.00348,0.000889,9.10E-05,,,
cg01178854,0.00553,0.00134,3.66E-05,,,
cg01440333,0.00702,0.001508,3.26E-06,,,
cg01514015,0.00313,0.000831,0.000166455,,,
cg01519464,0.00786,0.001844,2.02E-05,,,
cg01828733,0.00468,0.001251,0.000183951,,,
cg02298525,0.00817,0.002019,5.20E-05,,,
cg02361803,0.00399,0.001027,0.000102495,,,
cg02787675,0.00651,0.001321,8.29E-07,,,
cg03058163,0.00741,0.001976,0.000177048,,,
cg03326699,0.00485,0.001301,0.000192983,,,
cg03395993,0.00359,0.000951,0.000160187,,,
cg03845435,-0.00643,0.001638,8.63E-05,,,
cg04079251,0.0038,0.000919,3.52E-05,,,
cg04108127,-0.00727,0.00173,2.64E-05,,,
cg04212081,0.00405,0.00103,8.44E-05,,,
cg04486873,0.00627,0.001484,2.38E-05,,,
cg04619852,0.00473,0.001167,5.09E-05,,,
cg04871460,0.00598,0.001545,0.00010878,,,
cg05348888,0.00463,0.001047,9.84E-06,,,
cg05655247,0.0062,0.001554,6.60E-05,,,
cg05706898,0.00465,0.001085,1.83E-05,,,
cg05725004,-0.0081,0.00166,1.07E-06,,,
cg06361006,0.00269,0.000701,0.000124557,,,
cg06437052,0.00551,0.001478,0.000192333,,,
cg06640822,0.00654,0.00155,2.44E-05,,,
cg06806477,0.00332,0.00069,1.52E-06,,,
cg06816087,0.00346,0.000924,0.000181563,,,
cg07168274,0.00479,0.00129,0.000205468,,,
cg07191152,0.00523,0.001387,0.000163365,,,
cg07318158,0.0057,0.001424,6.27E-05,,,
cg07424785,0.00359,0.000904,7.09E-05,,,
cg07478791,0.00748,0.001964,0.000139994,,,
cg07725198,-0.01085,0.002581,2.63E-05,,,
cg07794409,-0.00672,0.001604,2.78E-05,,,
cg07826946,0.00525,0.001253,2.81E-05,,,
cg08130630,0.00319,0.000853,0.000184813,,,
cg08165487,0.00476,0.001262,0.000161738,,,
cg08853487,0.00421,0.001079,9.56E-05,,,
cg08878713,0.00619,0.001243,6.42E-07,,,
cg09019648,0.00229,0.000549,3.01E-05,,,
cg09166556,0.01224,0.003227,0.000148692,,,
cg09185179,-0.00168,0.000411,4.37E-05,,,
cg09414863,0.00531,0.001128,2.53E-06,,,
cg09548495,0.00701,0.001782,8.40E-05,,,
cg09554701,-0.00951,0.002427,8.90E-05,,,
cg09828420,0.00243,0.000629,0.000110852,,,
cg09861476,0.00281,0.00068,3.58E-05,,,
cg09905199,-0.00265,0.000698,0.000148216,,,
cg09976670,0.00486,0.001153,2.51E-05,,,
cg09988837,-0.00243,0.000567,1.85E-05,,,
cg10210094,0.00654,0.001392,2.62E-06,,,
cg10399789,0.01197,0.00281,2.05E-05,,,
cg10435609,0.00395,0.001047,0.00016146,,,
cg10490668,0.00317,0.000656,1.36E-06,,,
cg10594506,0.00283,0.000688,3.91E-05,,,
cg10768996,0.00638,0.001407,5.81E-06,,,
cg10836509,0.00295,0.000659,7.67E-06,,,
cg10883612,0.00366,0.000875,2.85E-05,,,
cg10893043,-0.0022,0.000548,5.94E-05,,,
cg11251215,0.00339,0.000759,7.87E-06,,,
cg11386376,-0.00606,0.001438,2.52E-05,,,
cg11526665,0.00534,0.001433,0.000194045,,,
cg12126344,0.00617,0.001585,9.95E-05,,,
cg12154153,0.01316,0.002907,5.97E-06,,,
cg12433423,0.00449,0.001156,0.000102344,,,
cg12525949,-0.01222,0.002854,1.86E-05,,,
cg12588301,0.00527,0.001378,0.00013082,,,
cg12640482,0.00954,0.002337,4.45E-05,,,
cg12695612,0.00345,0.00093,0.000208626,,,
cg13235717,0.00674,0.001516,8.76E-06,,,
cg13283942,0.00196,0.00051,0.000122782,,,
cg13443661,0.00374,0.000897,3.03E-05,,,
cg13548810,0.00295,0.000733,5.66E-05,,,
cg13841804,0.00278,0.000708,8.65E-05,,,
cg13844287,0.00307,0.000723,2.19E-05,,,
cg13910527,0.00552,0.001142,1.34E-06,,,
cg13946929,0.00504,0.001256,6.01E-05,,,
cg14037769,0.00524,0.001225,1.90E-05,,,
cg14778267,0.00792,0.001757,6.56E-06,,,
cg14975122,0.00652,0.001642,7.14E-05,,,
cg15088325,0.0035,0.000885,7.71E-05,,,
cg15207999,0.00439,0.001037,2.31E-05,,,
cg15616998,0.00681,0.001633,3.04E-05,,,
cg15633699,0.0049,0.001319,0.000203484,,,
cg15644634,0.00475,0.001187,6.28E-05,,,
cg15831200,0.00404,0.00107,0.000160445,,,
cg15901950,0.00459,0.001165,8.17E-05,,,
cg16115688,0.0059,0.001423,3.39E-05,,,
cg16174225,0.00463,0.001143,5.10E-05,,,
cg16176837,0.00437,0.001149,0.000142338,,,
cg16286249,0.00288,0.000584,8.09E-07,,,
cg16308101,-0.00757,0.001364,2.86E-08,,,
cg16361915,0.00414,0.000943,1.14E-05,,,
cg16365663,0.00473,0.001253,0.000159115,,,
cg16549957,0.00682,0.001814,0.000169623,,,
cg16559275,0.00801,0.001676,1.76E-06,,,
cg16856342,-0.00615,0.001177,1.74E-07,,,
cg17110920,0.00252,0.000669,0.000167185,,,
cg17156276,-0.00888,0.002044,1.40E-05,,,
cg17166812,-0.00526,0.001413,0.000198089,,,
cg17744604,0.0099,0.002197,6.63E-06,,,
cg17856083,0.00235,0.000624,0.000163958,,,
cg18028575,0.0028,0.000749,0.000184748,,,
cg18163062,0.00402,0.001034,0.000101584,,,
cg18172358,0.0061,0.001585,0.000118857,,,
cg18681905,0.00292,0.00075,9.94E-05,,,
cg18755829,0.00541,0.001044,2.20E-07,,,
cg18760055,0.00483,0.001261,0.000128215,,,
cg18821316,0.00784,0.001517,2.35E-07,,,
cg18934822,0.00317,0.000801,7.58E-05,,,
cg18939081,0.0048,0.001091,1.08E-05,,,
cg19234495,0.00698,0.001849,0.000159698,,,
cg19366591,0.00563,0.001233,4.95E-06,,,
cg19870743,0.00344,0.000641,8.15E-08,,,
cg19899385,0.00492,0.001203,4.32E-05,,,
cg19916794,0.00432,0.001156,0.000186756,,,
cg20310385,0.00792,0.002049,0.000110849,,,
cg20452738,0.00415,0.000912,5.31E-06,,,
cg20611882,-0.00672,0.001747,0.000120265,,,
cg20627546,0.00555,0.001466,0.000153893,,,
cg20695760,0.00442,0.001117,7.61E-05,,,
cg20775370,0.00329,0.000851,0.000110864,,,
cg20806264,0.00357,0.000819,1.32E-05,,,
cg20816789,0.00605,0.001456,3.25E-05,,,
cg20942219,0.00284,0.000721,8.25E-05,,,
cg20975074,0.00561,0.001389,5.38E-05,,,
cg20985269,0.00526,0.001337,8.31E-05,,,
cg21107944,0.00525,0.001079,1.13E-06,,,
cg21155367,-0.00236,0.000605,9.54E-05,,,
cg21396539,0.00443,0.001162,0.000137711,,,
cg21821103,0.00338,0.000863,8.92E-05,,,
cg21851672,-0.00534,0.001427,0.000182729,,,
cg21927975,0.00421,0.001003,2.69E-05,,,
cg22128197,-0.00813,0.00192,2.30E-05,,,
cg22225577,0.01147,0.002934,9.25E-05,,,
cg22226904,0.00747,0.001788,2.94E-05,,,
cg22402261,0.004,0.001044,0.000127506,,,
cg22430700,0.0051,0.001277,6.49E-05,,,
cg22451632,0.00448,0.001158,0.000109385,,,
cg22626525,0.00313,0.000839,0.000192331,,,
cg22673688,0.00435,0.00101,1.64E-05,,,
cg23097499,0.00772,0.001544,5.78E-07,,,
cg23266398,-0.01499,0.003851,9.93E-05,,,
cg23276912,0.00727,0.00133,4.56E-08,,,
cg23280013,0.00372,0.000941,7.68E-05,,,
cg23657003,0.00439,0.001166,0.000167614,,,
cg23922819,0.00721,0.001817,7.25E-05,,,
cg23953592,0.00248,0.000653,0.000146798,,,
cg24305710,0.00267,0.000664,5.72E-05,,,
cg24335751,0.00352,0.000915,0.000118656,,,
cg24351427,0.00245,0.000604,5.01E-05,,,
cg24551579,-0.00534,0.001397,0.000132699,,,
cg25008795,0.00234,0.000603,0.000103441,,,
cg25468907,0.00511,0.001208,2.32E-05,,,
cg25604316,0.00338,0.000809,2.93E-05,,,
cg25976434,0.00385,0.000967,6.82E-05,,,
cg26000536,0.00489,0.001301,0.00017048,,,
cg26023051,0.00215,0.000556,0.000111413,,,
cg26059919,0.00232,0.000612,0.000151596,,,
cg26220203,0.00385,0.000919,2.81E-05,,,
cg26228591,0.0047,0.001072,1.16E-05,,,
cg26258588,0.00484,0.001231,8.39E-05,,,
cg27179367,0.00393,0.001029,0.000133189,,,
cg27224809,0.00801,0.002009,6.69E-05,,,
cg27230749,0.00257,0.000635,5.23E-05,,,
cg27298252,0.01987,0.00496,6.17E-05,,,
cg27582585,0.00751,0.001841,4.52E-05,,,
cg27630771,0.00522,0.001394,0.000179761,,,
cg00111466,0.00475,0.001113,1.97E-05,,,
cg00590500,0.00394,0.001002,8.47E-05,,,
cg00680277,0.00637,0.001485,1.79E-05,,,
cg00774457,-0.00937,0.002405,9.77E-05,,,
cg00826615,0.00315,0.000762,3.58E-05,,,
cg00949249,0.00632,0.001441,1.16E-05,,,
cg00978848,0.00742,0.001674,9.34E-06,,,
cg01787445,0.00667,0.001705,9.17E-05,,,
cg02278659,0.00365,0.000904,5.40E-05,,,
cg02352181,0.00542,0.001453,0.000191095,,,
cg02489219,0.00634,0.001694,0.000181931,,,
cg02558267,0.0033,0.000784,2.56E-05,,,
cg02878739,0.00742,0.001516,9.91E-07,,,
cg02894966,0.00231,0.000613,0.000165189,,,
cg03147598,0.00574,0.001312,1.21E-05,,,
cg03205046,0.00315,0.000838,0.000170165,,,
cg03271080,0.00477,0.001052,5.83E-06,,,
cg03455255,0.00467,0.00083,1.86E-08,,,
cg03758732,0.00495,0.001178,2.64E-05,,,
cg03766400,0.00417,0.001077,0.000107621,,,
cg03960488,0.00395,0.001021,0.000109429,,,
cg04223863,0.00593,0.001525,0.000100777,,,
cg04398322,0.0055,0.0014,8.51E-05,,,
