cpg	beta	se	p	i2	p_het	details
cg07689148	-4.323863	0.3997	2.87E-27			
cg01659197	-4.546164	0.4385	3.47E-25			
cg18223446	-5.413663	0.5334	3.31E-24			
cg04202140	-5.605729	0.5562	6.84E-24			
cg04876223	-4.066448	0.4038	7.51E-24			
cg04611203	4.218258	0.4204	1.07E-23			
cg25354716	-4.540385	0.4525	1.09E-23			
cg04771248	4.81777	0.4826	1.81E-23			
cg20460388	-4.112849	0.4124	1.98E-23			
cg07240877	-4.214229	0.4227	2.05E-23			
cg03496777	-4.076658	0.4108	3.25E-23			
cg07784294	-3.281207	0.331	3.62E-23			
cg14548264	-3.586037	0.3618	3.68E-23			
cg23117530	-5.368635	0.5438	5.46E-23			
cg23341970	-3.112997	0.3162	7.16E-23			
cg25540028	-3.457507	0.3515	7.84E-23			
cg07193389	-3.312195	0.3375	9.72E-23			
cg03377789	-3.253857	0.3318	1.04E-22			
cg06485596	-4.899546	0.4998	1.10E-22			
cg22199115	3.462453	0.3533	1.12E-22			
cg09954161	-4.839578	0.4939	1.15E-22			
cg07839457	-3.52263	0.3606	1.51E-22			
cg23154064	-3.134914	0.322	2.11E-22			
cg05277466	-4.464718	0.4602	2.97E-22			
cg00436663	4.085095	0.4219	3.60E-22			
cg06931905	-4.876945	0.5044	4.13E-22			
cg01207678	-3.934881	0.4072	4.29E-22			
cg16106678	3.411631	0.3531	4.32E-22			
cg09683324	3.186945	0.3306	5.38E-22			
cg27639249	-4.890857	0.5075	5.57E-22			
cg17014035	-3.521396	0.366	6.54E-22			
cg13421194	-4.166824	0.4335	7.17E-22			
cg16190127	-4.468997	0.4655	7.89E-22			
cg02162720	-4.288514	0.4473	9.11E-22			
cg23720974	-3.298317	0.3441	9.15E-22			
cg06772268	-4.878619	0.509	9.22E-22			
cg21530210	-2.743057	0.2864	9.99E-22			
cg18967788	-4.538854	0.4745	1.11E-21			
cg14727650	-3.82908	0.4006	1.20E-21			
cg21882037	-3.280138	0.3435	1.30E-21			
cg02512395	-3.358382	0.3517	1.33E-21			
cg05888362	-4.185348	0.4386	1.39E-21			
cg16550438	-5.301937	0.5556	1.39E-21			
cg19190632	-4.066123	0.4264	1.49E-21			
cg11489821	-3.510622	0.3682	1.52E-21			
cg24705717	-4.692782	0.4923	1.53E-21			
cg15412250	-3.45493	0.3627	1.63E-21			
cg27488740	-3.448881	0.3622	1.69E-21			
cg14189605	-3.998133	0.4201	1.79E-21			
cg07466437	-2.947322	0.3098	1.83E-21			
cg14834865	-4.905526	0.5158	1.88E-21			
cg04061225	-2.636038	0.2774	2.03E-21			
cg13151361	-4.343198	0.4574	2.19E-21			
cg03778373	-3.316189	0.3493	2.25E-21			
cg26441221	-3.875666	0.4085	2.38E-21			
cg19001522	-3.885123	0.4098	2.54E-21			
cg11443506	-3.971338	0.419	2.57E-21			
cg21406869	-4.164828	0.4395	2.62E-21			
cg10754670	4.864482	0.5137	2.81E-21			
cg17049705	-3.259609	0.3447	3.17E-21			
cg02019873	-3.411156	0.3607	3.17E-21			
cg20448129	3.744358	0.3961	3.26E-21			
cg08259526	-4.507835	0.4768	3.27E-21			
cg18017082	-3.465853	0.3667	3.31E-21			
cg02967787	-4.106181	0.4344	3.32E-21			
cg00731201	-4.98869	0.5279	3.36E-21			
cg14081960	3.109216	0.3291	3.46E-21			
cg23632875	2.972616	0.3151	4.00E-21			
cg23156245	-3.47634	0.3687	4.14E-21			
cg10415122	-5.097886	0.5407	4.16E-21			
cg00218620	3.825249	0.406	4.44E-21			
cg04574592	2.582456	0.2742	4.52E-21			
cg00467160	-4.674834	0.4964	4.58E-21			
cg08721746	-3.089864	0.3281	4.66E-21			
cg14588027	3.274933	0.3485	5.54E-21			
cg08907282	-3.302145	0.3516	5.96E-21			
