cpg,beta,se,p,i2,p_het,details
cg08709672,-4.00E-04,6.40E-05,3.39E-10,,,
cg20295214,-3.00E-04,5.20E-05,9.09E-09,,,
cg09935388,-0.001,0.00015,2.51E-11,,,
cg18316974,-2.00E-04,3.70E-05,7.51E-08,,,
cg21140898,-7.00E-04,0.000122,8.85E-09,,,
cg25189904,-9.00E-04,0.000142,2.23E-10,,,
cg01940273,-0.0011,9.50E-05,7.55E-31,,,
cg03329539,-5.00E-04,9.40E-05,9.77E-08,,,
cg05951221,-0.001,0.00011,1.02E-19,,,
cg06644428,-4.00E-04,7.30E-05,4.87E-08,,,
cg21566642,-0.0017,0.000163,1.50E-25,,,
cg18642234,-3.00E-04,5.10E-05,4.44E-09,,,
cg19859270,-2.00E-04,3.50E-05,1.22E-08,,,
cg05575921,-0.0027,0.000194,4.57E-44,,,
cg11554391,-3.00E-04,5.00E-05,2.67E-09,,,
cg14817490,-8.00E-04,0.000112,7.70E-13,,,
cg21161138,-7.00E-04,9.00E-05,7.54E-15,,,
cg23576855,-0.0027,0.000218,2.99E-35,,,
cg23916896,-7.00E-04,0.000119,4.18E-09,,,
cg25648203,-6.00E-04,7.60E-05,3.53E-15,,,
cg26703534,-7.00E-04,0.000105,2.57E-11,,,
cg14580211,-5.00E-04,8.70E-05,8.03E-09,,,
cg06126421,-0.001,0.000177,1.56E-08,,,
cg15342087,-4.00E-04,4.70E-05,1.42E-17,,,
cg02451831,-4.00E-04,7.00E-05,1.12E-08,,,
cg22132788,5.00E-04,8.40E-05,2.31E-09,,,
cg25949550,-2.00E-04,3.00E-05,1.99E-11,,,
cg14316231,-3.00E-04,5.60E-05,7.90E-08,,,
cg11660018,-6.00E-04,9.30E-05,1.11E-10,,,
cg23771366,-4.00E-04,6.60E-05,1.24E-09,,,
cg13751113,-5.00E-04,8.70E-05,1.03E-08,,,
cg21611682,-4.00E-04,6.90E-05,7.78E-09,,,
cg02583484,-4.00E-04,7.10E-05,2.21E-08,,,
cg05284742,-4.00E-04,6.50E-05,5.98E-10,,,
cg00310412,-4.00E-04,7.40E-05,7.06E-08,,,
cg15022400,-4.00E-04,7.50E-05,8.65E-08,,,
cg23161492,-6.00E-04,8.60E-05,3.10E-12,,,
cg05668853,-4.00E-04,7.40E-05,6.35E-08,,,
cg03636183,-0.0014,0.000165,2.53E-17,,,
cg07339236,-4.00E-04,6.80E-05,4.06E-09,,,
