exp,cpg,beta,p
26w MEHHP,cg22938275,0.155152535,1.81277E-08
26w MEHHP,cg05149386,0.310709101,4.55924E-08
26w MCNP,cg11332336,0.220879891,7.37188E-08
26w MEOHP,cg05149386,0.295876736,1.42532E-07
Avg MBP,cg24849517,-0.261690815,1.51994E-07
Avg MCNP,cg18622954,2.607999063,1.62106E-07
13w MCNP,cg02260340,0.718867709,2.07825E-07
26w MEOHP,cg22938275,0.14132528,2.41157E-07
26w MCNP,cg16159717,0.184032715,2.5657E-07
26w MCNP,cg00735591,0.286200569,2.76134E-07
26w MCNP,cg00563229,0.225628977,5.11261E-07
26w MBzP,cg22800025,1.003058587,6.40999E-07
26w ?DEHP,cg22938275,0.155694622,1.0223E-06
26w MCNP,cg24907852,0.211025351,1.11921E-06
26w MCNP,cg22691333,0.18887991,1.17905E-06
26w MCNP,cg21890394,0.193533119,1.20712E-06
26w MCNP,cg26937061,0.24259304,1.33403E-06
26w ?HMW,cg22938275,0.168717409,1.41726E-06
26w MCNP,cg11701621,0.147396337,1.54357E-06
13w MCPP,cg18712806,-0.141945367,1.60571E-06
13w MCPP,cg11713788,0.470443432,1.62262E-06
Avg MECPP,cg14125468,0.225794125,1.65579E-06
Avg MBP,cg03244616,-0.39165486,1.69308E-06
Avg MBzP,cg10243292,0.633805054,1.78524E-06
26w MCNP,cg00117600,0.206105307,2.03049E-06
13w MCPP,cg18378494,0.410733701,2.03631E-06
26w MEHHP,cg09809806,0.136791438,2.18597E-06
26w MCNP,cg00881086,0.186241908,2.22952E-06
26w MCNP,cg13499022,0.299850779,2.41891E-06
26w MCNP,cg24337600,0.157782114,2.44764E-06
Avg MBP,cg18518111,-0.429474433,2.48183E-06
Avg MiBP,cg17813879,1.091171809,2.5152E-06
26w MCNP,cg10072351,0.217500395,2.53719E-06
13w MCPP,cg10292045,-0.17718437,2.61689E-06
26w ?HMW,cg05149386,0.33811943,2.62163E-06
26w MCNP,cg06381133,0.168022116,2.68391E-06
Avg MEHHP,cg13500195,0.266279816,2.77428E-06
26w MEOHP,cg04340095,0.185703562,2.91623E-06
13w MCNP,cg03386144,0.152679247,2.96405E-06
26w MCNP,cg16696856,0.194150166,3.09134E-06
26w MCNP,cg24222377,0.187318055,3.12616E-06
26w MCNP,cg04418576,0.13952429,3.16844E-06
13w MCPP,cg09093783,0.181944634,3.33815E-06
26w MCNP,cg05903630,0.178219475,3.54545E-06
13w MBzP,cg11129772,-0.194233161,3.61068E-06
26w MCNP,cg09892131,0.184627116,3.65286E-06
26w MCNP,cg11265916,0.168785853,3.77121E-06
26w MCNP,cg19750882,0.158908515,3.77863E-06
26w ?DEHP,cg05149386,0.303158361,3.98481E-06
13w MEOHP,cg01708493,0.43621308,4.07706E-06
26w MECPP,cg22938275,0.156608493,4.12864E-06
Avg MEOHP,cg13500195,0.249001665,4.14242E-06
26w MCNP,cg17226584,0.146409221,4.57729E-06
Avg MEP,cg00562088,-0.125899751,4.58761E-06
26w MCNP,cg23763259,0.206170587,4.64935E-06
Avg MEP,cg06726474,0.350017637,4.69307E-06
26w MCNP,cg09351449,0.164010508,4.71235E-06
Avg MEP,cg11189715,0.399961992,4.73221E-06
13w MCPP,cg05450995,0.365837957,4.7551E-06
Avg ?LMW,cg06726474,0.404310743,4.93043E-06
13w MCPP,cg09567732,0.113776015,5.28041E-06
Avg MEHP,cg13500195,0.204942132,5.55727E-06
26w MEHHP,cg20516151,0.120170998,5.65308E-06
26w MCNP,cg02895995,0.168530929,5.68534E-06
26w MCNP,cg23759831,0.150039111,5.74367E-06
26w MCNP,cg08553816,0.176487379,5.8764E-06
Avg MEHHP,cg05149386,0.324628122,5.93972E-06
26w MCNP,cg04976319,0.201640376,5.98522E-06
26w MCNP,cg19226872,0.12306777,6.04461E-06
26w MCNP,cg14329976,0.259478103,6.07669E-06
Avg MEP,cg25266603,-0.150692176,6.10377E-06
Avg MEP,cg13168407,0.183505363,6.14363E-06
26w MCNP,cg22938275,0.168424803,6.17372E-06
26w MECPP,cg18273501,0.168128891,6.26493E-06
Avg MEP,cg03768001,0.292522447,6.28664E-06
26w MCNP,cg08059189,0.176398088,6.46633E-06
