"cpg","beta","se","p","i2","p_het","details"
"cg00106446",0.2774783,0.048,7.55957e-09,"","",""
"cg01014490",-1.7035448,0.2376,7.58197e-13,"","",""
"cg03586437",-1.37949,0.2038,1.31275e-11,"","",""
"cg06788803",-0.390781,0.0794,8.48588e-07,"","",""
"cg08135278",-1.5739699,0.2212,1.11278e-12,"","",""
"cg09025960",-1.0309648,0.2069,6.25131e-07,"","",""
"cg11345323",-1.3493311,0.1993,1.29634e-11,"","",""
"cg22865720",-1.0492846,0.1746,1.86707e-09,"","",""
"cg25975165",1.5961493,0.2724,4.64496e-09,"","",""
"cg06370133",-1.1235178,0.1888,2.64363e-09,"","",""
"cg24599345",-0.9201804,0.152,1.40498e-09,"","",""
"cg10729325",-1.0815609,0.2085,2.12561e-07,"","",""
"cg14716208",-1.3148817,0.2199,2.23833e-09,"","",""
"cg16142707",-1.5944131,0.3028,1.39827e-07,"","",""
"cg17323383",-1.3779499,0.2681,2.74907e-07,"","",""
"cg23087239",1.1624412,0.2091,2.72975e-08,"","",""
"cg25771041",-0.6822823,0.1233,3.17304e-08,"","",""
"cg16654732",-2.1409475,0.2648,6.13576e-16,"","",""
"cg26569144",-1.3737048,0.2151,1.68866e-10,"","",""
"cg21273098",-0.3352546,0.0635,1.30433e-07,"","",""
"cg02112681",1.1958111,0.2324,2.67674e-07,"","",""
"cg14826215",-0.9405122,0.1741,6.57473e-08,"","",""
"cg20849378",1.5824337,0.268,3.52155e-09,"","",""
"cg07766672",-1.1905856,0.1847,1.15524e-10,"","",""
"cg08874430",-0.5175883,0.123,2.5574e-05,"","",""
"cg13128305",-0.9122143,0.1602,1.22675e-08,"","",""
"cg18617333",-1.1074711,0.1825,1.29129e-09,"","",""
"cg19508701",-1.3217764,0.1906,4.09565e-12,"","",""
"cg19916637",-0.9210253,0.1693,5.35987e-08,"","",""
"cg20215367",-1.0707262,0.161,2.95484e-11,"","",""
"cg21701395",-1.0492844,0.168,4.17111e-10,"","",""
"cg24948990",-1.4324765,0.2244,1.74079e-10,"","",""
"cg25924823",1.326561,0.2066,1.35778e-10,"","",""
"cg01725199",-0.8855553,0.1295,7.88715e-12,"","",""
"cg13620366",0.8290719,0.1948,2.08376e-05,"","",""
"cg02250553",0.9153437,0.1587,8.10747e-09,"","",""
"cg13264059",-0.8498589,0.1558,4.88484e-08,"","",""
"cg19634213",-1.0996725,0.2082,1.28521e-07,"","",""
"cg23326811",-1.1760754,0.1858,2.47316e-10,"","",""
"cg04151290",-0.3433595,0.0809,2.17241e-05,"","",""
"cg25144930",-1.0437789,0.1837,1.32268e-08,"","",""
"cg26369667",-1.4352979,0.2068,3.89524e-12,"","",""
"cg11875268",1.6562172,0.3628,5.00142e-06,"","",""
"cg11004501",-0.6931877,0.1475,2.60981e-06,"","",""
"cg07469408",-0.8775874,0.1471,2.4463e-09,"","",""
"cg09939831",-1.3707346,0.224,9.46442e-10,"","",""
"cg13570982",-1.5529784,0.2541,9.84202e-10,"","",""
"cg20480233",-1.5970418,0.2798,1.15049e-08,"","",""
"cg05624510",-1.243213,0.1838,1.34198e-11,"","",""
"cg19168961",-0.8669026,0.1396,5.32056e-10,"","",""
"cg22296620",0.4858306,0.0785,6.15478e-10,"","",""
"cg22409276",-1.4036394,0.2263,5.59392e-10,"","",""
"cg23790326",-0.8556949,0.1547,3.20605e-08,"","",""
"cg02232531",-0.654024,0.1325,7.93552e-07,"","",""
"cg06818515",0.9242321,0.1703,5.75647e-08,"","",""
"cg07243103",-0.4260533,0.0793,7.83419e-08,"","",""
