"cpg","beta","se","p","i2","p_het","details"
"cg05552874",-0.11,0.0154,7.8e-13,"","",""
"cg06872964",-0.1,0.0136,2e-13,"","",""
"cg21549285",-0.19,0.0257,1.4e-13,"","",""
"cg00959259",-0.13,0.0194,2.3e-11,"","",""
"cg10959651",-0.052,0.0071,3.2e-13,"","",""
"cg13130398",-0.073,0.0111,5.2e-11,"","",""
"cg07285983",-0.088,0.0127,3.5e-12,"","",""
"cg05696877",-0.16,0.0216,1.3e-13,"","",""
"cg07839457",-0.12,0.0166,4.6e-13,"","",""
"cg08122652",-0.11,0.0184,2.4e-09,"","",""
"cg10549986",-0.044,0.0066,3.3e-11,"","",""
"cg06981309",-0.074,0.0114,1e-10,"","",""
"cg01948202",-0.042,0.008,1.7e-07,"","",""
"cg17326313",-0.022,0.0037,3.5e-09,"","",""
"cg19789466",-0.012,0.0019,7.2e-10,"","",""
"cg16411857",-0.045,0.0071,2e-10,"","",""
